date;open;high;low;close;volume
1992-01-21;16.25;17.75;15.5;16.75;2494600.0
1992-01-22;17.75;18.5;17.0;18.25;753900.0
1992-01-23;18.75;18.75;17.5;17.88;384100.0
1992-01-24;17.5;18.25;17.5;18.25;150400.0
1992-01-27;18.25;18.25;17.25;17.25;242600.0
1992-01-28;17.25;17.5;17.25;17.25;303800.0
1992-01-29;17.25;18.5;17.25;17.75;251900.0
1992-01-30;18.25;18.25;17.5;18.0;225000.0
1992-01-31;18.25;18.75;17.5;18.75;336900.0
1992-02-03;18.75;19.75;18.25;18.75;105900.0
1992-02-04;18.75;19.25;18.38;19.0;75100.0
1992-02-05;20.0;21.0;19.25;20.0;191800.0
1992-02-06;20.5;20.75;20.0;20.25;176800.0
1992-02-07;20.5;20.5;19.5;20.0;124800.0
1992-02-10;19.5;20.0;18.75;20.0;195100.0
1992-02-11;20.0;20.0;18.5;18.5;91600.0
1992-02-12;19.0;19.0;18.5;19.0;146900.0
1992-02-13;19.0;19.0;18.5;18.63;92900.0
1992-02-14;18.5;19.0;18.25;18.63;144700.0
1992-02-18;18.75;19.0;18.25;19.0;157100.0
1992-02-19;18.25;18.75;17.0;18.0;130100.0
1992-02-20;17.5;18.0;17.5;18.0;113500.0
1992-02-21;17.75;18.0;17.5;17.5;158000.0
1992-02-24;17.5;18.0;16.25;16.25;37900.0
1992-02-25;16.25;16.5;14.5;15.0;95900.0
1992-02-26;15.0;15.5;14.0;14.25;50900.0
1992-02-27;14.0;14.5;13.75;13.75;45500.0
1992-02-28;13.75;14.25;12.75;13.25;126200.0
1992-03-02;13.5;13.5;11.0;12.0;111500.0
1992-03-03;12.0;13.25;12.0;13.25;169700.0
1992-03-04;13.25;13.25;12.5;13.25;54200.0
1992-03-05;13.25;13.5;12.5;13.25;281200.0
1992-03-06;13.0;13.25;13.0;13.0;16600.0
1992-03-09;13.0;13.5;13.0;13.25;71700.0
1992-03-10;13.0;13.5;13.0;13.25;120900.0
1992-03-11;13.5;13.5;13.0;13.0;26100.0
1992-03-12;13.5;13.5;11.25;11.75;56000.0
1992-03-13;11.5;12.25;11.5;11.75;6000.0
1992-03-16;11.75;12.25;11.25;11.75;21100.0
1992-03-17;11.75;11.75;11.0;11.5;20500.0
1992-03-18;11.25;11.5;11.0;11.5;195500.0
1992-03-19;11.5;11.5;11.0;11.0;24800.0
1992-03-20;11.25;11.25;9.0;10.0;352500.0
1992-03-23;10.5;10.5;10.0;10.25;107700.0
1992-03-24;10.25;10.75;10.0;10.25;108200.0
1992-03-25;10.25;11.0;10.0;10.5;75200.0
1992-03-26;10.0;10.75;9.0;9.5;270400.0
1992-03-27;9.75;9.75;9.25;9.75;56600.0
1992-03-30;9.75;9.75;8.5;8.75;123600.0
1992-03-31;9.125;9.25;8.5;8.5;68100.0
1992-04-01;8.5;8.5;7.75;8.0;215900.0
1992-04-02;8.75;10.0;8.375;9.25;180200.0
1992-04-03;9.0;9.25;8.75;9.25;227600.0
1992-04-06;9.25;9.5;9.125;9.25;38100.0
1992-04-07;9.75;9.75;9.375;9.375;62800.0
1992-04-08;9.0;9.5;8.75;9.25;50500.0
1992-04-09;9.0;9.25;9.0;9.0;20500.0
1992-04-10;9.25;9.25;8.5;9.0;29000.0
1992-04-13;9.0;9.0;8.25;8.75;12700.0
1992-04-14;8.25;8.5;8.0;8.0;19100.0
1992-04-15;8.5;8.5;8.0;8.5;79700.0
1992-04-16;8.5;8.5;7.25;7.25;65000.0
1992-04-20;7.0;7.75;6.0;6.75;91000.0
1992-04-21;6.75;6.75;5.5;6.5;72800.0
1992-04-22;6.5;7.5;6.375;7.5;275800.0
1992-04-23;7.75;7.75;6.75;7.25;115800.0
1992-04-24;7.25;7.25;6.75;6.75;73200.0
1992-04-27;7.0;7.25;6.75;7.25;61600.0
1992-04-28;7.25;7.25;6.875;7.0;38900.0
1992-04-29;7.25;7.25;6.875;7.125;248500.0
1992-04-30;7.25;7.25;6.75;7.25;134400.0
1992-05-01;7.25;7.75;7.125;7.75;87500.0
1992-05-04;7.75;7.75;7.25;7.5;99800.0
1992-05-05;7.75;7.75;7.25;7.25;53500.0
1992-05-06;7.5;8.5;7.25;8.0;160100.0
1992-05-07;8.5;9.0;8.0;8.25;98800.0
1992-05-08;8.25;8.5;8.0;8.5;51500.0
1992-05-11;8.5;8.5;8.25;8.5;27500.0
