date;open;high;low;close;volume
1998-03-05;7.0;7.25;6.81;6.88;77000.0
1998-03-06;7.06;7.06;6.81;6.94;73000.0
1998-03-09;7.0;7.0;6.69;6.88;123000.0
1998-03-10;7.0;7.75;6.94;7.38;279000.0
1998-03-11;7.44;7.94;7.38;7.88;369000.0
1998-03-12;8.0;8.38;7.75;7.88;252500.0
1998-03-13;7.88;8.13;7.81;8.0;202500.0
1998-03-16;8.0;8.69;7.88;8.38;325500.0
1998-03-17;8.38;8.69;7.88;8.13;261000.0
1998-03-18;8.19;8.19;7.88;8.06;104000.0
1998-03-19;8.13;8.13;7.88;8.06;160000.0
1998-03-20;8.13;8.13;8.0;8.0;61500.0
1998-03-23;8.0;8.13;7.88;8.06;129000.0
1998-03-24;7.88;8.06;7.63;8.0;149500.0
1998-03-25;7.88;8.06;7.81;8.0;107000.0
1998-03-26;7.81;8.0;7.69;7.81;70500.0
1998-03-27;7.69;7.88;7.69;7.81;25000.0
1998-03-30;7.88;8.31;7.75;7.88;136000.0
1998-03-31;7.94;8.13;7.75;8.13;165500.0
1998-04-01;7.88;8.38;7.88;8.25;104500.0
1998-04-02;8.38;8.38;8.13;8.38;83500.0
1998-04-03;8.31;9.19;8.31;8.75;349000.0
1998-04-06;9.0;9.38;8.69;8.81;353000.0
1998-04-07;8.75;9.0;8.38;8.63;238500.0
1998-04-08;8.63;9.13;8.56;9.0;196000.0
1998-04-09;9.0;9.25;8.81;9.06;254000.0
1998-04-13;9.0;9.0;8.0;8.06;212000.0
1998-04-14;8.19;8.56;8.13;8.5;138500.0
1998-04-15;8.5;8.75;8.5;8.75;109000.0
1998-04-16;8.69;9.06;8.63;9.0;174000.0
1998-04-17;9.0;9.44;8.81;8.81;292000.0
1998-04-20;8.94;9.38;8.75;9.13;296000.0
1998-04-21;9.25;9.31;9.0;9.25;315000.0
1998-04-22;9.31;9.44;9.0;9.44;222500.0
1998-04-23;9.25;9.5;8.88;9.06;269000.0
1998-04-24;9.13;9.19;8.69;8.81;145500.0
1998-04-27;8.5;8.88;8.13;8.81;153500.0
1998-04-28;8.81;9.19;8.81;8.94;89500.0
1998-04-29;9.0;9.13;8.75;9.0;206500.0
1998-04-30;9.0;9.13;8.88;9.0;92500.0
1998-05-01;9.13;9.25;9.0;9.13;107000.0
1998-05-04;9.25;9.25;9.0;9.06;175500.0
1998-05-05;9.0;9.25;9.0;9.25;152500.0
1998-05-06;9.13;9.25;9.0;9.0;119000.0
1998-05-07;9.0;9.19;8.75;8.75;81500.0
1998-05-08;9.0;9.0;8.63;8.94;89000.0
1998-05-11;9.0;9.31;8.5;8.63;296000.0
1998-05-12;8.75;8.94;8.56;8.56;89500.0
1998-05-13;8.56;8.88;8.13;8.13;85500.0
1998-05-14;8.13;8.5;8.0;8.38;97500.0
1998-05-15;8.38;8.5;8.13;8.19;62500.0
1998-05-18;8.19;8.63;7.88;8.0;102500.0
1998-05-19;8.13;8.25;7.75;8.13;96500.0
1998-05-20;8.25;8.56;7.88;8.56;56500.0
1998-05-21;8.63;9.0;8.56;8.75;274000.0
1998-05-22;8.75;9.0;8.56;8.56;162000.0
1998-05-26;8.81;8.81;8.0;8.13;197500.0
1998-05-27;8.06;8.06;7.69;8.0;123500.0
1998-05-28;7.94;8.25;7.88;8.25;110000.0
1998-05-29;8.25;8.38;8.13;8.25;47000.0
1998-06-01;8.5;8.5;8.0;8.22;43000.0
1998-06-02;8.0;8.25;7.75;7.88;64000.0
1998-06-03;8.0;8.0;7.5;7.69;84000.0
1998-06-04;7.88;7.88;7.63;7.63;31500.0
1998-06-05;7.63;8.0;7.63;8.0;29000.0
1998-06-08;8.0;8.0;7.7;7.7;287500.0
1998-06-09;7.88;7.88;7.5;7.81;88500.0
1998-06-10;7.75;7.88;7.5;7.75;73000.0
1998-06-11;7.5;7.81;7.38;7.5;48500.0
1998-06-12;7.38;7.5;7.0;7.38;64000.0
1998-06-15;7.38;7.38;6.88;6.88;67500.0
1998-06-16;7.38;7.5;7.0;7.06;71500.0
1998-06-17;7.19;7.31;7.0;7.06;67500.0
1998-06-18;7.13;7.19;7.0;7.06;37000.0
1998-06-19;7.0;7.38;7.0;7.13;49500.0
1998-06-22;7.13;7.5;6.88;7.0;56000.0
1998-06-23;6.94;7.25;6.88;7.0;112000.0
1998-06-24;6.88;7.06;6.75;6.88;115500.0
1998-06-25;7.0;7.06;6.38;6.44;126500.0
1998-06-26;6.75;7.0;6.5;7.0;147000.0
1998-06-29;7.0;7.0;6.81;6.94;56000.0
1998-06-30;6.94;7.19;6.88;7.06;177000.0
1998-07-01;7.13;7.13;6.88;7.0;36500.0
1998-07-02;6.81;7.0;6.75;6.88;125500.0
1998-07-06;6.81;7.13;6.81;7.06;191500.0
1998-07-07;7.19;8.0;7.0;8.0;485000.0
1998-07-08;7.94;8.31;7.88;7.88;188000.0
1998-07-09;7.88;8.13;7.88;8.0;240500.0
1998-07-10;8.13;8.13;7.88;8.0;57500.0
1998-07-13;7.88;8.25;7.88;8.06;154000.0
1998-07-14;8.0;8.13;8.0;8.06;52500.0
1998-07-15;8.13;8.19;8.0;8.13;178500.0
1998-07-16;8.25;8.25;7.94;7.94;68000.0
1998-07-17;8.0;8.0;7.94;7.94;46500.0
1998-07-20;8.0;8.0;7.94;8.0;44000.0
1998-07-21;7.94;8.0;7.0;7.25;314000.0
1998-07-22;7.25;7.5;7.0;7.31;37000.0
1998-07-23;7.13;7.31;7.0;7.19;55000.0
1998-07-24;7.0;7.31;7.0;7.06;215500.0
1998-07-27;7.0;7.13;7.0;7.0;104000.0
1998-07-28;7.0;7.13;7.0;7.0;266000.0
1998-07-29;7.0;7.09;6.5;6.75;300000.0
1998-07-30;6.88;6.88;6.75;6.75;102000.0
1998-07-31;6.81;6.81;6.75;6.75;216500.0
1998-08-03;6.81;6.81;6.5;6.81;493500.0
1998-08-04;6.81;6.81;6.5;6.5;149000.0
1998-08-05;6.56;6.56;6.19;6.25;185000.0
1998-08-06;6.31;6.31;6.25;6.31;118500.0
1998-08-07;6.25;6.31;6.25;6.25;72500.0
1998-08-10;6.25;6.5;6.25;6.5;65000.0
1998-08-11;6.25;6.41;6.19;6.19;87500.0
1998-08-12;6.31;6.31;6.13;6.19;81500.0
1998-08-13;6.5;6.5;6.19;6.38;80000.0
1998-08-14;6.25;6.38;6.19;6.25;63500.0
1998-08-17;6.38;6.38;6.25;6.31;36000.0
1998-08-18;6.31;6.75;6.31;6.44;99000.0
1998-08-19;6.5;6.75;6.31;6.38;81000.0
1998-08-20;6.38;6.38;6.31;6.31;50500.0
1998-08-21;6.31;6.38;6.19;6.25;87000.0
1998-08-24;6.25;6.38;6.25;6.25;38000.0
1998-08-25;6.38;6.5;6.25;6.31;157000.0
1998-08-26;6.25;6.31;6.13;6.25;139000.0
1998-08-27;6.13;6.19;5.5;5.56;338000.0
1998-08-28;5.69;5.75;5.25;5.5;190000.0
1998-08-31;5.88;5.94;4.94;5.0;237500.0
1998-09-01;5.0;5.19;4.13;4.75;347500.0
1998-09-02;4.81;5.0;4.75;4.81;179000.0
1998-09-03;4.94;5.44;4.63;5.13;237500.0
1998-09-04;5.13;5.25;5.06;5.13;185500.0
1998-09-08;5.19;5.69;5.13;5.5;109000.0
1998-09-09;5.69;5.69;5.19;5.31;128500.0
1998-09-10;5.13;5.25;4.53;4.81;214000.0
1998-09-11;5.0;5.0;4.81;5.0;20000.0
1998-09-14;4.88;5.5;4.88;5.5;57500.0
1998-09-15;5.44;5.44;5.06;5.25;101500.0
1998-09-16;5.5;5.5;5.13;5.13;69000.0
1998-09-17;5.0;5.13;4.88;5.06;127000.0
1998-09-18;4.88;5.0;4.69;4.81;69500.0
1998-09-21;4.94;4.94;4.25;4.75;44000.0
1998-09-22;4.88;5.13;4.63;4.75;43000.0
1998-09-23;5.13;5.25;4.75;5.13;123500.0
1998-09-24;5.06;5.25;5.06;5.13;287500.0
1998-09-25;5.06;5.13;4.94;5.0;223500.0
1998-09-28;4.94;5.03;4.94;5.0;166500.0
1998-09-29;5.0;5.0;4.94;5.0;73000.0
1998-09-30;5.0;5.0;4.88;4.88;14000.0
1998-10-01;5.0;5.0;4.5;4.75;38500.0
1998-10-02;4.69;4.75;4.69;4.69;40000.0
1998-10-05;4.69;4.88;4.19;4.25;54000.0
1998-10-06;4.25;4.5;4.25;4.25;81500.0
1998-10-07;4.25;4.25;3.38;3.38;81000.0
1998-10-08;3.69;4.0;3.31;3.81;190000.0
1998-10-09;3.88;4.31;3.69;3.69;125500.0
1998-10-12;4.19;4.19;4.0;4.0;55500.0
1998-10-13;3.88;4.19;3.88;4.13;68000.0
1998-10-14;4.13;4.94;4.0;4.88;58500.0
1998-10-15;4.63;4.88;4.5;4.88;42500.0
1998-10-16;5.0;5.19;4.94;5.06;181000.0
1998-10-19;5.06;5.25;4.88;4.88;58500.0
1998-10-20;5.0;5.19;4.88;4.94;77500.0
1998-10-21;5.19;5.19;4.94;5.19;181000.0
