date;open;high;low;close;volume
1990-03-26;21.63;21.75;21.5;21.63;10500.0
1990-03-27;21.63;22.0;21.63;22.0;3300.0
1990-03-28;21.5;22.0;21.5;22.0;4050.0
1990-03-29;21.5;21.5;21.5;21.5;7950.0
1990-03-30;21.5;22.0;21.5;22.0;9150.0
1990-04-02;21.75;21.75;21.25;21.25;27600.0
1990-04-03;21.25;21.63;21.25;21.5;20400.0
1990-04-04;21.5;21.5;21.5;21.5;900.0
1990-04-05;21.63;21.63;21.5;21.5;10800.0
1990-04-06;22.0;22.0;21.88;21.88;1800.0
1990-04-09;21.5;21.5;21.0;21.5;3600.0
1990-04-10;21.5;21.75;21.5;21.75;1500.0
1990-04-11;21.75;22.25;21.5;22.25;18600.0
1990-04-12;21.75;21.75;21.75;21.75;600.0
1990-04-16;21.75;22.25;21.75;22.25;9750.0
1990-04-17;20.0;20.0;19.25;19.5;262650.0
1990-04-18;19.5;19.5;18.63;18.88;136950.0
1990-04-19;18.5;18.5;18.25;18.25;39900.0
1990-04-20;18.25;18.75;17.75;18.0;72300.0
1990-04-23;17.75;18.0;16.75;16.75;23400.0
1990-04-24;17.25;18.25;17.0;17.5;38400.0
1990-04-25;17.5;17.5;17.5;17.5;5700.0
1990-04-26;17.25;17.5;16.5;16.75;88500.0
1990-04-27;17.0;17.0;16.0;16.0;15300.0
1990-04-30;16.0;16.5;16.0;16.5;163500.0
1990-05-01;16.25;17.0;16.25;16.75;21600.0
1990-05-02;17.25;17.25;16.75;16.75;5700.0
1990-05-03;16.75;17.5;16.25;17.25;295800.0
1990-05-04;18.0;18.0;17.5;17.63;435000.0
1990-05-07;17.5;18.0;17.5;18.0;6150.0
1990-05-08;17.5;17.63;17.5;17.63;21600.0
1990-05-09;17.5;17.75;17.5;17.75;23250.0
1990-05-10;17.5;17.5;17.5;17.5;2700.0
1990-05-11;17.5;18.0;17.5;17.5;118050.0
1990-05-14;17.5;17.88;17.5;17.88;172050.0
1990-05-15;17.88;18.25;17.75;18.25;43500.0
1990-05-16;18.0;18.13;17.75;17.75;22500.0
1990-05-17;17.75;18.25;17.75;17.75;206550.0
1990-05-18;17.75;18.25;17.75;18.0;150450.0
1990-05-21;18.75;18.75;18.0;18.0;29100.0
1990-05-22;18.0;18.5;18.0;18.0;43050.0
1990-05-23;18.0;18.5;18.0;18.13;55200.0
1990-05-24;18.5;18.5;18.0;18.0;63900.0
1990-05-25;18.0;18.25;17.75;17.75;40350.0
1990-05-29;18.25;18.5;18.0;18.5;3300.0
1990-05-30;18.5;18.88;18.5;18.5;41400.0
1990-05-31;18.0;18.75;18.0;18.25;113100.0
1990-06-01;18.25;18.5;18.25;18.5;9600.0
1990-06-04;18.75;18.75;18.5;18.5;39000.0
1990-06-05;18.75;19.5;18.75;19.38;26100.0
1990-06-06;19.5;19.75;19.38;19.5;7500.0
1990-06-07;19.5;19.75;19.25;19.75;159150.0
1990-06-08;19.75;19.75;19.25;19.25;1650.0
1990-06-11;19.0;20.25;19.0;20.0;23400.0
1990-06-12;20.5;21.0;20.5;20.5;38400.0
1990-06-13;20.75;21.25;20.5;21.25;17250.0
1990-06-14;20.75;21.0;20.75;20.75;103500.0
1990-06-15;21.0;21.25;20.75;20.75;61500.0
1990-06-18;20.75;21.25;20.75;21.0;3750.0
1990-06-19;20.75;21.0;20.75;21.0;4200.0
1990-06-20;20.75;20.88;20.75;20.75;63900.0
1990-06-21;20.75;20.88;20.5;20.75;96750.0
1990-06-22;20.5;21.0;20.5;21.0;4050.0
1990-06-25;21.0;21.0;20.63;20.63;3000.0
1990-06-26;20.5;21.0;20.25;20.5;55800.0
1990-06-27;20.5;20.5;20.0;20.0;31800.0
1990-06-28;20.0;20.25;19.5;20.25;37800.0
1990-06-29;20.25;20.25;19.75;19.75;2250.0
1990-07-02;20.25;20.25;19.5;19.75;29850.0
1990-07-03;19.5;19.5;19.5;19.5;0.0
1990-07-05;20.25;20.25;20.25;20.25;150.0
1990-07-06;19.5;19.75;19.5;19.5;7950.0
1990-07-09;20.0;20.0;19.5;19.5;600.0
1990-07-10;20.0;20.0;19.5;19.5;12750.0
1990-07-11;20.0;20.0;19.5;19.5;5100.0
1990-07-12;19.5;20.0;19.25;19.25;15300.0
1990-07-13;19.0;19.5;19.0;19.0;7650.0
1990-07-16;19.5;19.5;19.0;19.0;1800.0
1990-07-17;18.75;19.0;18.0;18.75;17250.0
1990-07-18;18.5;18.75;18.25;18.25;26400.0
1990-07-19;17.75;18.13;17.75;17.75;20700.0
1990-07-20;18.5;18.5;18.0;18.0;22800.0
1990-07-23;18.0;18.5;18.0;18.5;3900.0
1990-07-24;18.5;18.5;18.0;18.5;7650.0
1990-07-25;18.25;18.5;18.25;18.5;300.0
1990-07-26;18.0;18.5;18.0;18.38;4050.0
1990-07-27;18.0;18.13;18.0;18.0;4050.0
1990-07-30;18.5;18.5;18.25;18.25;9600.0
1990-07-31;18.75;18.75;18.25;18.75;3750.0
1990-08-01;18.25;18.75;18.25;18.5;6600.0
1990-08-02;18.0;18.25;18.0;18.25;34650.0
1990-08-03;18.25;18.5;18.0;18.5;26100.0
1990-08-06;18.25;18.25;17.5;17.63;27000.0
1990-08-07;17.75;17.88;17.75;17.75;13500.0
1990-08-08;17.75;17.75;17.75;17.75;450.0
1990-08-09;17.75;18.25;17.75;18.25;3900.0
1990-08-10;18.13;18.13;18.0;18.13;28050.0
1990-08-13;18.25;18.25;18.13;18.13;2700.0
1990-08-14;18.13;18.13;18.13;18.13;0.0
1990-08-15;18.0;18.0;18.0;18.0;450.0
1990-08-16;18.0;18.0;18.0;18.0;450.0
1990-08-17;18.0;18.25;17.25;17.25;26700.0
1990-08-20;17.75;17.75;17.25;17.25;300.0
1990-08-21;17.25;17.25;16.25;17.0;19200.0
1990-08-22;16.75;16.75;16.0;16.0;16500.0
1990-08-23;15.5;15.75;15.25;15.25;3600.0
1990-08-24;15.75;15.75;15.25;15.75;28200.0
1990-08-27;16.0;16.25;15.75;16.25;7050.0
1990-08-28;16.0;16.5;16.0;16.25;5100.0
1990-08-29;16.0;16.13;16.0;16.13;2400.0
1990-08-30;16.5;16.5;16.25;16.25;13200.0
1990-08-31;16.38;16.63;15.25;15.25;41850.0
1990-09-04;15.38;15.75;15.38;15.38;14100.0
1990-09-05;15.38;15.38;15.38;15.38;0.0
1990-09-06;16.0;16.0;15.5;15.88;17700.0
1990-09-07;16.0;16.0;15.75;15.88;10800.0
1990-09-10;15.5;15.5;15.5;15.5;300.0
1990-09-11;15.75;16.0;15.5;15.5;30450.0
1990-09-12;15.75;16.0;15.5;15.5;23400.0
1990-09-13;15.5;15.5;14.5;15.0;25950.0
1990-09-14;15.0;15.0;14.0;14.0;66300.0
1990-09-17;14.25;14.5;14.0;14.25;19500.0
1990-09-18;14.25;14.38;14.25;14.38;11400.0
1990-09-19;14.75;14.75;14.25;14.38;74850.0
1990-09-20;14.25;14.75;14.25;14.25;25950.0
1990-09-21;14.25;14.75;14.25;14.25;14400.0
1990-09-24;14.5;14.5;14.0;14.13;3900.0
1990-09-25;14.0;14.5;14.0;14.0;6000.0
1990-09-26;14.5;14.75;14.5;14.75;2700.0
1990-09-27;14.75;14.75;14.0;14.25;34950.0
1990-09-28;14.25;14.5;14.25;14.5;21600.0
1990-10-01;15.0;16.0;14.75;16.0;34200.0
1990-10-02;15.5;15.63;15.5;15.63;13950.0
1990-10-03;15.5;16.0;15.38;15.63;70500.0
1990-10-04;15.5;15.63;15.38;15.63;48150.0
1990-10-05;15.0;15.5;15.0;15.5;3450.0
1990-10-08;15.25;15.5;15.25;15.5;57000.0
1990-10-09;15.5;15.5;15.25;15.25;2250.0
1990-10-10;15.25;15.25;15.0;15.0;2250.0
1990-10-11;15.0;15.0;14.75;15.0;6000.0
1990-10-12;14.5;14.63;14.5;14.63;50100.0
1990-10-15;14.75;14.75;14.75;14.75;1350.0
1990-10-16;14.75;14.75;14.0;14.0;16350.0
1990-10-17;14.5;14.5;13.13;13.5;192900.0
1990-10-18;13.75;14.25;13.75;14.0;32700.0
1990-10-19;14.25;14.25;14.25;14.25;900.0
1990-10-22;14.0;14.75;14.0;14.0;8400.0
1990-10-23;13.75;14.5;13.75;14.5;5400.0
1990-10-24;13.75;14.13;13.5;14.13;27000.0
1990-10-25;14.0;14.0;14.0;14.0;14550.0
1990-10-26;13.75;14.25;13.75;14.25;11400.0
1990-10-29;14.25;14.25;14.25;14.25;0.0
1990-10-30;13.5;13.5;13.0;13.25;7500.0
1990-10-31;13.5;13.75;13.5;13.75;10500.0
1990-11-01;13.5;13.75;13.5;13.63;26550.0
1990-11-02;13.5;13.75;13.5;13.75;12600.0
1990-11-05;13.75;13.75;13.5;13.5;600.0
1990-11-06;13.75;13.75;13.5;13.5;1500.0
1990-11-07;13.5;13.75;13.5;13.75;37650.0
1990-11-08;13.5;13.5;13.5;13.5;900.0
1990-11-09;13.5;14.0;13.5;13.5;61950.0
1990-11-12;14.0;14.5;14.0;14.5;7500.0
1990-11-13;14.5;14.75;14.0;14.75;9300.0
1990-11-14;15.0;15.0;14.5;15.0;57300.0
1990-11-15;15.0;15.25;14.5;14.75;12600.0
1990-11-16;15.5;15.5;14.75;14.75;5100.0
1990-11-19;15.0;15.0;14.88;15.0;3600.0
1990-11-20;14.5;15.0;14.5;14.5;36900.0
