date;open;high;low;close;volume
1991-06-28;13.5;14.25;13.5;13.62;687100.0
1991-07-01;13.75;13.75;13.5;13.5;45500.0
1991-07-02;13.5;13.75;13.5;13.75;29400.0
1991-07-03;13.5;13.75;13.5;13.75;35300.0
1991-07-05;13.75;13.75;13.5;13.5;9600.0
1991-07-08;13.5;13.75;13.12;13.25;43100.0
1991-07-09;13.25;13.75;13.25;13.5;30900.0
1991-07-10;13.5;13.5;13.0;13.0;54700.0
1991-07-11;13.0;13.5;13.0;13.0;19800.0
1991-07-12;13.5;13.5;13.0;13.0;19300.0
1991-07-15;13.5;13.5;13.0;13.0;42200.0
1991-07-16;13.5;13.5;13.0;13.12;48100.0
1991-07-17;13.0;13.5;13.0;13.0;5700.0
1991-07-18;13.5;13.5;13.0;13.25;5100.0
1991-07-19;13.0;13.5;13.0;13.0;53900.0
1991-07-22;13.25;13.5;13.0;13.25;12900.0
1991-07-23;13.25;13.5;13.12;13.12;11900.0
1991-07-24;13.12;13.5;13.12;13.12;34900.0
1991-07-25;13.38;13.38;13.12;13.25;11600.0
1991-07-26;13.25;13.5;13.25;13.5;1100.0
1991-07-29;13.5;13.5;13.25;13.25;1800.0
1991-07-30;13.25;13.5;13.25;13.25;8600.0
1991-07-31;13.5;13.5;13.12;13.25;7500.0
1991-08-01;13.5;13.5;13.25;13.5;2700.0
1991-08-02;13.5;13.5;13.25;13.38;8600.0
1991-08-05;13.25;13.38;13.25;13.25;17500.0
1991-08-06;13.25;14.25;13.25;14.25;38800.0
1991-08-07;14.25;14.25;13.75;13.75;68600.0
1991-08-08;14.25;14.25;13.75;13.75;15000.0
1991-08-09;13.75;14.25;13.75;14.0;6900.0
1991-08-12;13.75;14.0;13.75;14.0;6700.0
1991-08-13;14.0;14.0;13.5;13.75;6200.0
1991-08-14;14.0;14.0;13.5;14.0;5100.0
1991-08-15;13.5;14.0;13.5;14.0;5100.0
1991-08-16;14.0;14.0;13.5;13.5;2900.0
1991-08-19;13.5;13.5;13.0;13.0;13700.0
1991-08-20;12.75;13.5;12.75;13.0;12400.0
1991-08-21;12.75;13.5;12.75;12.75;7200.0
1991-08-22;12.75;12.75;12.75;12.75;1000.0
1991-08-23;13.5;13.5;12.75;12.75;1700.0
1991-08-26;13.0;13.5;13.0;13.5;2800.0
1991-08-27;13.5;13.5;12.75;13.0;12800.0
1991-08-28;13.5;13.5;12.75;13.5;3600.0
1991-08-29;12.75;13.5;12.75;13.5;6300.0
1991-08-30;12.75;13.5;12.75;12.75;6200.0
1991-09-03;13.25;13.5;12.75;13.0;4000.0
1991-09-04;12.75;13.5;12.75;13.5;2100.0
1991-09-05;13.0;13.5;12.75;13.25;123300.0
1991-09-06;13.25;13.25;12.75;12.87;44200.0
1991-09-09;13.25;13.25;12.75;13.25;4800.0
1991-09-10;12.75;13.25;12.75;12.75;3700.0
1991-09-11;12.75;13.25;12.75;13.25;1000.0
1991-09-12;13.25;13.25;12.75;13.0;3200.0
1991-09-13;12.75;13.25;12.75;13.25;5600.0
1991-09-16;13.25;13.25;12.75;12.75;26300.0
1991-09-17;12.75;13.5;12.75;13.5;1600.0
1991-09-18;13.0;13.5;13.0;13.5;3600.0
1991-09-19;13.5;13.75;13.0;13.75;18000.0
1991-09-20;13.5;14.0;13.5;14.0;4800.0
1991-09-23;14.0;14.0;13.5;14.0;4100.0
1991-09-24;13.5;14.0;13.5;13.5;2900.0
1991-09-25;13.5;14.25;13.5;14.0;11200.0
1991-09-26;14.0;14.5;14.0;14.5;7900.0
1991-09-27;14.5;15.5;14.25;15.12;64500.0
1991-09-30;15.25;15.5;14.75;15.25;23700.0
1991-10-01;15.25;15.25;14.75;15.0;15400.0
1991-10-02;14.75;15.25;14.75;14.75;4300.0
