date;open;high;low;close;volume
1987-12-30;18.25;19.0;18.0;18.62;126600.0
1987-12-31;18.38;18.5;18.0;18.25;141200.0
1988-01-04;18.5;19.25;18.5;19.0;93200.0
1988-01-05;19.25;19.88;19.12;19.75;155500.0
1988-01-06;19.5;19.5;19.0;19.38;209100.0
1988-01-07;19.25;20.12;19.0;19.88;185400.0
1988-01-08;19.62;20.0;19.38;19.38;97600.0
1988-01-11;19.0;19.5;18.62;19.5;91900.0
1988-01-12;19.38;19.75;19.25;19.5;80400.0
1988-01-13;19.5;19.75;19.12;19.75;71700.0
1988-01-14;19.5;19.75;19.25;19.75;269800.0
1988-01-15;20.0;20.75;19.88;20.75;155700.0
1988-01-18;20.75;21.25;20.5;21.25;29600.0
1988-01-19;21.12;21.5;20.75;21.12;66600.0
1988-01-20;21.0;21.38;20.88;21.0;151100.0
1988-01-21;21.0;21.25;20.75;21.12;84400.0
1988-01-22;21.25;21.75;21.12;21.75;308400.0
1988-01-25;21.75;21.88;21.5;21.62;95100.0
1988-01-26;21.75;21.75;21.62;21.62;84300.0
1988-01-27;21.62;22.0;21.62;22.0;67200.0
1988-01-28;21.88;22.0;21.5;21.75;119900.0
1988-01-29;21.88;22.5;21.62;22.5;79500.0
1988-02-01;22.75;23.25;22.62;23.25;227000.0
1988-02-02;23.25;24.0;23.25;23.75;284400.0
1988-02-03;24.0;24.25;23.75;23.88;454200.0
1988-02-04;23.75;23.88;23.62;23.88;154200.0
1988-02-05;23.88;24.25;23.75;24.12;247000.0
1988-02-08;23.88;23.88;23.5;23.62;138600.0
1988-02-09;23.75;23.75;23.38;23.38;97500.0
1988-02-10;23.0;23.5;23.0;23.25;147100.0
1988-02-11;23.5;23.5;23.0;23.0;88800.0
1988-02-12;23.25;23.38;22.25;22.5;115900.0
1988-02-16;22.75;23.25;22.5;22.75;99900.0
1988-02-17;22.75;23.0;22.5;23.0;85200.0
1988-02-18;23.0;23.0;22.0;22.0;102800.0
1988-02-19;22.25;22.25;21.0;21.88;130600.0
1988-02-22;21.62;21.88;21.62;21.88;62600.0
1988-02-23;21.88;22.25;21.75;22.0;92300.0
1988-02-24;22.0;22.75;22.0;22.0;112000.0
1988-02-25;21.75;22.75;21.75;22.38;78700.0
1988-02-26;22.88;23.0;22.38;22.88;68100.0
1988-02-29;22.62;23.12;22.5;23.12;74700.0
1988-03-01;23.25;23.5;22.38;22.75;124700.0
1988-03-02;22.38;22.75;22.25;22.62;69700.0
1988-03-03;22.62;22.75;22.25;22.5;60600.0
1988-03-04;22.5;22.5;22.12;22.5;76900.0
1988-03-07;22.38;23.38;22.0;22.25;43200.0
1988-03-08;22.12;22.75;22.12;22.62;47700.0
1988-03-09;22.62;22.62;22.25;22.62;35400.0
1988-03-10;22.62;22.75;21.88;21.88;63200.0
1988-03-11;22.0;22.12;21.75;22.0;65000.0
1988-03-14;22.0;22.38;21.75;22.0;145400.0
1988-03-15;22.25;22.75;22.0;22.62;143000.0
1988-03-16;22.62;22.75;22.5;22.75;147500.0
1988-03-17;22.88;22.88;22.5;22.88;61400.0
1988-03-18;22.88;23.0;22.62;22.75;120600.0
1988-03-21;22.62;23.0;22.25;22.75;123200.0
1988-03-22;22.75;23.0;22.0;22.12;61700.0
1988-03-23;22.12;22.75;22.0;22.62;131600.0
1988-03-24;22.62;22.62;22.25;22.62;57600.0
1988-03-25;22.5;22.75;22.25;22.38;56400.0
1988-03-28;21.62;21.88;21.62;21.62;35500.0
1988-03-29;21.88;22.25;21.75;21.75;92500.0
1988-03-30;21.88;22.0;21.0;21.0;125700.0
1988-03-31;21.25;21.25;20.75;21.0;39500.0
1988-04-04;21.0;21.25;20.38;20.75;116900.0
1988-04-05;20.88;21.5;20.75;21.25;41000.0
1988-04-06;21.62;22.25;20.75;22.0;96100.0
1988-04-07;23.0;23.0;22.0;22.12;98500.0
1988-04-08;21.88;22.75;21.75;22.75;64800.0
1988-04-11;22.5;22.75;22.25;22.62;31600.0
1988-04-12;22.88;22.88;21.75;22.0;116200.0
1988-04-13;22.0;22.25;21.25;21.75;65500.0
1988-04-14;21.0;21.25;20.5;21.0;125900.0
1988-04-15;21.0;21.25;20.5;21.25;150400.0
1988-04-18;21.0;21.0;20.62;20.62;278300.0
1988-04-19;20.62;21.25;20.5;20.75;129500.0
1988-04-20;20.75;21.0;20.25;20.5;108500.0
1988-04-21;20.5;20.5;20.12;20.12;158900.0
1988-04-22;20.38;20.38;19.88;19.88;126900.0
1988-04-25;20.0;20.25;20.0;20.25;280600.0
1988-04-26;20.25;20.5;20.12;20.5;52000.0
1988-04-27;20.62;20.62;20.25;20.5;76000.0
1988-04-28;20.5;20.5;20.12;20.12;136100.0
1988-04-29;20.12;20.25;19.88;20.0;281500.0
1988-05-02;19.88;20.0;19.75;19.88;59000.0
1988-05-03;19.88;20.25;19.75;20.12;72800.0
1988-05-04;20.25;20.38;20.0;20.25;64100.0
1988-05-05;21.25;21.5;21.25;21.38;2256900.0
1988-05-06;21.38;22.12;21.38;22.12;155200.0
1988-05-09;22.12;22.88;22.0;22.5;586300.0
1988-05-10;22.62;22.62;22.38;22.5;268500.0
1988-05-11;22.5;22.5;22.0;22.25;433500.0
1988-05-12;22.12;22.12;21.62;21.75;362400.0
1988-05-13;21.75;21.88;21.5;21.75;232000.0
1988-05-16;21.75;21.75;21.25;21.75;131400.0
1988-05-17;21.75;21.75;21.25;21.25;171800.0
1988-05-18;21.25;21.38;21.12;21.38;245300.0
1988-05-19;21.25;21.62;21.0;21.62;139400.0
1988-05-20;21.38;21.38;21.12;21.38;48100.0
1988-05-23;21.25;21.38;21.0;21.12;93500.0
1988-05-24;21.0;21.12;20.75;21.12;37800.0
1988-05-25;20.88;21.5;20.62;21.5;70300.0
1988-05-26;21.25;21.75;21.25;21.38;16500.0
1988-05-27;21.38;21.38;21.0;21.12;46700.0
1988-05-31;21.0;22.0;20.75;22.0;161700.0
1988-06-01;21.88;22.88;21.75;22.88;282100.0
1988-06-02;22.25;22.38;22.0;22.25;108700.0
1988-06-03;22.25;22.25;22.0;22.12;97300.0
1988-06-06;22.12;22.12;21.88;21.88;59400.0
1988-06-07;21.88;22.0;21.62;21.75;55700.0
1988-06-08;21.75;22.62;21.5;22.62;295700.0
1988-06-09;22.62;22.88;22.38;22.88;180500.0
1988-06-10;23.0;23.25;22.25;22.62;161600.0
1988-06-13;22.5;22.88;22.25;22.88;37000.0
1988-06-14;23.25;23.5;23.0;23.12;212700.0
1988-06-15;23.0;23.88;22.88;23.75;193500.0
1988-06-16;23.5;23.88;23.25;23.5;238900.0
1988-06-17;24.25;24.25;23.5;23.5;385100.0
1988-06-20;23.5;23.75;23.25;23.5;76200.0
1988-06-21;23.75;24.0;23.5;23.75;166800.0
1988-06-22;24.0;24.5;24.0;24.25;302300.0
1988-06-23;24.0;24.5;23.75;23.75;135900.0
1988-06-24;24.0;24.12;23.75;23.75;134100.0
1988-06-27;23.75;23.75;23.38;23.38;83900.0
1988-06-28;23.5;23.88;23.5;23.75;132500.0
1988-06-29;23.75;23.75;22.88;23.0;139300.0
1988-06-30;23.25;23.5;23.0;23.5;111600.0
1988-07-01;23.25;23.5;22.88;22.88;100800.0
1988-07-05;22.88;23.0;22.5;22.62;1030000.0
1988-07-06;22.75;22.75;22.38;22.5;237200.0
1988-07-07;22.25;22.38;22.12;22.38;144100.0
1988-07-08;22.38;22.38;22.12;22.12;155300.0
1988-07-11;22.38;22.38;22.0;22.0;140000.0
1988-07-12;21.88;22.12;21.5;21.88;160700.0
1988-07-13;22.0;22.12;21.5;21.75;294400.0
1988-07-14;21.75;21.75;21.5;21.62;190500.0
1988-07-15;21.5;21.5;21.25;21.5;165900.0
1988-07-18;21.25;21.38;20.75;21.38;314400.0
1988-07-19;21.5;21.5;20.88;21.12;191200.0
1988-07-20;21.0;21.38;21.0;21.25;115200.0
1988-07-21;21.25;21.38;20.88;21.12;106300.0
1988-07-22;21.12;21.25;20.75;20.88;117600.0
1988-07-25;20.75;21.0;20.75;21.0;75300.0
1988-07-26;21.0;21.12;20.75;21.12;141700.0
1988-07-27;21.25;21.25;20.88;20.88;259700.0
1988-07-28;20.88;21.5;20.88;21.38;127200.0
1988-07-29;21.75;22.75;21.62;22.62;182000.0
1988-08-01;22.12;22.5;22.0;22.38;132500.0
1988-08-02;22.38;22.38;21.0;22.0;203900.0
1988-08-03;22.0;22.5;21.5;22.25;91700.0
1988-08-04;22.25;22.25;21.75;21.75;262000.0
1988-08-05;21.75;21.88;21.75;21.88;63500.0
1988-08-08;21.62;22.0;21.62;22.0;52000.0
1988-08-09;21.88;21.88;21.5;21.62;148400.0
1988-08-10;21.5;21.75;20.88;21.25;245800.0
1988-08-11;21.0;21.38;20.88;21.38;50300.0
1988-08-12;21.12;21.25;21.0;21.25;91500.0
1988-08-15;21.0;21.38;20.88;21.12;40000.0
1988-08-16;21.12;21.88;21.12;21.38;45300.0
1988-08-17;21.5;21.62;21.12;21.5;39700.0
1988-08-18;21.38;21.38;21.12;21.12;78100.0
1988-08-19;21.12;21.5;21.12;21.5;50000.0
1988-08-22;21.38;21.5;21.0;21.12;81200.0
1988-08-23;21.12;21.75;21.0;21.5;49700.0
1988-08-24;21.5;21.75;21.25;21.75;48600.0
1988-08-25;21.5;21.88;21.5;21.75;83700.0
1988-08-26;21.5;22.0;21.38;21.88;149000.0
1988-08-29;22.0;22.5;22.0;22.12;67800.0
1988-08-30;22.12;22.38;22.0;22.12;61500.0
1988-08-31;22.12;22.25;22.0;22.12;61600.0
1988-09-01;22.12;22.25;22.0;22.0;73600.0
1988-09-02;22.12;22.5;22.12;22.38;143800.0
1988-09-06;22.5;23.25;22.5;23.12;210400.0
1988-09-07;23.12;23.38;23.0;23.25;60600.0
