date;open;high;low;close;volume
1989-12-07;49.0;49.25;48.0;48.5;129200.0
1989-12-08;48.0;48.0;47.5;47.75;262300.0
1989-12-11;47.75;47.75;45.75;46.0;293500.0
1989-12-12;45.63;45.75;43.25;45.0;711400.0
1989-12-13;45.0;46.25;45.0;45.5;323600.0
1989-12-14;44.75;45.0;43.25;44.5;360400.0
1989-12-15;45.5;45.5;43.0;43.5;335700.0
1989-12-18;43.75;44.25;41.5;42.5;395300.0
1989-12-19;42.25;43.25;41.75;42.0;409800.0
1989-12-20;42.25;43.0;41.75;43.0;239600.0
1989-12-21;43.25;45.5;42.75;45.0;356900.0
1989-12-22;45.0;45.5;44.75;45.25;71200.0
1989-12-26;45.75;46.25;45.5;46.13;72400.0
1989-12-27;46.5;47.75;46.5;47.75;404300.0
1989-12-28;47.75;48.0;47.5;47.75;437200.0
1989-12-29;47.75;48.75;47.25;48.25;291000.0
1990-01-02;48.25;48.75;47.5;48.75;321400.0
1990-01-03;49.0;49.25;47.25;47.5;340300.0
1990-01-04;46.75;47.0;45.75;46.5;493600.0
1990-01-05;46.25;46.63;45.5;46.0;303700.0
1990-01-08;46.0;47.75;45.75;47.25;180200.0
1990-01-09;48.0;48.0;46.75;47.0;322600.0
1990-01-10;46.5;47.0;46.25;46.75;280400.0
1990-01-11;47.0;47.75;46.75;47.25;109900.0
1990-01-12;46.75;47.0;46.0;46.25;197600.0
1990-01-15;46.0;46.25;43.75;44.0;248000.0
1990-01-16;43.25;46.0;42.75;45.88;260800.0
1990-01-17;46.5;46.5;44.75;44.88;193800.0
1990-01-18;44.5;45.75;44.0;45.5;117100.0
1990-01-19;46.0;46.0;44.5;45.0;304500.0
1990-01-22;44.5;44.75;43.5;43.5;316500.0
1990-01-23;44.25;44.25;42.25;44.0;308900.0
1990-01-24;43.5;43.75;41.5;43.75;442300.0
1990-01-25;44.0;44.5;42.75;43.75;256800.0
1990-01-26;43.5;45.25;43.5;44.0;269500.0
1990-01-29;44.5;44.75;40.75;41.25;397300.0
1990-01-30;41.0;41.25;37.0;39.75;1020700.0
1990-01-31;40.25;41.0;39.0;39.25;714700.0
1990-02-01;39.25;41.25;37.0;41.25;882200.0
1990-02-02;40.75;42.25;40.0;40.38;382600.0
1990-02-05;40.0;40.5;38.5;39.5;291500.0
1990-02-06;39.5;40.75;39.25;40.13;230500.0
1990-02-07;40.0;41.0;39.25;40.0;267400.0
1990-02-08;40.0;40.75;39.75;39.75;124400.0
1990-02-09;40.75;42.5;40.0;42.0;342400.0
1990-02-12;42.0;42.5;41.5;41.75;235200.0
1990-02-13;42.25;43.25;41.5;43.13;413400.0
1990-02-14;43.25;43.5;42.25;43.25;309500.0
1990-02-15;42.13;43.25;42.0;43.25;489100.0
1990-02-16;43.75;44.5;41.75;42.5;414600.0
1990-02-20;41.25;42.25;41.0;42.0;242600.0
1990-02-21;41.5;43.5;41.25;43.5;191000.0
1990-02-22;43.5;44.25;43.25;43.25;213400.0
1990-02-23;42.5;43.0;41.75;42.5;240200.0
1990-02-26;42.5;42.75;40.75;42.0;228400.0
1990-02-27;42.5;42.75;41.5;42.5;171900.0
1990-02-28;42.75;43.75;42.25;43.0;254600.0
1990-03-01;42.5;43.75;42.0;43.25;140500.0
1990-03-02;43.5;44.25;43.25;44.0;236300.0
1990-03-05;44.0;44.25;43.5;43.75;148700.0
1990-03-06;43.75;45.5;43.75;45.13;219900.0
1990-03-07;45.75;46.0;45.0;45.5;251700.0
1990-03-08;46.0;46.0;45.25;45.75;298200.0
1990-03-09;45.75;45.75;44.25;44.63;292000.0
1990-03-12;44.25;46.5;44.0;46.5;372800.0
1990-03-13;46.25;46.75;44.75;45.5;228400.0
1990-03-14;46.0;46.25;44.75;46.25;143300.0
1990-03-15;46.0;46.75;45.75;46.25;331700.0
1990-03-16;46.5;48.0;46.25;47.75;312000.0
1990-03-19;47.5;49.0;46.5;48.88;225900.0
1990-03-20;49.0;49.25;47.75;48.0;187500.0
1990-03-21;47.75;48.5;47.63;48.13;76500.0
1990-03-22;48.25;48.75;47.0;47.25;206400.0
1990-03-23;47.75;47.88;46.0;46.75;232900.0
1990-03-26;46.75;47.5;46.5;47.25;125600.0
1990-03-27;47.0;47.25;46.75;47.25;120600.0
1990-03-28;47.25;47.25;46.75;47.25;54700.0
1990-03-29;47.25;47.25;45.75;46.5;193800.0
1990-03-30;46.25;46.25;45.25;45.63;285500.0
1990-04-02;45.25;46.0;44.5;45.75;216800.0
1990-04-03;46.25;47.25;46.0;47.0;248800.0
1990-04-04;47.0;47.0;45.75;45.75;283500.0
1990-04-05;46.25;46.25;45.75;46.25;155600.0
1990-04-06;46.25;47.75;46.0;47.25;281000.0
1990-04-09;47.25;48.0;47.0;47.75;78300.0
1990-04-10;48.0;48.75;47.5;48.5;227000.0
1990-04-11;48.5;49.25;48.25;49.0;316400.0
1990-04-12;49.25;51.0;49.0;50.5;324000.0
1990-04-16;50.75;51.0;49.75;49.75;95400.0
1990-04-17;49.75;50.25;49.25;50.25;203900.0
1990-04-18;50.25;52.0;48.75;50.75;536700.0
1990-04-19;51.0;52.25;50.75;51.5;368400.0
1990-04-20;52.0;52.25;50.5;51.25;320700.0
1990-04-23;51.0;51.25;49.75;50.25;176900.0
1990-04-24;50.5;51.0;50.25;50.5;225200.0
1990-04-25;50.25;52.0;50.25;51.75;270500.0
1990-04-26;51.5;52.0;50.25;50.75;183800.0
1990-04-27;50.5;51.0;49.75;49.75;209100.0
1990-04-30;50.25;50.25;49.0;50.0;240000.0
1990-05-01;25.5;26.5;25.25;26.0;113033.0
1990-05-02;26.25;27.0;25.75;26.12;299000.0
1990-05-03;26.25;26.5;25.75;26.25;239200.0
1990-05-04;26.25;26.5;25.75;26.5;326267.0
1990-05-07;26.5;27.75;26.0;27.5;290067.0
1990-05-08;27.75;28.0;27.25;27.75;219867.0
1990-05-09;27.75;28.25;27.25;27.5;426000.0
1990-05-10;27.75;28.25;27.5;27.75;285667.0
1990-05-11;27.75;28.75;27.5;28.5;288000.0
1990-05-14;28.5;29.75;28.25;28.25;725467.0
1990-05-15;28.0;28.75;27.75;28.75;353600.0
1990-05-16;28.25;28.75;28.0;28.75;509600.0
1990-05-17;28.75;30.0;28.5;29.75;427800.0
1990-05-18;30.0;30.5;29.25;30.25;290400.0
1990-05-21;30.5;31.0;30.0;30.75;388200.0
