date;open;high;low;close;volume
1995-02-24;13.5;13.75;13.0;13.25;30100.0
1995-02-27;13.0;13.0;12.5;13.0;55600.0
1995-02-28;13.25;14.0;12.75;12.75;175700.0
1995-03-01;13.25;13.25;11.5;11.5;291800.0
1995-03-02;12.0;12.5;11.0;11.75;401200.0
1995-03-03;11.25;11.75;11.25;11.25;121600.0
1995-03-06;11.62;11.62;11.25;11.5;81000.0
1995-03-07;11.62;11.62;10.75;11.25;281000.0
1995-03-08;10.5;11.0;10.25;10.63;525600.0
1995-03-09;11.0;11.0;10.25;10.37;221600.0
1995-03-10;10.25;10.75;10.25;10.63;107000.0
1995-03-13;10.75;11.25;10.5;11.0;145700.0
1995-03-14;11.5;12.0;11.0;11.25;106600.0
1995-03-15;11.75;12.0;11.25;11.75;186300.0
1995-03-16;11.5;12.0;11.25;11.5;135100.0
1995-03-17;11.25;12.0;11.25;11.44;179200.0
1995-03-20;12.0;12.0;11.12;11.12;145700.0
1995-03-21;11.12;11.75;11.0;11.0;86000.0
1995-03-22;11.12;11.75;11.12;11.12;101900.0
1995-03-23;11.12;11.5;10.88;10.88;148300.0
1995-03-24;11.12;11.12;10.25;10.5;246900.0
1995-03-27;10.5;11.0;10.25;10.5;57400.0
1995-03-28;11.0;11.0;10.37;10.63;91500.0
1995-03-29;10.5;11.0;10.37;10.63;113100.0
1995-03-30;11.0;11.0;10.5;10.5;61700.0
1995-03-31;11.0;11.25;10.5;11.25;79700.0
1995-04-03;11.25;11.25;10.75;11.0;78400.0
1995-04-04;11.25;12.0;11.0;11.87;147400.0
1995-04-05;11.87;12.25;11.38;11.87;34500.0
1995-04-06;12.25;12.25;11.5;12.25;107800.0
1995-04-07;11.75;12.25;11.5;11.56;51000.0
1995-04-10;11.5;11.87;11.5;11.75;18200.0
1995-04-11;11.5;11.87;11.5;11.5;49400.0
1995-04-12;11.87;11.87;11.5;11.5;179200.0
1995-04-13;11.75;11.75;11.5;11.62;12500.0
1995-04-17;11.5;11.75;11.25;11.5;41900.0
1995-04-18;11.5;11.5;11.0;11.25;36200.0
1995-04-19;11.0;11.25;10.75;11.25;102000.0
1995-04-20;11.25;11.25;10.75;11.0;67400.0
1995-04-21;10.75;11.25;10.5;11.0;25900.0
1995-04-24;10.5;11.0;10.5;10.56;47300.0
1995-04-25;10.75;11.0;10.5;11.0;94700.0
1995-04-26;11.0;12.0;10.75;11.87;86500.0
1995-04-27;12.0;12.0;11.5;11.5;20400.0
1995-04-28;12.0;12.0;11.5;11.62;40600.0
1995-05-01;12.0;12.0;11.25;12.0;29600.0
1995-05-02;11.75;12.0;11.25;12.0;20400.0
1995-05-03;12.0;12.0;11.5;12.0;11300.0
1995-05-04;12.0;12.25;11.5;11.5;52700.0
1995-05-05;11.5;12.0;11.25;11.25;11700.0
1995-05-08;11.25;12.0;11.25;12.0;30700.0
1995-05-09;12.0;12.0;11.25;11.5;23400.0
1995-05-10;11.5;12.25;11.25;11.75;38400.0
1995-05-11;12.25;12.25;11.75;12.0;4400.0
1995-05-12;12.25;12.5;11.75;12.5;9800.0
1995-05-15;12.5;12.5;12.0;12.0;12200.0
1995-05-16;12.5;12.62;12.0;12.5;77300.0
1995-05-17;13.0;13.0;12.25;12.75;58700.0
1995-05-18;13.0;13.0;12.25;12.25;18200.0
1995-05-19;12.75;13.0;12.25;12.75;17100.0
1995-05-22;13.0;13.0;12.25;13.0;9300.0
1995-05-23;12.25;13.0;12.25;12.88;24100.0
1995-05-24;12.5;13.0;12.5;12.5;6200.0
1995-05-25;13.0;13.0;12.5;12.88;29300.0
1995-05-26;12.56;13.0;12.5;13.0;15700.0
1995-05-30;13.0;13.0;12.25;12.25;12900.0
1995-05-31;12.25;12.75;12.25;12.62;7000.0
1995-06-01;12.5;13.0;12.38;12.38;69400.0
1995-06-02;13.0;13.12;12.5;12.88;6000.0
1995-06-05;13.0;13.25;12.5;13.25;41200.0
1995-06-06;12.88;13.37;12.88;13.12;141300.0
1995-06-07;13.37;13.37;12.88;13.0;102400.0
1995-06-08;12.62;13.0;12.62;12.75;8300.0
1995-06-09;12.88;13.0;12.13;12.5;44700.0
1995-06-12;12.5;12.5;12.0;12.5;11700.0
1995-06-13;12.5;12.5;12.13;12.25;6700.0
1995-06-14;12.5;12.5;12.0;12.0;134000.0
1995-06-15;12.0;12.5;12.0;12.25;135100.0
1995-06-16;12.5;12.5;12.0;12.0;37700.0
1995-06-19;12.0;12.5;12.0;12.5;11700.0
1995-06-20;12.5;12.5;11.75;11.75;14800.0
1995-06-21;12.25;12.25;11.75;11.75;29100.0
1995-06-22;11.75;12.25;11.75;11.87;85800.0
1995-06-23;12.25;12.25;11.75;11.75;6900.0
1995-06-26;11.75;12.13;11.75;11.87;16900.0
1995-06-27;12.13;12.13;11.75;11.75;17900.0
1995-06-28;11.75;12.13;11.75;11.75;15000.0
1995-06-29;12.25;12.25;11.75;11.75;21100.0
1995-06-30;12.25;12.25;11.75;12.25;40600.0
1995-07-03;12.0;12.25;12.0;12.0;4400.0
1995-07-05;12.25;12.5;12.0;12.0;28000.0
1995-07-06;12.5;12.5;12.0;12.38;36300.0
1995-07-07;12.5;13.0;12.25;13.0;21200.0
1995-07-10;13.0;13.0;12.38;12.38;20900.0
1995-07-11;12.38;13.0;12.25;13.0;23000.0
1995-07-12;13.0;13.12;12.38;12.88;65100.0
1995-07-13;13.12;13.12;12.62;12.62;10800.0
1995-07-14;13.0;13.0;12.62;13.0;13900.0
1995-07-17;12.62;13.0;12.62;12.62;14900.0
1995-07-18;12.62;13.12;12.62;13.12;72000.0
1995-07-19;12.75;13.12;12.62;12.75;35400.0
1995-07-20;12.62;13.0;12.5;12.62;13400.0
1995-07-21;13.0;13.0;12.5;12.62;40900.0
1995-07-24;13.0;13.0;12.38;12.75;73100.0
1995-07-25;12.75;12.75;12.38;12.5;7200.0
1995-07-26;12.75;12.75;12.38;12.75;16400.0
1995-07-27;12.38;12.75;12.38;12.5;36700.0
1995-07-28;12.62;12.62;12.38;12.62;45700.0
1995-07-31;12.38;12.75;12.38;12.38;13100.0
1995-08-01;12.38;12.75;12.38;12.75;34500.0
1995-08-02;13.0;13.0;12.38;12.5;47800.0
1995-08-03;12.38;13.0;12.38;12.62;46900.0
1995-08-04;13.0;13.25;12.62;13.0;260000.0
1995-08-07;13.37;13.75;13.0;13.63;84100.0
1995-08-08;13.12;13.75;13.12;13.25;86900.0
1995-08-09;13.75;13.75;13.25;13.5;4600.0
1995-08-10;13.5;13.75;13.25;13.25;26200.0
1995-08-11;13.25;14.12;13.25;14.12;27500.0
1995-08-14;14.12;14.5;13.5;14.5;41100.0
1995-08-15;14.5;14.5;13.75;14.25;5000.0
1995-08-16;14.0;14.5;13.75;13.75;10200.0
1995-08-17;13.75;14.5;13.75;14.38;29200.0
1995-08-18;14.0;14.5;14.0;14.25;92400.0
1995-08-21;14.75;15.5;14.5;14.87;123000.0
1995-08-22;14.75;15.25;14.75;15.06;102100.0
1995-08-23;14.75;15.25;14.75;14.75;196000.0
1995-08-24;14.75;15.13;14.5;15.0;66600.0
1995-08-25;14.5;15.0;14.5;14.87;10000.0
1995-08-28;14.5;15.0;14.5;14.5;1600.0
1995-08-29;14.5;14.62;14.5;14.62;23000.0
1995-08-30;15.0;15.0;13.75;13.88;42500.0
1995-08-31;14.0;14.5;14.0;14.5;10800.0
1995-09-01;14.5;14.75;14.25;14.75;28300.0
1995-09-05;14.75;14.75;14.25;14.25;5400.0
1995-09-06;14.75;14.75;14.25;14.75;296700.0
1995-09-07;14.75;15.25;14.5;15.25;485300.0
1995-09-08;15.25;15.25;15.0;15.13;13100.0
1995-09-11;15.25;15.25;14.75;15.25;8800.0
1995-09-12;14.75;15.25;14.75;14.87;17400.0
1995-09-13;15.0;15.06;14.87;14.87;183300.0
1995-09-14;14.87;15.13;14.75;15.13;58600.0
1995-09-15;15.13;15.13;14.62;14.75;22900.0
1995-09-18;14.25;14.75;14.25;14.5;11700.0
1995-09-19;15.0;15.0;14.25;14.5;34500.0
1995-09-20;14.25;15.0;14.25;14.62;51100.0
1995-09-21;15.0;15.0;14.5;14.5;34400.0
1995-09-22;14.5;15.0;14.5;14.5;8200.0
1995-09-25;14.5;14.87;14.5;14.62;8700.0
1995-09-26;14.75;14.75;14.38;14.38;3800.0
1995-09-27;14.38;14.75;14.25;14.75;10700.0
1995-09-28;14.25;14.75;14.25;14.75;15600.0
1995-09-29;14.25;14.75;14.25;14.25;17800.0
1995-10-02;14.75;15.0;14.25;15.0;5900.0
1995-10-03;15.0;15.0;14.75;14.75;21800.0
1995-10-04;14.75;15.0;14.25;14.25;22200.0
1995-10-05;15.0;15.0;14.25;15.0;3900.0
1995-10-06;15.0;15.0;14.25;14.75;4100.0
1995-10-09;15.0;15.0;14.25;14.75;8400.0
1995-10-10;14.25;14.5;14.0;14.25;14600.0
1995-10-11;14.12;14.75;14.12;14.75;3100.0
1995-10-12;14.25;14.75;14.12;14.38;22800.0
1995-10-13;15.0;15.0;14.5;15.0;20600.0
1995-10-16;15.0;15.25;14.5;15.06;11500.0
1995-10-17;15.0;16.0;15.0;16.0;325000.0
1995-10-18;15.88;16.75;15.75;16.63;78000.0
1995-10-19;16.25;17.5;16.25;17.25;125000.0
1995-10-20;17.5;17.5;16.75;17.25;29800.0
1995-10-23;17.25;17.25;16.75;17.0;8800.0
1995-10-24;16.75;17.25;16.75;16.75;55000.0
1995-10-25;17.25;17.25;16.5;16.75;21000.0
1995-10-26;16.25;16.75;16.25;16.75;46500.0
1995-10-27;16.25;16.75;16.25;16.25;4300.0
1995-10-30;16.25;16.75;16.25;16.5;3800.0
1995-10-31;16.25;16.75;16.25;16.75;6000.0
1995-11-01;16.75;16.75;16.25;16.75;1400.0
1995-11-02;16.25;16.75;16.25;16.63;40000.0
1995-11-03;16.75;16.75;16.56;16.75;9700.0
1995-11-06;16.75;16.75;16.37;16.37;3700.0
1995-11-07;16.37;16.75;16.37;16.75;3400.0
1995-11-08;16.75;17.0;16.5;16.75;27200.0
1995-11-09;16.5;17.0;16.5;16.5;2800.0
1995-11-10;17.0;17.0;16.5;16.5;21300.0
1995-11-13;16.5;17.0;16.25;16.5;9300.0
1995-11-14;16.25;16.75;16.25;16.63;16400.0
1995-11-15;16.75;16.75;16.25;16.5;25300.0
1995-11-16;16.5;16.5;16.25;16.25;32100.0
