date;open;high;low;close;volume
1984-09-07;18.25;18.25;18.12;18.12;3800.0
1984-09-10;18.12;18.25;17.5;17.5;2467.0
1984-09-11;17.5;17.75;17.37;17.62;9000.0
1984-09-12;17.37;17.37;16.75;17.0;2600.0
1984-09-13;17.0;17.0;16.75;17.0;3467.0
1984-09-14;17.12;17.37;17.12;17.37;3600.0
1984-09-17;17.25;17.25;17.0;17.0;400.0
1984-09-18;16.87;16.87;16.62;16.62;3467.0
1984-09-19;16.62;16.87;16.62;16.62;5067.0
1984-09-20;16.62;16.75;16.62;16.75;3600.0
1984-09-21;16.75;17.12;16.62;16.62;3200.0
1984-09-24;16.5;16.5;16.0;16.0;7467.0
1984-09-25;15.88;15.88;15.5;15.5;13600.0
1984-09-26;15.5;15.5;15.0;15.0;4667.0
1984-09-27;15.0;15.0;14.75;14.88;2267.0
1984-09-28;14.88;15.13;14.88;15.13;1200.0
1984-10-01;15.13;15.13;15.13;15.13;800.0
1984-10-02;15.0;15.0;15.0;15.0;1267.0
1984-10-03;15.0;15.13;14.75;15.0;11800.0
1984-10-04;13.0;13.0;11.88;12.0;52200.0
1984-10-05;12.0;12.25;11.63;12.13;40000.0
1984-10-08;12.13;12.13;11.88;12.0;21400.0
1984-10-09;12.13;12.38;12.13;12.38;26600.0
1984-10-10;12.38;12.75;12.25;12.5;15667.0
1984-10-11;12.5;12.63;12.25;12.5;2200.0
1984-10-12;12.5;12.75;12.5;12.5;6467.0
1984-10-15;12.63;13.0;12.63;12.75;71800.0
1984-10-16;12.5;12.5;12.38;12.5;2200.0
1984-10-17;12.38;12.38;12.25;12.25;1267.0
1984-10-18;12.25;12.25;12.25;12.25;1800.0
1984-10-19;12.38;12.63;12.38;12.5;29267.0
1984-10-22;12.75;12.75;12.75;12.75;67.0
1984-10-23;12.5;12.5;12.5;12.5;267.0
1984-10-24;12.5;12.5;12.38;12.5;10200.0
1984-10-25;12.5;12.5;12.25;12.25;4867.0
1984-10-26;12.25;12.5;12.25;12.38;10667.0
1984-10-29;12.38;12.38;12.0;12.38;5200.0
1984-10-30;12.38;12.38;12.25;12.25;4667.0
1984-10-31;12.13;12.13;12.13;12.13;2000.0
1984-11-01;12.13;12.25;12.13;12.13;2800.0
1984-11-02;12.25;12.38;12.25;12.38;2000.0
1984-11-05;12.38;12.5;12.38;12.5;2467.0
1984-11-06;12.75;13.13;12.75;13.13;14400.0
1984-11-07;13.13;13.5;13.0;13.5;33600.0
1984-11-08;13.5;13.75;13.38;13.38;2867.0
1984-11-09;13.38;13.63;13.38;13.63;2000.0
1984-11-12;13.63;13.63;13.5;13.63;1600.0
1984-11-13;13.63;13.63;13.25;13.25;3800.0
1984-11-14;13.25;13.25;13.25;13.25;0.0
1984-11-15;13.25;13.25;13.25;13.25;2067.0
1984-11-16;13.38;13.38;13.38;13.38;267.0
1984-11-19;13.13;13.13;12.88;12.88;467.0
1984-11-20;12.63;12.63;12.38;12.38;25267.0
1984-11-21;12.13;12.13;12.0;12.13;1067.0
1984-11-23;12.0;12.0;11.5;12.0;14400.0
1984-11-26;12.0;12.0;11.88;11.88;45867.0
1984-11-27;11.75;11.75;10.25;10.75;69200.0
1984-11-28;10.5;10.5;10.13;10.13;77600.0
1984-11-29;10.13;10.13;9.63;9.63;71200.0
1984-11-30;9.63;10.0;9.5;10.0;20267.0
1984-12-03;10.0;10.75;10.0;10.75;19000.0
1984-12-04;10.5;10.5;10.0;10.13;32400.0
1984-12-05;10.13;10.25;10.0;10.0;42400.0
1984-12-06;10.0;10.25;10.0;10.13;2600.0
1984-12-07;10.0;10.0;10.0;10.0;2000.0
1984-12-10;10.0;10.0;10.0;10.0;5600.0
1984-12-11;10.0;10.13;9.75;10.13;7667.0
1984-12-12;10.13;10.13;9.75;10.13;9867.0
