date;open;high;low;close;volume
2007-06-20;0.89;0.89;0.89;0.89;0.0
2007-06-21;0.93;0.93;0.93;0.93;0.0
2007-06-22;0.93;0.93;0.93;0.93;0.0
2007-06-25;0.9492;0.9492;0.9492;0.9492;1000.0
2007-06-26;0.8943;0.8943;0.8943;0.8943;0.0
2007-06-27;0.935;0.935;0.935;0.935;1000.0
2007-06-28;0.94;0.94;0.94;0.94;0.0
2007-06-29;0.93;0.93;0.93;0.93;1000.0
2007-07-02;0.93;0.93;0.93;0.93;0.0
2007-07-03;0.9371;0.9371;0.9371;0.9371;0.0
2007-07-05;0.94;0.94;0.94;0.94;0.0
2007-07-06;0.94;0.9497;0.94;0.94;4000.0
2007-07-09;0.94;0.94;0.94;0.94;0.0
2007-07-10;0.94;0.94;0.94;0.94;0.0
2007-07-11;0.94;0.94;0.94;0.94;0.0
2007-07-12;0.9608;0.9608;0.9608;0.9608;0.0
2007-07-13;0.96;0.96;0.96;0.96;0.0
2007-07-16;0.96;0.96;0.96;0.96;0.0
2007-07-17;0.96;0.96;0.96;0.96;0.0
2007-07-18;0.96;0.96;0.96;0.96;0.0
2007-07-19;0.9752;0.9752;0.9752;0.9752;1000.0
2007-07-20;0.98;0.98;0.98;0.98;0.0
2007-07-23;0.98;0.98;0.98;0.98;0.0
2007-07-24;0.98;0.98;0.98;0.98;0.0
2007-07-25;0.96;0.96;0.96;0.96;3000.0
2007-07-26;0.95;0.95;0.93;0.95;24000.0
2007-07-27;0.94;0.9598;0.9392;0.9392;0.0
2007-07-30;0.94;0.94;0.94;0.94;0.0
2007-07-31;0.9384;0.9384;0.9384;0.9384;250000.0
2007-08-01;0.94;0.94;0.94;0.94;0.0
2007-08-02;0.94;0.94;0.94;0.94;0.0
2007-08-03;0.94;0.94;0.94;0.94;0.0
2007-08-06;0.94;0.94;0.94;0.94;0.0
2007-08-07;0.971;0.971;0.971;0.971;4000.0
2007-08-08;0.97;0.97;0.97;0.97;0.0
2007-08-09;0.97;0.97;0.97;0.97;0.0
2007-08-10;0.9039;0.9039;0.9039;0.9039;0.0
2007-08-13;0.9;0.9;0.9;0.9;0.0
2007-08-14;0.8959;0.8959;0.8959;0.8959;1000.0
2007-08-15;0.9;0.9;0.9;0.9;0.0
2007-08-16;0.9;0.9;0.9;0.9;0.0
2007-08-17;0.8244;0.8244;0.8244;0.8244;1000.0
2007-08-20;0.8208;0.8208;0.8208;0.8208;3000.0
2007-08-21;0.85;0.8545;0.8004;0.8495;1000.0
2007-08-22;0.85;0.85;0.85;0.85;0.0
2007-08-23;0.85;0.85;0.85;0.85;0.0
2007-08-24;0.85;0.85;0.85;0.85;0.0
2007-08-27;0.8431;0.8431;0.8431;0.8431;0.0
2007-08-28;0.84;0.84;0.84;0.84;0.0
2007-08-29;0.84;0.84;0.84;0.84;0.0
2007-08-30;0.84;0.84;0.84;0.84;0.0
2007-08-31;0.84;0.84;0.84;0.84;0.0
2007-09-04;0.8581;0.8581;0.8581;0.8581;1000.0
2007-09-05;0.86;0.86;0.86;0.86;0.0
2007-09-06;0.878;0.878;0.878;0.878;1000.0
2007-09-07;0.88;0.88;0.88;0.88;0.0
2007-09-10;0.88;0.88;0.88;0.88;0.0
2007-09-11;0.8375;0.8375;0.8375;0.8375;1000.0
2007-09-12;0.84;0.84;0.84;0.84;0.0
2007-09-13;0.97;0.97;0.97;0.97;1000.0
2007-09-14;0.96;0.96;0.9;0.96;1000.0
2007-09-17;0.96;0.96;0.96;0.96;0.0
2007-09-18;0.96;0.96;0.96;0.96;0.0
2007-09-19;0.96;0.96;0.96;0.96;0.0
2007-09-20;0.96;0.96;0.96;0.96;0.0
2007-09-21;0.96;0.96;0.96;0.96;0.0
2007-09-24;0.96;0.96;0.96;0.96;0.0
2007-09-25;0.96;0.96;0.96;0.96;0.0
2007-09-26;0.96;0.96;0.96;0.96;0.0
2007-09-27;0.96;0.96;0.96;0.96;0.0
2007-09-28;0.96;0.96;0.96;0.96;0.0
2007-10-01;0.96;0.96;0.96;0.96;0.0
2007-10-02;0.994;0.994;0.994;0.994;0.0
2007-10-03;0.99;0.99;0.99;0.99;0.0
