date;open;high;low;close;volume
2010-10-20;14.0;15.74;13.22;15.0;8186600.0
2010-10-21;14.75;15.49;14.58;14.76;2249600.0
2010-10-22;15.0;16.5;14.8;16.5;1230400.0
2010-10-25;16.95;17.9;16.06;17.67;1214000.0
2010-10-26;17.6;18.34;17.55;18.0;986100.0
2010-10-27;17.89;17.97;16.35;17.5;712400.0
2010-10-28;17.35;17.92;16.68;17.7;346000.0
2010-10-29;17.7;17.83;17.35;17.8;177700.0
2010-11-01;17.5;17.7;16.5;16.65;270900.0
2010-11-02;16.75;16.88;14.65;15.05;574200.0
2010-11-03;15.05;15.27;14.73;15.02;307200.0
2010-11-04;15.08;15.48;14.8;14.89;435500.0
2010-11-05;14.89;15.68;14.89;15.55;90100.0
2010-11-08;15.75;16.9;15.75;16.04;386900.0
2010-11-09;17.0;17.0;16.16;16.43;159500.0
2010-11-10;16.5;16.99;16.5;16.88;148100.0
2010-11-11;16.97;17.89;16.7;17.8;152500.0
2010-11-12;17.35;17.5;16.59;17.13;63200.0
2010-11-15;17.11;17.36;16.25;16.37;77700.0
2010-11-16;16.2;16.56;15.5;15.5;66600.0
2010-11-17;15.33;16.13;15.0;15.88;271100.0
2010-11-18;16.08;16.72;15.98;16.15;115100.0
2010-11-19;16.25;16.35;15.5;15.59;118900.0
2010-11-22;15.7;16.48;15.68;15.92;52600.0
2010-11-23;16.03;16.29;15.86;16.04;123200.0
2010-11-24;15.9;17.35;15.9;17.25;176600.0
2010-11-26;16.9;17.22;16.7;16.85;73800.0
2010-11-29;17.09;17.22;15.6;16.0;194200.0
2010-11-30;15.75;16.1;15.75;16.0;3600.0
2010-12-01;16.4;16.73;16.4;16.44;18200.0
2010-12-02;16.73;16.92;16.54;16.72;12800.0
2010-12-03;16.5;16.8;16.33;16.56;59500.0
2010-12-06;16.55;16.66;16.03;16.08;33000.0
2010-12-07;16.25;16.25;15.2;15.21;415500.0
2010-12-08;15.2;15.69;14.64;15.35;350400.0
2010-12-09;15.6;15.6;15.03;15.1;378500.0
2010-12-10;15.0;15.19;14.5;14.5;247900.0
2010-12-13;14.58;14.6;14.02;14.56;178600.0
2010-12-14;14.67;15.05;14.28;14.7;54900.0
2010-12-15;14.89;15.12;14.45;14.58;93600.0
2010-12-16;14.64;14.99;14.2;14.88;73500.0
2010-12-17;14.67;14.67;14.1;14.39;259300.0
2010-12-20;14.42;14.98;14.26;14.29;169100.0
2010-12-21;14.62;15.64;14.56;15.54;155700.0
2010-12-22;15.27;15.65;15.25;15.6;69300.0
2010-12-23;15.6;15.6;15.2;15.53;17700.0
2010-12-27;15.6;15.96;15.28;15.75;81800.0
2010-12-28;15.96;15.96;15.65;15.8;70000.0
2010-12-29;15.93;15.95;15.25;15.75;227800.0
2010-12-30;15.79;15.93;15.38;15.93;158200.0
2010-12-31;15.85;16.15;15.62;16.1;85800.0
2011-01-03;16.25;16.25;15.36;15.82;44700.0
2011-01-04;15.58;15.89;15.49;15.83;79300.0
2011-01-05;15.84;16.08;15.7;15.9;153200.0
2011-01-06;16.07;16.11;15.74;16.09;99400.0
2011-01-07;16.13;16.2;15.93;16.03;96700.0
2011-01-10;16.24;16.24;15.48;15.64;47000.0
2011-01-11;15.5;15.74;15.22;15.65;45500.0
2011-01-12;15.55;16.1;15.54;15.96;88400.0
2011-01-13;16.0;16.03;15.85;16.0;30000.0
2011-01-14;15.95;15.99;15.53;15.99;23000.0
2011-01-18;15.9;16.0;15.57;16.0;44000.0
2011-01-19;15.93;16.15;15.69;16.14;155200.0
2011-01-20;15.9;16.1;15.33;15.62;180100.0
2011-01-21;15.45;15.5;14.9;14.96;303600.0
2011-01-24;15.0;15.51;14.87;15.24;381200.0
2011-01-25;15.16;15.2;12.19;13.04;913200.0
2011-01-26;12.96;13.15;11.89;12.35;1325300.0
2011-01-27;12.32;13.8;12.16;13.55;274400.0
2011-01-28;13.45;13.45;12.63;13.06;405900.0
2011-01-31;13.32;13.49;12.82;13.0;140700.0
2011-02-01;13.18;13.33;12.8;12.99;114200.0
2011-02-02;13.0;13.07;12.86;13.0;55400.0
2011-02-03;13.0;13.22;12.79;13.02;117400.0
2011-02-04;13.26;13.26;12.9;13.01;31000.0
2011-02-07;12.9;13.15;12.9;12.99;37300.0
2011-02-08;13.11;13.11;12.9;12.96;62500.0
2011-02-09;12.96;13.0;12.86;12.87;55600.0
2011-02-10;13.0;13.0;12.61;12.82;129500.0
2011-02-11;12.94;12.94;12.55;12.55;100600.0
2011-02-14;12.45;12.8;12.3;12.59;273500.0
2011-02-15;12.5;12.55;12.31;12.45;26500.0
2011-02-16;12.73;12.73;11.98;12.04;149000.0
2011-02-17;11.95;12.05;11.31;11.5;351600.0
2011-02-18;11.44;11.95;11.44;11.9;140200.0
2011-02-22;12.0;12.0;11.46;11.52;44300.0
2011-02-23;11.72;11.94;11.0;11.17;316800.0
2011-02-24;11.16;11.26;10.42;10.53;330400.0
2011-02-25;10.52;10.62;10.2;10.49;183000.0
2011-02-28;10.73;11.6;10.39;10.48;163000.0
2011-03-01;10.49;10.77;10.1;10.34;212200.0
2011-03-02;10.3;10.39;9.85;10.0;285900.0
2011-03-03;10.15;10.2;9.9;10.15;216800.0
2011-03-04;10.09;10.2;10.05;10.13;15200.0
2011-03-07;10.22;10.45;10.17;10.35;111000.0
2011-03-08;10.35;10.74;10.35;10.6;65300.0
2011-03-09;10.63;11.7;10.52;11.6;121800.0
2011-03-10;11.6;11.6;10.93;11.0;341400.0
2011-03-11;11.11;11.5;10.76;10.84;212600.0
2011-03-14;10.68;11.29;10.43;11.19;176700.0
2011-03-15;10.79;11.35;10.7;11.28;119800.0
2011-03-16;11.4;11.4;10.66;10.83;65900.0
2011-03-17;11.06;11.06;10.75;10.84;45300.0
2011-03-18;10.92;10.92;10.55;10.64;43100.0
2011-03-21;10.71;10.95;10.56;10.95;23800.0
2011-03-22;10.9;10.95;10.51;10.64;41400.0
2011-03-23;10.54;10.99;10.44;10.69;32500.0
2011-03-24;10.82;10.92;10.53;10.72;73300.0
2011-03-25;10.81;10.92;10.6;10.7;40700.0
2011-03-28;10.86;11.02;10.67;10.94;412800.0
2011-03-29;10.8;11.0;10.8;11.0;143500.0
2011-03-30;10.93;11.49;10.93;11.02;162000.0
2011-03-31;11.08;11.15;10.87;10.93;13400.0
2011-04-01;10.95;10.95;10.25;10.36;110300.0
2011-04-04;10.26;10.4;10.13;10.29;73100.0
2011-04-05;10.33;10.43;10.22;10.37;53800.0
2011-04-06;10.44;10.71;10.1;10.49;198600.0
2011-04-07;10.57;11.19;10.47;11.09;135900.0
2011-04-08;11.06;11.47;11.06;11.46;53300.0
2011-04-11;11.48;11.9;11.48;11.7;46200.0
2011-04-12;11.69;11.69;11.49;11.57;30900.0
2011-04-13;11.71;11.71;11.59;11.65;16100.0
2011-04-14;11.7;11.89;11.59;11.74;11100.0
2011-04-15;11.91;11.94;11.72;11.84;37600.0
2011-04-18;11.81;11.83;11.62;11.75;11800.0
2011-04-19;11.75;12.2;11.73;12.15;48700.0
2011-04-20;12.22;13.0;12.18;12.89;88900.0
2011-04-21;12.99;13.0;12.77;12.98;38400.0
2011-04-25;13.07;13.07;12.85;13.02;21600.0
2011-04-26;12.95;13.12;12.95;13.03;38600.0
2011-04-27;13.13;13.85;13.13;13.75;128700.0
2011-04-28;14.0;14.2;12.94;13.01;213000.0
2011-04-29;13.01;13.01;12.61;12.75;30000.0
2011-05-02;13.25;13.25;12.26;12.6;65000.0
2011-05-03;12.5;12.5;10.88;11.1;191000.0
2011-05-04;11.03;11.28;11.0;11.09;48000.0
2011-05-05;11.09;11.34;10.86;11.21;11600.0
2011-05-06;11.42;11.42;11.25;11.32;21100.0
2011-05-09;11.41;11.77;11.25;11.7;51000.0
2011-05-10;11.82;12.17;11.65;12.0;54400.0
2011-05-11;11.91;12.15;11.91;11.99;35300.0
2011-05-12;12.49;12.49;11.92;12.1;35000.0
2011-05-13;12.12;12.14;11.79;11.88;31600.0
2011-05-16;12.05;12.12;11.63;11.71;16300.0
2011-05-17;11.49;11.67;11.49;11.59;11500.0
2011-05-18;11.49;11.79;11.49;11.77;10800.0
2011-05-19;11.7;11.7;11.4;11.45;52400.0
2011-05-20;11.39;11.63;11.39;11.49;33400.0
2011-05-23;11.59;11.59;10.56;11.15;159800.0
2011-05-24;11.09;11.49;10.8;11.25;186400.0
2011-05-25;11.05;11.5;11.05;11.06;82100.0
2011-05-26;11.08;11.09;10.82;11.02;31400.0
2011-05-27;10.92;11.15;10.92;11.12;8100.0
2011-05-31;10.81;11.15;10.81;10.98;22000.0
2011-06-01;10.98;11.2;10.98;11.14;7900.0
2011-06-02;11.35;11.35;10.9;11.12;15500.0
2011-06-03;10.77;10.94;10.63;10.85;27100.0
