date;open;high;low;close;volume
1992-11-20;6.27;6.48;6.27;6.48;4673900.0
1992-11-23;6.48;6.48;6.41;6.41;658500.0
1992-11-24;6.41;6.48;6.34;6.34;493200.0
1992-11-25;6.41;6.48;6.41;6.48;454900.0
1992-11-27;6.41;6.48;6.41;6.41;74900.0
1992-11-30;6.41;6.48;6.34;6.41;190200.0
1992-12-01;6.41;6.41;6.41;6.41;184700.0
1992-12-02;6.41;6.48;6.41;6.41;145800.0
1992-12-03;6.48;6.61;6.41;6.55;150200.0
1992-12-04;6.55;6.61;6.55;6.55;114400.0
1992-12-07;6.61;6.61;6.48;6.48;104900.0
1992-12-08;6.55;6.55;6.48;6.48;301700.0
1992-12-09;6.48;6.48;6.41;6.41;768000.0
1992-12-10;6.41;6.48;6.41;6.48;194500.0
1992-12-11;6.48;6.55;6.41;6.41;105300.0
1992-12-14;6.41;6.48;6.34;6.41;344100.0
1992-12-15;6.41;6.48;6.41;6.41;215900.0
1992-12-16;6.41;6.48;6.34;6.34;86800.0
1992-12-17;6.34;6.48;6.34;6.41;200700.0
1992-12-18;6.48;6.48;6.41;6.41;141800.0
1992-12-21;6.41;6.41;6.34;6.41;170200.0
1992-12-22;6.41;6.55;6.41;6.48;83500.0
1992-12-23;6.55;6.61;6.48;6.55;93000.0
1992-12-24;6.52;6.59;6.52;6.52;8900.0
1992-12-28;6.59;6.66;6.52;6.52;307500.0
1992-12-29;6.45;6.52;6.45;6.45;163800.0
1992-12-30;6.52;6.59;6.45;6.52;121900.0
1992-12-31;6.52;6.52;6.52;6.52;144800.0
1993-01-04;6.52;6.59;6.52;6.52;266800.0
1993-01-05;6.52;6.59;6.52;6.59;183100.0
1993-01-06;6.59;6.8;6.52;6.8;233900.0
1993-01-07;6.87;7.22;6.87;7.01;175800.0
1993-01-08;6.94;7.22;6.94;7.15;89800.0
1993-01-11;7.22;7.36;7.15;7.15;117800.0
1993-01-12;7.15;7.29;7.08;7.15;259100.0
1993-01-13;7.22;7.29;7.15;7.29;94600.0
1993-01-14;7.29;7.29;7.15;7.15;313700.0
1993-01-15;7.22;7.22;7.15;7.15;94300.0
1993-01-18;7.15;7.36;7.15;7.36;70400.0
1993-01-19;7.36;7.36;7.22;7.29;62500.0
1993-01-20;7.22;7.29;7.22;7.22;80400.0
1993-01-21;7.22;7.22;7.08;7.22;72000.0
1993-01-22;7.22;7.29;7.15;7.22;42000.0
1993-01-25;7.29;7.36;7.22;7.29;33500.0
1993-01-26;7.29;7.36;7.22;7.22;63000.0
1993-01-27;7.15;7.29;7.15;7.22;98600.0
1993-01-28;7.22;7.22;7.15;7.22;201200.0
1993-01-29;7.29;7.29;7.22;7.29;15000.0
1993-02-01;7.29;7.36;7.29;7.29;219600.0
1993-02-02;7.36;7.5;7.29;7.5;63200.0
1993-02-03;7.57;7.64;7.43;7.43;137000.0
1993-02-04;7.43;7.5;7.36;7.43;96300.0
1993-02-05;7.5;7.57;7.43;7.5;210900.0
1993-02-08;7.5;7.5;7.43;7.5;51300.0
1993-02-09;7.5;7.5;7.36;7.36;54000.0
1993-02-10;7.36;7.5;7.36;7.43;29900.0
1993-02-11;7.43;7.5;7.36;7.36;27500.0
1993-02-12;7.43;7.5;7.36;7.5;240700.0
1993-02-16;7.5;7.5;7.29;7.43;76800.0
1993-02-17;7.43;7.57;7.43;7.5;156000.0
1993-02-18;7.43;7.43;7.22;7.22;42600.0
1993-02-19;7.29;7.29;6.87;6.94;117200.0
1993-02-22;7.01;7.01;6.94;6.94;53800.0
1993-02-23;6.94;7.22;6.94;7.22;91300.0
1993-02-24;7.29;7.36;7.22;7.29;60800.0
1993-02-25;7.36;7.36;7.29;7.29;46600.0
1993-02-26;7.29;7.36;7.29;7.36;30900.0
1993-03-01;7.29;7.43;7.29;7.43;53800.0
1993-03-02;7.36;7.71;7.36;7.57;116700.0
1993-03-03;7.57;7.57;7.5;7.57;69400.0
1993-03-04;7.5;7.57;7.5;7.57;29600.0
1993-03-05;7.5;7.64;7.5;7.57;93500.0
1993-03-08;7.64;7.78;7.64;7.78;73300.0
1993-03-09;7.78;7.85;7.71;7.78;100700.0
1993-03-10;7.78;7.85;7.64;7.78;68100.0
1993-03-11;7.78;7.99;7.78;7.92;44900.0
1993-03-12;7.92;8.06;7.85;8.06;88000.0
1993-03-15;8.06;8.48;8.06;8.27;253300.0
1993-03-16;8.2;8.34;7.92;8.34;49800.0
1993-03-17;8.27;8.34;8.06;8.13;76500.0
1993-03-18;8.2;8.41;8.13;8.34;279600.0
1993-03-19;8.34;8.34;8.2;8.34;75200.0
1993-03-22;8.34;8.34;8.27;8.34;35700.0
1993-03-23;8.27;8.34;8.13;8.27;114800.0
1993-03-24;8.2;8.27;8.2;8.27;38300.0
1993-03-25;8.32;8.39;8.25;8.32;42700.0
1993-03-26;8.39;8.54;8.39;8.54;77200.0
1993-03-29;8.54;8.54;8.39;8.46;30000.0
1993-03-30;8.46;8.46;8.39;8.46;41500.0
1993-03-31;8.39;8.46;8.39;8.46;78800.0
1993-04-01;8.39;8.46;8.39;8.46;96800.0
1993-04-02;8.46;8.46;8.39;8.39;134600.0
1993-04-05;8.39;8.46;8.39;8.39;73300.0
1993-04-06;8.46;8.46;8.39;8.39;177600.0
1993-04-07;8.46;8.46;8.39;8.46;100700.0
1993-04-08;8.46;8.46;8.39;8.39;22500.0
1993-04-12;8.39;8.54;8.39;8.54;44300.0
1993-04-13;8.46;8.54;8.46;8.54;100000.0
1993-04-14;8.54;8.75;8.54;8.75;111700.0
1993-04-15;8.75;8.82;8.68;8.75;87300.0
1993-04-16;8.75;8.82;8.54;8.61;51000.0
1993-04-19;8.68;8.68;8.54;8.68;29400.0
1993-04-20;8.61;8.61;8.39;8.54;224000.0
1993-04-21;8.46;8.46;8.18;8.39;32200.0
1993-04-22;8.39;8.46;8.32;8.39;26400.0
1993-04-23;8.39;8.46;8.32;8.39;222700.0
1993-04-26;8.32;8.32;8.04;8.11;72000.0
1993-04-27;8.18;8.18;8.04;8.11;57500.0
1993-04-28;8.04;8.04;7.9;7.97;68900.0
1993-04-29;7.9;7.97;7.82;7.97;62500.0
1993-04-30;7.97;8.11;7.9;7.97;41200.0
1993-05-03;8.04;8.04;7.97;7.97;68300.0
1993-05-04;8.04;8.46;8.04;8.25;83800.0
1993-05-05;8.11;8.18;7.9;8.11;38200.0
1993-05-06;8.11;8.11;7.9;7.97;125700.0
1993-05-07;7.82;7.97;7.68;7.97;69500.0
1993-05-10;7.97;8.18;7.97;8.11;22700.0
1993-05-11;8.18;8.18;8.04;8.11;18600.0
1993-05-12;8.04;8.25;7.97;8.25;175800.0
1993-05-13;8.25;8.25;8.04;8.11;25800.0
1993-05-14;8.04;8.18;8.04;8.18;23000.0
1993-05-17;7.9;8.11;7.9;8.04;24200.0
1993-05-18;8.04;8.04;7.9;7.97;71700.0
1993-05-19;7.97;7.97;7.82;7.82;31400.0
1993-05-20;7.9;8.11;7.9;7.97;183700.0
1993-05-21;7.97;8.04;7.9;7.97;75200.0
1993-05-24;8.11;8.25;7.97;7.97;38400.0
1993-05-25;8.04;8.04;7.9;8.04;28500.0
1993-05-26;7.97;8.25;7.97;8.25;42400.0
1993-05-27;8.25;8.25;8.04;8.04;21900.0
1993-05-28;8.11;8.32;7.97;8.18;29800.0
1993-06-01;8.25;8.25;8.04;8.18;19600.0
1993-06-02;8.11;8.18;7.9;7.9;84400.0
1993-06-03;7.97;7.97;7.9;7.97;70300.0
1993-06-04;7.9;7.97;7.82;7.9;9300.0
1993-06-07;7.9;7.9;7.68;7.82;21500.0
1993-06-08;7.68;7.82;7.68;7.68;70100.0
1993-06-09;7.75;8.04;7.75;7.9;88800.0
1993-06-10;7.97;8.11;7.9;7.97;14300.0
1993-06-11;7.97;8.11;7.97;7.97;22700.0
1993-06-14;8.04;8.04;7.82;7.82;20000.0
1993-06-15;7.97;7.97;7.82;7.97;8500.0
1993-06-16;7.97;8.11;7.97;8.11;10000.0
1993-06-17;8.11;8.11;7.9;7.97;10900.0
1993-06-18;7.97;8.11;7.9;7.97;51200.0
1993-06-21;8.04;8.18;8.04;8.11;10100.0
1993-06-22;7.97;8.18;7.97;8.18;22200.0
1993-06-23;8.18;8.18;8.04;8.18;116700.0
1993-06-24;8.09;8.16;8.02;8.09;16700.0
1993-06-25;8.09;8.23;8.09;8.16;3000.0
1993-06-28;8.23;8.45;8.16;8.45;19200.0
1993-06-29;8.45;8.52;8.45;8.52;46000.0
1993-06-30;8.45;8.6;8.38;8.38;46200.0
