date;open;high;low;close;volume
2007-04-23;12.51;12.6;11.75;11.79;1.52301E7
2007-04-24;11.85;12.02;11.8;11.88;4419600.0
2007-04-25;11.92;12.0;11.86;11.88;3658400.0
2007-04-26;11.9;11.93;11.85;11.87;2138500.0
2007-04-27;11.88;11.89;11.75;11.8;2568300.0
2007-04-30;11.79;11.8;11.57;11.72;3843300.0
2007-05-01;11.62;11.74;11.6;11.71;2253700.0
2007-05-02;11.65;11.97;11.65;11.91;3340800.0
2007-05-03;11.94;12.1;11.94;12.0;2957500.0
2007-05-04;12.0;12.25;12.0;12.16;1878500.0
2007-05-07;12.24;12.32;12.14;12.16;1557800.0
2007-05-08;12.19;12.2;11.86;12.19;965800.0
2007-05-09;12.01;12.36;12.01;12.3;1410700.0
2007-05-10;12.29;12.34;12.21;12.32;712600.0
2007-05-11;12.37;12.39;12.2;12.33;787800.0
2007-05-14;12.36;12.39;12.26;12.38;989700.0
2007-05-15;12.39;12.48;12.35;12.48;1854200.0
2007-05-16;12.49;12.52;12.43;12.49;860900.0
2007-05-17;12.48;12.5;12.33;12.42;596100.0
2007-05-18;12.4;12.46;12.29;12.45;1006100.0
2007-05-21;12.45;12.45;12.3;12.33;596100.0
2007-05-22;12.3;12.38;12.25;12.34;765300.0
2007-05-23;12.35;12.37;12.25;12.33;708000.0
2007-05-24;12.35;12.36;12.28;12.32;368300.0
2007-05-25;12.35;12.35;12.25;12.3;418900.0
2007-05-29;12.23;12.3;12.19;12.23;394600.0
2007-05-30;12.2;12.25;12.08;12.2;635700.0
2007-05-31;12.1;12.19;12.1;12.13;461400.0
2007-06-01;12.01;12.11;11.97;12.1;1025200.0
2007-06-04;12.0;12.28;12.0;12.23;1195700.0
2007-06-05;12.16;12.3;12.15;12.3;836300.0
2007-06-06;12.27;12.3;12.17;12.2;368100.0
2007-06-07;12.2;12.25;12.12;12.14;583700.0
2007-06-08;12.2;12.23;12.06;12.09;437600.0
2007-06-11;12.05;12.2;12.05;12.17;455900.0
2007-06-12;12.1;12.18;11.98;12.1;390900.0
2007-06-13;12.1;12.19;12.07;12.16;677600.0
2007-06-14;12.16;12.3;12.13;12.22;1049200.0
2007-06-15;12.3;12.38;12.2;12.33;1709800.0
2007-06-18;12.33;12.33;12.15;12.18;2293300.0
2007-06-19;12.07;12.15;12.02;12.08;884000.0
2007-06-20;12.01;12.14;12.01;12.11;1211600.0
2007-06-21;12.04;12.18;11.96;12.0;685500.0
2007-06-22;11.96;12.05;11.84;12.01;6551600.0
2007-06-25;11.99;11.99;11.76;11.84;793000.0
2007-06-26;11.79;11.91;11.78;11.84;511600.0
2007-06-27;11.85;11.87;11.65;11.73;538900.0
2007-06-28;11.7;11.7;11.35;11.6;1120700.0
2007-06-29;11.5;11.6;11.5;11.54;939300.0
2007-07-02;11.52;11.58;11.5;11.53;1175800.0
2007-07-03;11.5;11.54;11.5;11.53;432500.0
2007-07-05;11.53;11.6;11.5;11.59;554900.0
2007-07-06;11.56;11.61;11.51;11.61;166400.0
2007-07-09;11.63;11.66;11.55;11.6;533100.0
2007-07-10;11.51;11.64;11.5;11.5;849600.0
2007-07-11;11.54;11.54;11.41;11.48;1703000.0
2007-07-12;11.46;11.47;11.39;11.43;1007100.0
2007-07-13;11.4;11.45;11.26;11.32;1151900.0
2007-07-16;11.27;11.3;11.0;11.03;1671500.0
2007-07-17;10.92;11.0;10.68;10.97;2083300.0
2007-07-18;10.97;11.1;10.88;11.05;797100.0
2007-07-19;11.03;11.47;11.0;11.4501;1377000.0
2007-07-20;11.55;12.09;11.55;11.85;8355000.0
2007-07-23;11.85;11.85;11.62;11.81;2018700.0
2007-07-24;11.75;11.84;11.55;11.62;1959700.0
2007-07-25;11.65;11.75;11.51;11.6;401100.0
2007-07-26;11.53;11.55;11.25;11.39;985500.0
2007-07-27;11.42;11.42;11.27;11.35;1367200.0
2007-07-30;11.4;11.47;11.31;11.4;390700.0
2007-07-31;11.46;11.51;11.33;11.36;302700.0
2007-08-01;11.39;11.49;11.2;11.37;478000.0
2007-08-02;11.35;11.47;11.22;11.44;471300.0
2007-08-03;11.41;11.43;10.92;11.01;1714300.0
2007-08-06;11.0;11.09;10.66;11.05;2290300.0
2007-08-07;10.99;11.0;10.63;10.74;1969900.0
2007-08-08;10.7;11.07;10.7;10.95;1732100.0
2007-08-09;10.8;10.88;10.65;10.69;1505900.0
2007-08-10;10.7;11.25;10.45;11.01;1551400.0
2007-08-13;11.01;11.16;10.81;10.85;1323500.0
2007-08-14;10.865;10.87;10.62;10.67;1261200.0
2007-08-15;10.6;10.97;10.5;10.84;1197600.0
2007-08-16;10.83;11.19;10.58;11.13;1839200.0
2007-08-17;11.27;11.5;11.18;11.38;1959700.0
2007-08-20;11.35;11.42;11.28;11.36;419300.0
2007-08-21;11.32;11.63;11.3;11.62;851200.0
2007-08-22;11.56;11.7;11.56;11.59;701300.0
2007-08-23;11.58;11.65;11.39;11.48;599400.0
2007-08-24;11.5;11.65;11.5;11.63;487600.0
2007-08-27;11.59;11.63;11.45;11.58;271600.0
2007-08-28;11.55;11.55;11.39;11.48;299800.0
2007-08-29;11.5;11.65;11.5;11.58;583300.0
2007-08-30;11.56;11.62;11.42;11.57;487400.0
2007-08-31;11.6;11.66;11.52;11.6;291100.0
2007-09-04;11.62;11.67;11.55;11.55;390100.0
2007-09-05;11.55;11.78;11.49;11.77;838800.0
2007-09-06;11.75;11.75;11.54;11.65;418900.0
2007-09-07;11.65;11.95;11.59;11.9;1132200.0
2007-09-10;11.9;11.92;11.84;11.84;624000.0
2007-09-11;11.86;12.0;11.85;11.99;790100.0
2007-09-12;11.94;12.0;11.89;11.95;469100.0
2007-09-13;11.96;12.0;11.91;11.95;156300.0
2007-09-14;11.95;12.02;11.89;11.99;287100.0
2007-09-17;11.99;12.02;11.91;12.0;211500.0
2007-09-18;11.98;12.1;11.98;12.07;454500.0
2007-09-19;12.08;12.25;12.04;12.22;622800.0
2007-09-20;12.22;12.42;12.19;12.37;829200.0
2007-09-21;12.38;12.65;12.32;12.58;761300.0
2007-09-24;12.6;12.75;12.5;12.66;311200.0
2007-09-25;12.6;12.85;12.56;12.7901;1474200.0
2007-09-26;12.83;12.91;12.72;12.8;713600.0
2007-09-27;12.77;13.0;12.77;12.95;932400.0
2007-09-28;12.92;12.97;12.88;12.94;359600.0
2007-10-01;13.0;13.0;12.8;12.9;371300.0
2007-10-02;12.87;13.04;12.87;12.91;898000.0
2007-10-03;12.91;13.02;12.88;13.0;434800.0
2007-10-04;13.02;13.02;12.9515;13.0;133000.0
2007-10-05;13.0;13.13;12.95;13.04;634700.0
2007-10-08;13.07;13.13;13.04;13.1;305900.0
2007-10-09;13.14;13.16;13.08;13.15;260800.0
2007-10-10;13.18;13.2;13.1;13.13;284600.0
2007-10-11;13.15;13.15;12.96;13.02;270100.0
2007-10-12;13.02;13.08;13.0;13.06;149900.0
2007-10-15;13.09;13.09;12.95;13.0;249100.0
2007-10-16;12.96;13.0;12.54;12.82;380900.0
2007-10-17;12.86;12.94;12.6;12.62;394100.0
2007-10-18;12.41;12.72;12.28;12.59;351600.0
2007-10-19;12.58;12.78;12.54;12.69;368600.0
2007-10-22;12.65;12.67;12.56;12.66;259500.0
2007-10-23;12.7;12.73;12.62;12.66;173000.0
2007-10-24;12.61;12.75;12.54;12.75;208900.0
2007-10-25;12.73;12.74;12.565;12.67;114400.0
2007-10-26;12.8;12.8;12.66;12.79;108200.0
2007-10-29;12.79;12.8;12.61;12.61;174500.0
2007-10-30;12.6;12.79;12.59;12.7;143600.0
2007-10-31;12.71;12.81;12.68;12.75;462400.0
