date;open;high;low;close;volume
1987-12-30;10.12;10.25;10.0;10.25;2578.0
1987-12-31;10.38;11.38;10.12;11.25;17600.0
1988-01-04;11.25;11.25;11.0;11.0;267.0
1988-01-05;11.25;12.12;11.25;11.87;10000.0
1988-01-06;11.75;12.25;11.5;12.25;4444.0
1988-01-07;12.38;12.38;12.25;12.25;267.0
1988-01-08;12.38;12.5;11.87;11.87;4178.0
1988-01-11;11.63;11.63;11.63;11.63;444.0
1988-01-12;11.5;11.5;10.75;10.75;11200.0
1988-01-13;11.0;11.0;10.75;10.87;844.0
1988-01-14;10.87;10.87;10.75;10.75;667.0
1988-01-15;11.0;11.0;10.75;10.75;1200.0
1988-01-18;10.5;10.75;10.5;10.75;7200.0
1988-01-19;11.0;11.0;11.0;11.0;1067.0
1988-01-20;11.0;11.0;10.75;10.75;444.0
1988-01-21;11.0;11.0;11.0;11.0;8044.0
1988-01-22;11.25;11.63;11.0;11.0;10578.0
1988-01-25;10.75;10.87;10.63;10.87;5378.0
1988-01-26;10.87;10.87;10.87;10.87;667.0
1988-01-27;10.87;10.87;10.75;10.75;1600.0
1988-01-28;10.75;10.75;10.75;10.75;0.0
1988-01-29;10.87;11.0;10.75;11.0;5644.0
1988-02-01;11.0;11.25;11.0;11.0;10400.0
1988-02-02;10.75;10.75;10.75;10.75;800.0
1988-02-03;10.87;10.87;10.75;10.75;2667.0
1988-02-04;10.63;10.63;10.63;10.63;578.0
1988-02-05;10.75;10.75;10.75;10.75;10400.0
1988-02-08;10.75;10.75;10.38;10.63;2667.0
1988-02-09;10.5;10.75;10.5;10.75;1067.0
1988-02-10;11.0;11.0;11.0;11.0;1644.0
1988-02-11;11.0;11.0;10.87;10.87;1200.0
1988-02-12;10.87;10.87;10.87;10.87;800.0
1988-02-16;10.63;11.0;10.63;11.0;1378.0
1988-02-17;11.25;11.25;10.87;10.87;1778.0
1988-02-18;11.12;11.12;11.12;11.12;444.0
1988-02-19;11.0;11.0;10.87;10.87;178.0
1988-02-22;10.5;10.5;10.5;10.5;1867.0
1988-02-23;10.5;10.75;10.5;10.75;1778.0
1988-02-24;11.0;11.5;11.0;11.25;5467.0
1988-02-25;11.0;11.0;11.0;11.0;267.0
1988-02-26;11.12;11.25;11.12;11.25;800.0
1988-02-29;11.38;11.5;11.25;11.25;3644.0
1988-03-01;11.0;11.12;10.5;10.5;21644.0
1988-03-02;10.63;10.63;10.25;10.5;42044.0
1988-03-03;10.63;10.63;10.25;10.5;15467.0
1988-03-04;10.25;10.25;10.0;10.25;15067.0
1988-03-07;10.25;11.12;10.25;11.12;18400.0
1988-03-08;11.12;12.38;11.0;12.38;43200.0
1988-03-09;12.5;12.5;11.5;11.75;40667.0
1988-03-10;11.87;11.87;11.63;11.63;3467.0
1988-03-11;11.38;11.87;11.38;11.87;18400.0
1988-03-14;12.0;12.0;12.0;12.0;267.0
1988-03-15;11.87;12.0;11.75;11.75;844.0
1988-03-16;11.75;11.75;11.75;11.75;0.0
1988-03-17;12.0;12.0;11.63;11.63;3467.0
1988-03-18;11.75;12.12;11.75;11.87;2044.0
1988-03-21;12.0;12.0;11.63;11.63;5244.0
1988-03-22;11.87;11.87;11.63;11.63;844.0
1988-03-23;11.63;11.87;11.63;11.87;1067.0
1988-03-24;11.63;11.87;11.63;11.87;4044.0
1988-03-25;11.63;11.63;11.63;11.63;1244.0
1988-03-28;11.5;11.5;11.5;11.5;5244.0
1988-03-29;11.5;11.63;11.5;11.5;3200.0
1988-03-30;11.75;11.75;11.5;11.5;3067.0
1988-03-31;11.5;11.75;11.5;11.75;9200.0
1988-04-04;11.5;11.75;11.5;11.63;2844.0
1988-04-05;11.63;11.63;11.63;11.63;2444.0
1988-04-06;11.75;11.75;11.63;11.63;667.0
1988-04-07;11.63;11.75;11.63;11.63;667.0
1988-04-08;11.63;11.63;11.63;11.63;3600.0
1988-04-11;11.63;11.63;11.63;11.63;1378.0
1988-04-12;11.63;11.63;11.5;11.5;36800.0
1988-04-13;11.5;11.5;11.5;11.5;400.0
1988-04-14;11.5;11.5;11.5;11.5;5467.0
1988-04-15;11.38;11.63;11.38;11.38;1600.0
1988-04-18;11.5;11.63;11.38;11.63;2444.0
1988-04-19;11.5;11.5;11.38;11.5;21200.0
1988-04-20;11.5;11.5;11.5;11.5;2044.0
1988-04-21;11.38;11.38;11.38;11.38;267.0
