date;open;high;low;close;volume
2005-07-15;8.25;8.5;8.25;8.5;23867.0
2005-07-18;8.5;10.6;8.5;10.25;19600.0
2005-07-19;10.3;10.4;10.15;10.37;9400.0
2005-07-20;10.4;10.4;10.15;10.4;4600.0
2005-07-21;10.4;10.45;10.3;10.45;9867.0
2005-07-22;10.3;10.45;10.01;10.45;7000.0
2005-07-25;10.45;10.5;10.45;10.45;1067.0
2005-07-26;10.49;10.49;10.3;10.3;2000.0
2005-07-27;10.45;10.5;10.26;10.4;8000.0
2005-07-28;10.4;10.4;10.2;10.4;4867.0
2005-07-29;10.4;10.4;10.2;10.25;3800.0
2005-08-01;10.25;10.25;9.8;10.0;2267.0
2005-08-02;10.22;10.22;10.1;10.1;3000.0
2005-08-03;10.15;10.25;10.15;10.25;2667.0
2005-08-04;10.2;10.24;10.05;10.24;12400.0
2005-08-05;10.05;10.05;10.05;10.05;200.0
2005-08-08;10.1;10.1;9.8;9.94;7867.0
2005-08-09;9.84;10.0;9.75;10.0;4467.0
2005-08-10;10.0;10.0;9.52;9.95;1800.0
2005-08-11;9.95;9.95;9.95;9.95;0.0
2005-08-12;9.85;9.87;9.85;9.85;1867.0
2005-08-15;9.85;9.95;9.5;9.95;2000.0
2005-08-16;9.75;9.8;9.55;9.71;6867.0
2005-08-17;9.7;9.8;9.5;9.8;2400.0
2005-08-18;9.8;9.8;9.8;9.8;0.0
2005-08-19;9.6;9.8;9.41;9.62;3000.0
2005-08-22;9.62;9.62;9.62;9.62;0.0
2005-08-23;9.62;9.62;9.62;9.62;0.0
2005-08-24;9.63;9.7;9.63;9.7;400.0
2005-08-25;9.7;9.7;9.7;9.7;200.0
2005-08-26;9.8;9.8;9.8;9.8;200.0
2005-08-29;9.9;9.9;9.9;9.9;267.0
2005-08-30;9.75;9.85;9.75;9.85;1800.0
2005-08-31;9.85;9.85;9.85;9.85;0.0
2005-09-01;9.75;9.75;9.75;9.75;200.0
2005-09-02;9.76;9.76;9.76;9.76;800.0
2005-09-06;9.5;9.9;9.5;9.9;4400.0
