date;open;high;low;close;volume
1985-07-01;47.0;49.5;47.0;49.5;18850.0
1985-07-02;49.5;49.5;49.0;49.12;54475.0
1985-07-03;49.12;49.12;48.5;48.62;18450.0
1985-07-05;48.25;48.25;47.75;48.0;11025.0
1985-07-08;48.0;48.5;48.0;48.5;3075.0
1985-07-09;48.5;48.75;48.37;48.75;18025.0
1985-07-10;48.75;49.0;48.75;49.0;8100.0
1985-07-11;49.0;49.38;48.75;49.38;15100.0
1985-07-12;49.38;49.38;49.0;49.0;2225.0
1985-07-15;49.0;49.0;48.12;48.62;36750.0
1985-07-16;48.62;48.75;48.0;48.5;32400.0
1985-07-17;48.75;49.88;48.75;49.88;8250.0
1985-07-18;49.88;50.5;49.75;50.37;15925.0
1985-07-19;50.37;51.13;50.12;51.13;13275.0
1985-07-22;51.38;52.5;51.38;52.5;43175.0
1985-07-23;52.5;53.0;52.25;52.37;33100.0
1985-07-24;52.12;52.12;51.5;51.75;3500.0
1985-07-25;51.38;51.38;51.0;51.13;3500.0
1985-07-26;51.13;51.25;49.63;49.88;13975.0
1985-07-29;49.88;50.37;49.88;50.25;14100.0
1985-07-30;50.25;50.62;49.75;50.37;21650.0
1985-07-31;50.37;50.87;50.37;50.87;11725.0
1985-08-01;50.87;52.37;50.5;52.25;40925.0
1985-08-02;52.12;52.12;51.75;51.75;8525.0
1985-08-05;51.5;51.5;50.87;51.13;29625.0
1985-08-06;51.13;52.37;50.62;50.62;42900.0
1985-08-07;50.62;51.38;50.5;51.38;42900.0
1985-08-08;51.38;51.38;50.75;50.87;36750.0
1985-08-09;50.87;50.87;50.25;50.25;10900.0
1985-08-12;50.25;50.5;49.88;50.25;24175.0
1985-08-13;50.25;50.25;49.38;49.38;6000.0
1985-08-14;49.25;49.25;48.87;49.0;8250.0
1985-08-15;49.0;49.25;48.87;49.25;6575.0
1985-08-16;49.25;49.38;48.87;48.87;4475.0
1985-08-19;48.87;49.0;48.87;48.87;6700.0
1985-08-20;49.0;49.88;49.0;49.88;17050.0
1985-08-21;49.88;49.88;49.38;49.63;3075.0
1985-08-22;49.63;49.88;49.38;49.5;13975.0
1985-08-23;49.38;49.38;49.12;49.38;1950.0
1985-08-26;49.38;49.38;48.75;49.25;5875.0
1985-08-27;49.25;49.38;48.87;48.87;3225.0
1985-08-28;48.87;48.87;48.75;48.75;5600.0
1985-08-29;49.12;49.5;49.12;49.5;4750.0
1985-08-30;49.25;49.25;49.0;49.12;3775.0
1985-09-03;49.12;49.25;49.0;49.25;14675.0
1985-09-04;49.25;49.5;49.12;49.25;9075.0
1985-09-05;49.25;49.25;49.0;49.0;32400.0
1985-09-06;49.0;49.25;49.0;49.12;10350.0
1985-09-09;49.12;49.12;48.87;49.0;2375.0
1985-09-10;49.0;49.12;49.0;49.0;7825.0
1985-09-11;49.0;49.12;48.87;48.87;11325.0
1985-09-12;48.87;49.0;48.75;48.75;18025.0
1985-09-13;48.75;48.87;48.37;48.5;13275.0
1985-09-16;48.5;48.5;48.25;48.25;15375.0
1985-09-17;48.25;48.62;48.0;48.62;14950.0
1985-09-18;48.62;48.62;47.88;47.88;11025.0
1985-09-19;48.0;48.5;48.0;48.5;2225.0
1985-09-20;48.25;48.25;47.75;47.75;28350.0
1985-09-23;47.75;48.37;47.5;47.5;57550.0
1985-09-24;47.5;47.5;47.13;47.5;1525.0
1985-09-25;47.5;48.25;47.5;47.75;7975.0
1985-09-26;47.75;48.0;47.75;47.75;1250.0
1985-09-30;47.75;47.88;46.62;47.13;31575.0
1985-10-01;47.0;47.38;47.0;47.25;20250.0
