date;open;high;low;close;volume
1999-05-05;16.0;20.25;16.0;20.25;5247.0
1999-05-06;20.0;21.0;15.69;15.69;9992.0
1999-05-07;15.87;21.0;15.75;21.0;18161.0
1999-05-10;21.25;21.25;15.5;20.0;7069.0
1999-05-11;20.25;20.25;20.0;20.0;943.0
1999-05-12;20.0;20.25;19.75;19.75;1194.0
1999-05-13;18.0;18.0;18.0;18.0;94.0
1999-05-14;20.0;20.0;18.0;19.75;2671.0
1999-05-17;19.25;20.0;17.0;19.13;2168.0
1999-05-18;20.0;20.0;18.0;19.75;1194.0
1999-05-19;20.0;20.0;20.0;20.0;377.0
1999-05-20;19.75;20.5;19.5;20.5;1665.0
1999-05-21;19.5;20.63;19.0;20.63;9457.0
1999-05-24;21.0;21.0;20.0;20.0;471.0
1999-05-25;20.0;20.0;20.0;20.0;0.0
1999-05-26;20.63;20.63;20.0;20.63;848.0
1999-05-27;20.0;21.25;19.0;20.75;5247.0
1999-05-28;20.0;20.0;20.0;20.0;7572.0
1999-06-01;19.5;19.5;19.5;19.5;377.0
1999-06-02;19.5;19.5;19.5;19.5;0.0
1999-06-03;20.13;20.25;20.0;20.25;16778.0
1999-06-04;20.25;20.25;20.25;20.25;3268.0
1999-06-07;20.0;20.0;19.0;19.5;9772.0
1999-06-08;20.0;20.0;19.5;19.5;660.0
1999-06-09;19.5;19.5;19.5;19.5;0.0
1999-06-10;19.5;19.5;19.5;19.5;0.0
1999-06-11;19.5;19.5;19.5;19.5;0.0
1999-06-14;20.0;20.0;19.5;20.0;6064.0
1999-06-15;19.5;20.0;19.25;19.25;4493.0
1999-06-16;19.25;20.25;19.25;20.25;1760.0
1999-06-17;20.0;20.0;19.5;19.5;283.0
1999-06-18;20.0;20.0;19.25;19.25;6567.0
1999-06-21;19.0;19.0;19.0;19.0;1760.0
1999-06-22;19.5;19.5;19.0;19.0;1477.0
1999-06-23;19.0;19.0;19.0;19.0;0.0
1999-06-24;19.75;19.75;19.25;19.25;471.0
1999-06-25;19.25;19.25;19.25;19.25;660.0
1999-06-28;19.5;19.75;19.5;19.75;283.0
1999-06-29;19.0;19.75;19.0;19.25;1288.0
1999-06-30;18.63;19.25;18.63;18.63;3142.0
1999-07-01;19.25;19.25;19.25;19.25;1194.0
1999-07-02;19.0;19.25;19.0;19.25;1194.0
1999-07-06;19.25;19.25;19.25;19.25;1194.0
1999-07-07;19.38;19.5;19.25;19.38;2859.0
1999-07-08;19.38;19.38;19.38;19.38;0.0
1999-07-09;19.75;19.75;19.25;19.25;660.0
1999-07-12;19.75;19.75;19.75;19.75;1665.0
1999-07-13;19.5;20.0;19.5;20.0;2482.0
1999-07-14;20.0;20.0;19.75;19.75;1194.0
1999-07-15;19.75;19.75;19.75;19.75;1194.0
1999-07-16;20.13;20.41;20.13;20.41;2671.0
1999-07-19;20.13;20.13;19.94;19.94;2576.0
1999-07-20;19.75;20.25;19.75;19.75;1948.0
1999-07-21;20.0;20.0;19.88;19.88;471.0
1999-07-22;19.75;20.0;19.5;19.5;2953.0
1999-07-23;20.0;20.0;20.0;20.0;1037.0
1999-07-26;20.25;20.25;20.0;20.0;22968.0
1999-07-27;20.5;20.5;20.38;20.38;283.0
1999-07-28;20.0;20.0;20.0;20.0;94.0
1999-07-29;20.0;20.38;20.0;20.25;3865.0
1999-07-30;20.5;22.0;20.38;21.75;1571.0
1999-08-02;20.25;20.25;20.25;20.25;283.0
1999-08-03;21.75;21.75;21.0;21.5;660.0
1999-08-04;21.5;21.5;21.25;21.25;566.0
1999-08-05;20.25;20.25;20.25;20.25;94.0
1999-08-06;20.25;20.25;20.25;20.25;0.0
1999-08-09;20.25;21.5;20.25;21.25;660.0
1999-08-10;21.25;21.25;21.25;21.25;0.0
1999-08-11;20.25;20.25;20.25;20.25;377.0
1999-08-12;20.25;20.25;20.25;20.25;754.0
1999-08-13;21.0;21.0;20.25;20.25;848.0
1999-08-16;21.25;21.25;21.25;21.25;94.0
1999-08-17;20.88;20.88;20.25;20.5;754.0
1999-08-18;20.5;20.5;20.5;20.5;471.0
1999-08-19;20.5;20.5;20.5;20.5;0.0
1999-08-20;20.25;20.25;20.25;20.25;471.0
1999-08-23;20.25;20.25;20.25;20.25;0.0
1999-08-24;20.25;20.25;20.25;20.25;0.0
1999-08-25;20.25;20.25;20.25;20.25;0.0
1999-08-26;20.25;20.25;20.25;20.25;471.0
1999-08-27;20.0;20.25;20.0;20.25;754.0
1999-08-30;20.88;20.88;20.88;20.88;189.0
1999-08-31;21.0;21.0;20.25;21.0;754.0
1999-09-01;21.0;21.0;21.0;21.0;0.0
1999-09-02;21.0;21.0;21.0;21.0;0.0
1999-09-03;20.25;21.0;20.25;21.0;2576.0
1999-09-07;21.0;21.0;21.0;21.0;0.0
1999-09-08;20.5;21.0;20.5;21.0;1194.0
1999-09-09;21.25;21.25;21.19;21.25;4147.0
1999-09-10;21.25;21.25;21.19;21.19;7981.0
1999-09-13;21.25;21.5;20.5;21.5;8169.0
1999-09-14;21.63;21.63;21.63;21.63;754.0
1999-09-15;21.5;22.0;21.5;22.0;848.0
1999-09-16;22.0;22.0;22.0;22.0;0.0
1999-09-17;21.0;21.0;21.0;21.0;94.0
1999-09-20;21.5;21.5;21.5;21.5;943.0
1999-09-21;22.0;22.0;22.0;22.0;660.0
1999-09-22;21.5;22.25;21.5;22.25;377.0
1999-09-23;22.25;22.25;22.25;22.25;0.0
1999-09-24;21.5;22.0;21.5;22.0;1477.0
1999-09-27;21.5;22.25;21.5;22.0;1854.0
1999-09-28;22.0;22.0;22.0;22.0;94.0
1999-09-29;22.0;22.0;22.0;22.0;0.0
1999-09-30;22.0;22.0;22.0;22.0;0.0
1999-10-01;21.75;22.0;21.75;22.0;848.0
1999-10-04;22.0;22.0;22.0;22.0;0.0
1999-10-05;22.25;22.25;21.25;21.25;471.0
1999-10-06;21.0;21.0;21.0;21.0;94.0
1999-10-07;21.0;21.0;21.0;21.0;0.0
1999-10-08;21.0;21.0;21.0;21.0;0.0
1999-10-11;21.0;21.0;21.0;21.0;471.0
1999-10-12;21.0;21.25;21.0;21.25;1665.0
1999-10-13;21.25;21.25;21.25;21.25;0.0
1999-10-14;21.25;21.25;21.25;21.25;0.0
1999-10-15;21.0;21.25;21.0;21.25;1760.0
1999-10-18;20.0;21.25;20.0;21.25;1382.0
1999-10-19;21.25;21.25;21.25;21.25;0.0
1999-10-20;20.5;21.5;20.5;21.0;3770.0
1999-10-21;20.5;20.5;20.5;20.5;566.0
1999-10-22;21.25;21.25;21.25;21.25;566.0
1999-10-25;21.25;21.25;21.25;21.25;189.0
1999-10-26;21.25;21.25;21.25;21.25;0.0
1999-10-27;21.25;21.25;21.25;21.25;0.0
1999-10-28;21.25;21.25;21.25;21.25;283.0
1999-10-29;21.25;21.25;21.25;21.25;0.0
1999-11-01;21.25;21.25;21.25;21.25;189.0
1999-11-02;20.75;21.25;20.75;21.25;566.0
1999-11-03;21.25;21.25;21.25;21.25;943.0
1999-11-04;21.25;21.25;21.25;21.25;1194.0
1999-11-05;21.25;21.25;20.5;21.0;8169.0
1999-11-08;20.63;20.63;20.0;20.0;3865.0
1999-11-09;20.5;20.5;20.5;20.5;4964.0
1999-11-10;20.0;20.0;20.0;20.0;283.0
1999-11-11;20.5;20.5;20.5;20.5;94.0
1999-11-12;20.5;20.5;20.5;20.5;0.0
1999-11-15;20.5;21.0;20.5;20.5;2042.0
1999-11-16;20.25;20.25;20.0;20.0;1760.0
1999-11-17;20.0;20.0;20.0;20.0;0.0
1999-11-18;20.0;20.0;20.0;20.0;0.0
1999-11-19;20.5;20.5;20.5;20.5;94.0
