date;open;high;low;close;volume
2010-12-07;24.1;25.2;23.5;24.7;1.05776E7
2010-12-08;24.51;26.0;24.4;25.65;865200.0
2010-12-09;25.35;26.25;25.34;25.57;877800.0
2010-12-10;25.37;25.79;25.29;25.64;436900.0
2010-12-13;25.5;26.69;25.49;26.52;397800.0
2010-12-14;26.4;26.6;25.79;26.54;250500.0
2010-12-15;26.56;27.14;25.48;26.06;396100.0
2010-12-16;25.96;26.93;25.95;26.81;133000.0
2010-12-17;26.99;27.55;26.9;27.31;101600.0
2010-12-20;27.21;28.4;27.19;27.53;149300.0
2010-12-21;27.63;27.7;26.6;27.05;139200.0
2010-12-22;26.85;26.88;26.21;26.88;157500.0
2010-12-23;26.73;26.86;26.7;26.86;135200.0
2010-12-27;26.75;26.75;26.43;26.51;97000.0
2010-12-28;26.45;26.85;26.4;26.8;204000.0
2010-12-29;26.54;27.15;26.5;27.15;75200.0
2010-12-30;27.01;27.19;26.85;27.03;298000.0
2010-12-31;27.0;27.05;26.79;26.81;49800.0
2011-01-03;26.92;27.05;26.51;27.0;253500.0
2011-01-04;27.0;27.19;26.63;27.16;232300.0
2011-01-05;27.01;27.37;26.87;27.34;61800.0
2011-01-06;27.28;28.16;26.95;27.99;116100.0
2011-01-07;27.9;28.13;27.41;27.8;288300.0
2011-01-10;27.5;27.97;27.07;27.4;121100.0
2011-01-11;27.43;27.64;27.12;27.59;188900.0
2011-01-12;27.68;28.48;27.43;28.35;172300.0
2011-01-13;28.11;28.46;27.89;28.03;130200.0
2011-01-14;28.09;28.47;27.96;28.31;249000.0
2011-01-18;28.6;30.25;28.42;29.34;692000.0
2011-01-19;29.69;29.85;28.8;28.87;227700.0
2011-01-20;28.89;30.04;27.27;29.41;354600.0
2011-01-21;29.5;29.58;28.21;29.41;118100.0
2011-01-24;29.4;30.23;28.51;30.1;129400.0
2011-01-25;30.04;30.98;29.86;30.19;204000.0
2011-01-26;30.23;30.81;29.6;30.4;125200.0
2011-01-27;30.24;30.6;30.0;30.39;37300.0
2011-01-28;30.21;30.76;28.98;30.58;256400.0
2011-01-31;31.54;31.71;30.25;30.73;202900.0
2011-02-01;31.17;31.17;30.12;30.65;85500.0
2011-02-02;30.44;31.42;30.04;30.16;88600.0
2011-02-03;30.35;30.56;29.25;29.38;287900.0
2011-02-04;29.57;30.07;29.38;30.02;131500.0
2011-02-07;30.19;30.74;30.0;30.0;97200.0
2011-02-08;30.04;31.58;29.95;31.2;270600.0
2011-02-09;31.39;31.5;31.16;31.36;45100.0
2011-02-10;31.25;31.73;30.53;30.98;74100.0
2011-02-11;31.16;31.16;30.72;31.02;78300.0
2011-02-14;31.34;32.22;31.27;31.44;219900.0
2011-02-15;31.6;31.92;31.5;31.88;201500.0
2011-02-16;32.26;32.4;32.0;32.22;220700.0
2011-02-17;32.25;32.29;31.61;32.1;91500.0
2011-02-18;32.21;32.95;32.09;32.34;159600.0
2011-02-22;32.53;32.63;31.4;31.91;172300.0
2011-02-23;32.0;32.1;31.51;31.94;72100.0
2011-02-24;32.23;32.24;31.64;32.04;147100.0
2011-02-25;32.0;32.71;32.0;32.6;101100.0
2011-02-28;32.71;32.9;32.35;32.77;36600.0
2011-03-01;32.98;33.25;31.94;32.6;103300.0
2011-03-02;32.6;33.44;32.31;32.98;170900.0
2011-03-03;33.13;33.41;32.7;32.73;164400.0
2011-03-04;32.72;33.64;32.64;33.22;76000.0
2011-03-07;33.18;33.99;33.18;33.95;204000.0
2011-03-08;33.78;33.88;33.31;33.58;250000.0
2011-03-09;33.64;33.89;32.7;33.17;273600.0
2011-03-10;32.98;33.06;31.71;32.2;415600.0
2011-03-11;32.01;32.69;30.8;32.35;496300.0
2011-03-14;32.24;32.57;31.87;32.05;317900.0
2011-03-15;31.62;32.46;31.35;31.94;535600.0
2011-03-16;32.15;33.55;31.82;32.2;474500.0
2011-03-17;32.5;33.38;32.42;33.35;236700.0
2011-03-18;33.5;35.49;33.26;34.82;1085000.0
2011-03-21;34.92;35.72;34.35;35.49;117300.0
2011-03-22;35.61;36.43;34.85;36.25;111800.0
2011-03-23;36.7;36.7;34.45;34.96;362400.0
2011-03-24;34.97;35.0;34.2;34.75;164000.0
2011-03-25;34.83;35.64;34.81;35.35;108300.0
2011-03-28;35.35;35.42;34.8;35.18;186900.0
2011-03-29;35.18;35.7;34.94;35.36;90900.0
2011-03-30;35.49;35.93;35.07;35.5;171200.0
2011-03-31;35.44;36.34;34.91;36.24;1790800.0
2011-04-01;36.18;36.73;35.7;36.04;390000.0
2011-04-04;36.5;36.51;33.56;33.88;687700.0
2011-04-05;33.81;34.14;32.95;33.95;263300.0
2011-04-06;34.06;34.51;33.44;33.77;141000.0
2011-04-07;33.68;33.68;33.3;33.6;85800.0
2011-04-08;33.81;33.81;33.16;33.49;93000.0
2011-04-11;33.39;33.57;32.8;33.06;87800.0
2011-04-12;32.96;33.27;31.68;32.78;201800.0
2011-04-13;32.74;33.74;32.74;33.53;204500.0
2011-04-14;33.22;33.58;32.01;33.27;288300.0
2011-04-15;33.19;33.82;33.18;33.77;310700.0
2011-04-18;33.58;33.83;33.18;33.74;283100.0
2011-04-19;33.58;33.58;32.59;32.73;403600.0
2011-04-20;32.71;35.31;32.7;35.0;4308100.0
2011-04-21;34.85;35.2;34.15;34.64;320600.0
2011-04-25;34.5;34.96;33.68;34.54;293100.0
2011-04-26;34.4;35.71;33.95;35.52;384200.0
2011-04-27;35.58;36.02;35.39;35.98;189400.0
2011-04-28;35.79;36.04;35.01;35.75;303000.0
2011-04-29;35.78;35.8;34.89;35.02;339000.0
2011-05-02;35.16;35.22;34.05;34.34;245400.0
2011-05-03;34.22;34.69;33.85;34.34;227700.0
2011-05-04;34.34;34.53;33.12;33.75;161000.0
