date;open;high;low;close;volume
1990-03-26;30.75;30.75;30.75;30.75;2583.0
1990-03-27;29.5;29.87;29.5;29.87;34983.0
1990-03-28;29.75;29.75;29.75;29.75;67.0
1990-03-29;30.75;30.75;30.75;30.75;67.0
1990-03-30;30.0;30.0;29.62;29.62;19250.0
1990-04-02;30.75;31.0;30.25;30.25;14183.0
1990-04-03;30.0;30.0;30.0;30.0;8233.0
1990-04-04;30.5;30.5;30.5;30.5;867.0
1990-04-05;30.5;30.5;30.5;30.5;67.0
1990-04-06;29.75;30.0;29.75;30.0;2000.0
1990-04-09;29.75;30.5;29.75;30.5;7250.0
1990-04-10;30.5;30.5;30.5;30.5;517.0
1990-04-11;29.75;30.5;29.75;29.75;2100.0
1990-04-12;29.75;29.75;29.75;29.75;167.0
1990-04-16;29.75;29.75;29.75;29.75;0.0
1990-04-17;29.75;29.75;29.75;29.75;0.0
1990-04-18;30.25;30.25;30.0;30.0;5833.0
1990-04-19;30.5;30.5;30.5;30.5;2000.0
1990-04-20;30.0;30.0;30.0;30.0;867.0
1990-04-23;30.0;30.5;30.0;30.0;6333.0
1990-04-24;30.75;30.75;30.0;30.0;1183.0
1990-04-25;30.0;30.0;30.0;30.0;0.0
1990-04-26;30.75;30.75;30.75;30.75;67.0
1990-04-27;30.0;30.5;30.0;30.5;2817.0
1990-04-30;30.5;30.5;30.5;30.5;0.0
1990-05-01;30.0;30.0;30.0;30.0;167.0
1990-05-02;30.0;31.0;30.0;31.0;4067.0
1990-05-03;31.0;31.0;31.0;31.0;0.0
1990-05-04;31.0;31.0;30.0;30.5;11667.0
1990-05-07;30.5;30.5;30.5;30.5;0.0
1990-05-08;30.0;30.75;30.0;30.0;9017.0
1990-05-09;30.75;30.75;30.75;30.75;167.0
1990-05-10;30.75;30.75;30.75;30.75;0.0
1990-05-11;30.0;30.0;30.0;30.0;517.0
1990-05-14;30.0;30.0;30.0;30.0;0.0
1990-05-15;30.0;30.0;30.0;30.0;0.0
1990-05-16;30.0;30.0;30.0;30.0;0.0
1990-05-17;30.0;30.0;30.0;30.0;517.0
1990-05-18;30.12;30.5;30.12;30.25;2100.0
1990-05-21;30.75;30.75;29.75;29.75;517.0
1990-05-22;29.75;29.75;29.75;29.75;67.0
1990-05-23;30.25;30.25;30.25;30.25;517.0
1990-05-24;29.75;30.25;29.75;30.25;7167.0
1990-05-25;30.75;30.75;30.75;30.75;67.0
1990-05-29;30.75;30.75;30.75;30.75;0.0
1990-05-30;30.75;30.75;30.75;30.75;0.0
1990-05-31;30.75;30.75;30.75;30.75;0.0
1990-06-01;30.75;30.75;30.75;30.75;67.0
1990-06-04;30.75;30.75;30.75;30.75;0.0
1990-06-05;30.75;30.75;30.75;30.75;0.0
1990-06-06;30.0;30.0;30.0;30.0;67.0
1990-06-07;30.0;30.25;30.0;30.25;4517.0
1990-06-08;30.0;30.25;30.0;30.25;1800.0
1990-06-11;30.0;31.0;30.0;30.25;2100.0
1990-06-12;30.0;31.0;30.0;31.0;6950.0
1990-06-13;30.0;30.25;30.0;30.25;3250.0
1990-06-14;30.25;30.25;30.25;30.25;0.0
1990-06-15;30.0;30.25;30.0;30.25;517.0
1990-06-18;30.25;30.25;30.25;30.25;0.0
1990-06-19;30.0;31.0;30.0;30.25;5050.0
1990-06-20;30.0;30.25;30.0;30.25;3150.0
1990-06-21;30.25;30.25;30.25;30.25;0.0
1990-06-22;30.0;30.0;30.0;30.0;3150.0
1990-06-25;31.0;31.0;30.0;31.0;10950.0
1990-06-26;31.0;31.0;31.0;31.0;0.0
1990-06-27;29.75;30.37;29.75;30.12;17933.0
1990-06-28;30.0;30.25;30.0;30.25;6467.0
1990-06-29;30.0;30.0;29.75;29.75;2450.0
1990-07-02;29.75;30.12;29.75;30.12;7800.0
1990-07-03;30.5;31.0;29.75;30.12;18067.0
1990-07-05;30.13;30.13;30.13;30.13;0.0
1990-07-06;29.75;30.12;29.75;30.12;5833.0
1990-07-09;29.75;30.0;29.75;30.0;1533.0
1990-07-10;29.75;30.12;29.75;30.12;6333.0
1990-07-11;29.5;29.5;29.5;29.5;67.0
1990-07-12;29.5;29.5;29.5;29.5;517.0
1990-07-13;29.5;30.0;29.5;30.0;6333.0
1990-07-16;29.5;29.5;29.5;29.5;2583.0
1990-07-17;30.75;30.75;29.5;29.5;1183.0
1990-07-18;29.5;29.5;29.5;29.5;4067.0
1990-07-19;29.5;29.5;29.5;29.5;167.0
1990-07-20;29.87;29.87;29.37;29.37;12783.0
1990-07-23;29.25;29.25;29.25;29.25;1183.0
1990-07-24;29.0;29.75;29.0;29.75;4067.0
1990-07-25;29.75;29.75;28.75;28.75;4433.0
1990-07-26;28.75;29.25;28.5;29.25;16950.0
1990-07-27;29.25;29.25;28.75;29.25;4433.0
1990-07-30;29.25;29.25;29.25;29.25;0.0
1990-07-31;28.5;29.0;28.0;28.0;3967.0
1990-08-01;28.75;28.75;28.0;28.0;1533.0
1990-08-02;28.5;28.5;28.5;28.5;1800.0
1990-08-03;28.25;28.25;27.75;28.25;7167.0
1990-08-06;28.25;28.25;27.75;28.25;2000.0
1990-08-07;27.75;28.25;27.75;28.25;7967.0
1990-08-08;28.5;29.0;28.5;29.0;4433.0
1990-08-09;28.25;28.25;28.25;28.25;167.0
1990-08-10;28.25;28.25;28.25;28.25;8450.0
1990-08-13;29.25;29.25;29.25;29.25;867.0
1990-08-14;28.0;29.0;27.75;28.0;8583.0
1990-08-15;28.0;28.0;28.0;28.0;0.0
1990-08-16;27.5;28.0;27.5;28.0;8583.0
1990-08-17;28.0;28.0;28.0;28.0;7800.0
1990-08-20;27.5;28.0;27.5;28.0;2817.0
1990-08-21;27.87;27.87;27.87;27.87;2000.0
1990-08-22;28.0;28.75;27.75;28.75;8583.0
1990-08-23;28.0;29.0;28.0;29.0;2450.0
1990-08-24;29.0;29.0;29.0;29.0;67.0
1990-08-27;28.75;28.75;28.75;28.75;683.0
1990-08-28;28.0;29.0;28.0;29.0;2450.0
1990-08-29;28.0;29.0;28.0;29.0;517.0
1990-08-30;29.0;29.0;28.5;29.0;7967.0
1990-08-31;29.0;29.0;28.5;28.5;5633.0
1990-09-04;29.0;29.0;29.0;29.0;1350.0
1990-09-05;29.0;29.0;28.0;29.0;2000.0
1990-09-06;28.0;28.0;28.0;28.0;683.0
1990-09-07;28.5;28.5;28.5;28.5;67.0
1990-09-10;28.5;28.5;28.5;28.5;1183.0
1990-09-11;27.75;28.5;27.75;28.25;3383.0
1990-09-12;28.25;28.25;28.25;28.25;167.0
1990-09-13;27.75;27.75;27.75;27.75;2000.0
1990-09-14;28.75;28.75;28.75;28.75;67.0
1990-09-17;28.5;28.75;27.75;28.75;5967.0
1990-09-18;27.75;27.75;27.75;27.75;67.0
1990-09-19;27.75;27.75;27.25;27.25;9867.0
1990-09-20;27.75;27.75;27.75;27.75;517.0
1990-09-21;27.75;27.75;27.75;27.75;0.0
1990-09-24;26.5;26.5;26.5;26.5;517.0
1990-09-25;26.5;26.5;26.5;26.5;0.0
1990-09-26;26.5;27.25;26.5;27.25;6333.0
1990-09-27;27.25;27.25;27.25;27.25;0.0
1990-09-28;27.0;27.0;26.5;26.5;4067.0
1990-10-01;27.5;27.5;27.5;27.5;167.0
1990-10-02;27.5;28.25;27.5;27.5;13700.0
1990-10-03;27.0;27.0;27.0;27.0;67.0
1990-10-04;28.0;28.0;27.0;27.0;517.0
1990-10-05;27.0;27.0;27.0;27.0;0.0
1990-10-08;27.0;27.0;27.0;27.0;0.0
1990-10-09;28.0;28.0;28.0;28.0;2100.0
1990-10-10;27.0;27.0;27.0;27.0;67.0
1990-10-11;27.25;27.25;26.5;26.5;683.0
1990-10-12;27.25;27.25;26.0;26.0;517.0
1990-10-15;26.0;26.0;26.0;26.0;1350.0
1990-10-16;27.25;27.25;26.0;27.25;2817.0
1990-10-17;27.25;27.25;27.25;27.25;0.0
1990-10-18;26.0;27.25;26.0;27.25;9200.0
1990-10-19;27.25;27.25;27.25;27.25;0.0
1990-10-22;27.25;27.25;27.12;27.25;3150.0
1990-10-23;27.25;27.25;27.25;27.25;0.0
1990-10-24;27.0;27.0;27.0;27.0;867.0
1990-10-25;27.5;27.5;27.5;27.5;167.0
1990-10-26;27.5;27.5;27.5;27.5;0.0
1990-10-29;25.0;25.0;25.0;25.0;1183.0
1990-10-30;25.0;25.0;25.0;25.0;0.0
1990-10-31;25.5;25.5;25.5;25.5;2000.0
1990-11-01;25.5;25.5;25.5;25.5;0.0
1990-11-02;25.5;25.5;25.5;25.5;0.0
1990-11-05;25.5;25.5;25.5;25.5;0.0
1990-11-06;25.0;25.0;25.0;25.0;683.0
1990-11-07;24.0;24.5;24.0;24.5;2817.0
1990-11-08;24.5;24.5;24.5;24.5;0.0
1990-11-09;24.5;24.5;24.5;24.5;0.0
1990-11-12;24.5;24.5;24.5;24.5;0.0
1990-11-13;24.5;24.5;24.5;24.5;0.0
1990-11-14;24.25;24.25;24.25;24.25;867.0
1990-11-15;24.75;24.75;24.75;24.75;683.0
1990-11-16;24.75;24.75;24.75;24.75;0.0
1990-11-19;24.75;24.75;24.75;24.75;0.0
1990-11-20;23.25;23.25;23.25;23.25;683.0
1990-11-21;24.0;24.0;24.0;24.0;683.0
1990-11-23;23.5;23.5;23.25;23.25;1800.0
1990-11-26;23.25;23.25;23.25;23.25;0.0
1990-11-27;24.37;24.37;23.25;24.37;2000.0
1990-11-28;24.0;24.0;24.0;24.0;1533.0
1990-11-29;24.0;24.0;24.0;24.0;0.0
1990-11-30;23.25;23.25;23.25;23.25;683.0
1990-12-03;23.25;23.25;23.25;23.25;0.0
1990-12-04;23.25;23.25;23.25;23.25;0.0
1990-12-05;24.0;24.0;24.0;24.0;517.0
1990-12-06;24.0;24.0;24.0;24.0;0.0
