date;open;high;low;close;volume
1999-04-22;15.06;17.0;15.0;17.0;4118300.0
1999-04-23;16.38;17.5;16.38;17.25;698000.0
1999-04-26;17.13;17.44;16.75;17.13;331700.0
1999-04-27;16.88;17.0;16.63;16.88;252500.0
1999-04-28;17.19;17.81;17.0;17.81;383100.0
1999-04-29;18.25;19.25;17.88;18.88;523700.0
1999-04-30;19.75;19.75;19.13;19.5;221000.0
1999-05-03;19.38;19.63;18.94;19.38;205200.0
1999-05-04;19.38;20.13;19.38;20.06;523700.0
1999-05-05;20.0;20.06;19.69;20.06;127600.0
1999-05-06;20.06;20.13;19.75;20.13;108900.0
1999-05-07;20.13;21.38;19.88;21.0;85600.0
1999-05-10;21.38;21.5;20.63;20.88;84600.0
1999-05-11;20.63;20.88;20.06;20.19;54600.0
1999-05-12;20.25;21.56;20.06;20.94;42200.0
1999-05-13;20.75;21.0;20.13;20.56;208800.0
1999-05-14;19.75;20.0;19.38;19.38;58100.0
1999-05-17;19.5;19.75;19.25;19.75;54300.0
1999-05-18;20.0;20.31;19.5;19.88;138000.0
1999-05-19;19.75;21.38;19.75;21.25;323600.0
1999-05-20;21.75;22.25;21.13;21.19;289200.0
1999-05-21;21.13;21.38;20.38;21.06;126600.0
1999-05-24;21.25;21.75;19.88;20.13;133500.0
1999-05-25;19.88;20.38;19.88;20.0;89600.0
1999-05-26;20.13;20.13;19.31;20.0;42900.0
1999-05-27;20.19;20.75;20.0;20.38;90100.0
1999-05-28;20.25;20.75;20.0;20.5;8700.0
1999-06-01;20.13;20.75;20.0;20.38;23500.0
1999-06-02;20.06;21.38;20.06;21.38;88200.0
1999-06-03;21.75;21.88;20.38;21.75;74300.0
1999-06-04;21.25;22.75;21.25;22.5;53600.0
1999-06-07;22.44;22.5;21.88;21.88;19200.0
1999-06-08;22.25;22.25;21.0;21.0;26500.0
1999-06-09;20.88;21.56;20.88;21.19;18400.0
1999-06-10;21.56;22.0;21.19;21.5;8500.0
1999-06-11;22.0;22.0;21.0;21.63;36400.0
1999-06-14;21.75;21.88;20.0;20.0;18600.0
1999-06-15;20.0;20.0;17.5;19.13;71000.0
1999-06-16;18.75;20.0;18.75;19.25;20900.0
1999-06-17;19.88;20.0;19.5;20.0;7100.0
1999-06-18;19.88;20.5;19.88;20.25;10500.0
1999-06-21;20.5;20.75;20.38;20.75;31100.0
1999-06-22;20.75;22.0;20.5;21.5;190800.0
1999-06-23;21.5;21.5;21.0;21.25;55600.0
1999-06-24;21.25;21.88;21.13;21.13;10600.0
1999-06-25;21.13;23.0;21.13;21.75;39600.0
1999-06-28;22.19;23.63;22.13;23.0;140100.0
1999-06-29;23.0;24.0;22.88;24.0;109000.0
1999-06-30;24.0;26.19;24.0;25.5;1016000.0
1999-07-01;25.56;25.56;23.25;23.25;171200.0
1999-07-02;23.25;24.25;23.25;23.5;71000.0
1999-07-06;24.13;24.13;23.5;23.75;27100.0
1999-07-07;23.75;24.13;23.63;23.75;16200.0
1999-07-08;23.75;23.88;23.0;23.0;109800.0
1999-07-09;23.0;23.25;22.38;22.44;79500.0
1999-07-12;22.25;22.44;20.38;21.25;28800.0
1999-07-13;21.38;21.38;20.13;20.5;87600.0
1999-07-14;20.75;20.75;20.0;20.19;147100.0
1999-07-15;20.06;20.5;19.88;20.25;316200.0
1999-07-16;20.47;21.25;20.38;21.25;100900.0
1999-07-19;21.0;22.63;21.0;22.38;61800.0
1999-07-20;22.25;23.5;22.25;23.38;133400.0
1999-07-21;23.25;25.5;23.13;25.25;138100.0
1999-07-22;25.0;25.5;24.5;24.63;147400.0
1999-07-23;24.44;24.5;22.5;22.94;158100.0
1999-07-26;22.75;23.5;22.25;22.75;56500.0
1999-07-27;22.38;23.0;22.38;22.88;7900.0
1999-07-28;22.69;23.25;22.69;23.13;114000.0
1999-07-29;22.81;23.0;22.5;22.5;203000.0
1999-07-30;22.63;23.13;22.63;23.13;61400.0
1999-08-02;22.88;24.0;22.88;23.0;43700.0
1999-08-03;23.13;23.5;22.75;23.5;10700.0
1999-08-04;22.63;24.0;22.63;23.5;30500.0
1999-08-05;23.0;23.38;22.63;22.63;5000.0
1999-08-06;22.63;22.63;21.75;22.0;17500.0
1999-08-09;21.75;22.0;21.63;21.88;26700.0
