date;open;high;low;close;volume
1978-05-01;25.75;25.88;25.63;25.88;1591.4733
1978-05-02;25.88;26.0;25.63;25.63;1591.4733
1978-05-03;25.5;25.5;25.13;25.13;1331.6409
1978-05-04;25.0;25.0;24.63;24.63;649.58093
1978-05-05;24.63;24.88;24.63;24.88;3637.6533
1978-05-08;24.63;24.63;24.5;24.63;2208.5752
1978-05-09;24.63;24.63;24.5;24.5;714.539
1978-05-10;24.5;24.63;24.5;24.5;194.87428
1978-05-11;24.5;24.88;24.25;24.88;1331.6409
1978-05-12;24.88;25.5;24.88;25.5;2858.156
1978-05-15;25.38;25.38;25.0;25.0;1818.8267
1978-05-16;25.13;25.5;25.13;25.5;2663.2817
1978-05-17;25.5;25.88;25.38;25.88;9581.318
1978-05-18;25.88;25.88;25.63;25.63;1201.7247
1978-05-19;25.63;25.88;25.63;25.88;3897.4856
1978-05-22;25.88;25.88;25.88;25.88;194.87428
1978-05-23;25.88;25.88;25.63;25.88;1201.7247
1978-05-24;25.88;25.88;25.88;25.88;519.66473
1978-05-25;25.88;25.88;25.88;25.88;714.539
1978-05-26;25.63;25.63;25.63;25.63;129.91618
1978-05-30;25.63;25.63;25.38;25.38;1591.4733
1978-05-31;25.38;25.38;25.13;25.38;194.87428
1978-06-01;25.38;25.38;24.88;24.88;649.58093
1978-06-02;24.88;25.0;24.88;25.0;1201.7247
1978-06-05;25.13;25.5;25.13;25.13;2955.5933
1978-06-06;25.38;25.88;25.38;25.5;4059.8809
1978-06-07;25.5;25.88;25.5;25.5;4482.1084
1978-06-08;25.5;25.5;25.5;25.5;649.58093
1978-06-09;25.5;25.63;25.5;25.63;2078.659
1978-06-12;25.5;25.5;25.5;25.5;0.0
1978-06-13;25.5;25.63;25.38;25.38;12829.224
1978-06-14;25.38;25.5;25.38;25.38;64.95809
1978-06-15;25.38;25.38;25.38;25.38;0.0
1978-06-16;25.5;25.5;25.5;25.5;0.0
1978-06-19;25.5;25.5;25.0;25.0;2208.5752
1978-06-20;25.0;25.13;24.88;24.88;454.70667
1978-06-21;24.63;24.63;23.75;23.75;3150.4675
1978-06-22;23.25;23.25;22.37;22.37;10848.002
1978-06-23;22.37;22.75;22.37;22.75;2760.719
1978-06-26;22.75;22.75;22.0;22.0;3053.0303
1978-06-27;21.63;21.63;21.25;21.38;1688.9104
1978-06-28;21.38;21.63;21.25;21.25;3150.4675
1978-06-29;21.38;21.63;21.38;21.63;1688.9104
1978-06-30;21.63;22.0;21.38;22.0;2208.5752
1978-07-03;22.0;22.0;21.63;21.63;649.58093
1978-07-05;21.63;22.0;21.38;22.0;5099.2104
1978-07-06;22.0;22.12;22.0;22.0;779.49713
1978-07-07;22.12;22.12;22.12;22.12;194.87428
1978-07-10;22.37;22.37;22.37;22.37;1396.599
1978-07-11;22.75;23.13;22.75;23.13;3800.0483
1978-07-12;23.13;24.12;23.13;24.0;8152.2407
1978-07-13;24.12;24.25;24.12;24.25;194.87428
1978-07-14;24.63;25.5;24.63;25.5;5683.833
1978-07-17;25.5;25.88;25.5;25.63;8606.947
1978-07-18;25.88;25.88;25.88;25.88;3962.4436
1978-07-19;25.88;25.88;25.88;25.88;2208.5752
1978-07-20;25.88;25.88;25.5;25.63;649.58093
1978-07-21;25.63;25.63;25.63;25.63;0.0
1978-07-24;25.38;25.38;25.0;25.0;1331.6409
1978-07-25;25.0;25.13;24.88;24.88;454.70667
1978-07-26;24.88;24.88;24.88;24.88;1591.4733
1978-07-27;24.88;25.13;24.88;25.13;4254.755
1978-07-28;25.13;25.13;24.88;25.13;649.58093
1978-07-31;25.13;25.38;25.0;25.13;1461.5571
1978-08-01;25.13;25.38;24.88;25.13;649.58093
1978-08-02;25.13;25.38;24.88;25.13;779.49713
1978-08-03;25.13;25.5;25.13;25.13;2078.659
1978-08-04;25.13;25.38;25.0;25.0;649.58093
1978-08-07;25.0;25.0;24.63;24.63;2078.659
1978-08-08;24.63;24.63;24.5;24.63;194.87428
1978-08-09;24.63;24.63;24.5;24.5;1688.9104
1978-08-10;24.5;24.88;24.5;24.5;3702.6113
1978-08-11;24.5;24.5;24.25;24.5;1818.8267
1978-08-14;24.5;24.63;24.12;24.63;3702.6113
1978-08-15;25.0;25.63;25.0;25.63;10003.546
1978-08-16;26.0;27.88;26.0;27.88;15167.715
1978-08-17;28.37;29.25;28.37;28.62;17668.602
1978-08-18;28.88;30.38;28.88;30.38;13186.493
1978-08-21;30.38;31.25;30.13;30.13;19357.512
1978-08-22;30.13;30.38;29.88;29.88;12082.205
1978-08-23;29.88;30.38;29.5;30.38;15654.9
1978-08-24;30.38;31.75;30.38;31.75;6658.2046
1978-08-25;31.75;32.0;31.5;32.0;6950.516
1978-08-28;32.0;32.0;31.5;31.75;3053.0303
1978-08-29;31.5;31.5;31.13;31.25;4482.1084
1978-08-30;31.25;31.88;31.25;31.5;7405.2227
1978-08-31;31.13;31.13;30.38;30.38;20851.549
1978-09-01;30.13;30.13;29.25;30.13;12569.391
1978-09-05;30.13;30.38;29.63;29.63;9581.318
1978-09-06;29.63;30.38;29.63;30.13;83763.46
1978-09-07;30.38;31.5;30.38;31.5;12471.954
1978-09-08;31.88;32.5;31.88;32.25;10783.044
1978-09-11;32.25;32.5;32.13;32.38;6463.33
1978-09-12;32.5;32.88;32.5;32.88;5748.791
1978-09-13;32.88;33.0;32.13;32.13;7470.1807
1978-09-14;32.13;32.25;31.75;32.0;7405.2227
1978-09-15;32.0;32.25;31.75;31.88;9483.882
1978-09-18;31.88;32.5;31.75;32.13;9289.007
1978-09-19;32.13;33.5;32.13;33.5;15070.277
1978-09-20;33.5;35.25;33.5;34.75;20072.05
1978-09-21;34.75;35.88;34.75;35.63;13965.99
1978-09-22;35.88;36.25;35.88;36.0;11497.582
1978-09-25;36.0;36.0;35.25;35.25;7470.1807
1978-09-26;35.25;36.0;35.25;36.0;4904.336
1978-09-27;36.0;37.13;36.0;36.63;11432.624
1978-09-28;36.63;37.13;36.25;36.63;3150.4675
1978-09-29;36.63;36.87;36.5;36.63;4059.8809
1978-10-02;36.63;36.63;36.5;36.63;1688.9104
1978-10-03;36.63;36.87;36.38;36.5;3247.9045
1978-10-04;36.5;36.87;36.5;36.63;1591.4733
1978-10-05;36.63;37.13;36.63;37.13;4709.462
1978-10-06;37.13;37.25;37.13;37.25;2468.4075
1978-10-09;37.38;38.25;37.38;37.88;7989.845
1978-10-10;38.25;39.38;38.25;39.0;7859.929
1978-10-11;39.88;41.63;39.88;41.38;10295.857
1978-10-12;41.38;41.88;40.13;40.5;29750.807
1978-10-13;40.5;40.75;40.5;40.75;5164.1685
1978-10-16;40.75;40.75;39.63;40.0;10068.505
1978-10-17;40.0;40.0;38.63;39.0;9483.882
1978-10-18;39.0;39.38;38.25;38.38;7405.2227
1978-10-19;38.38;38.75;38.25;38.63;15654.9
1978-10-20;38.38;38.38;37.13;37.63;5683.833
1978-10-23;36.63;36.63;35.0;35.25;13446.325
1978-10-24;35.63;36.25;35.63;36.0;6885.558
1978-10-25;36.0;36.0;35.5;36.0;3247.9045
1978-10-26;35.63;35.63;35.25;35.25;1331.6409
1978-10-27;34.75;34.75;32.0;32.5;12569.391
1978-10-30;32.25;32.25;31.25;32.25;7697.534
1978-10-31;32.25;32.62;32.0;32.25;7567.6177
1978-11-01;32.25;34.5;32.25;34.5;15362.589
1978-11-02;34.62;35.25;34.62;34.87;6658.2046
1978-11-03;34.75;34.75;34.5;34.62;2208.5752
1978-11-06;34.62;34.62;34.25;34.25;2208.5752
1978-11-07;34.25;34.38;33.25;33.25;3247.9045
1978-11-08;33.0;33.0;32.62;32.75;2955.5933
1978-11-09;32.88;32.88;32.88;32.88;0.0
1978-11-10;32.88;32.88;32.75;32.75;1201.7247
1978-11-13;33.0;33.25;33.0;33.0;1591.4733
1978-11-14;33.0;33.0;31.75;31.75;4806.899
1978-11-15;32.0;32.25;32.0;32.25;1688.9104
1978-11-16;32.25;32.5;32.0;32.5;779.49713
1978-11-17;32.62;33.0;32.62;33.0;5683.833
1978-11-20;33.25;34.25;33.25;34.25;2858.156
1978-11-21;34.5;34.75;34.5;34.75;649.58093
1978-11-22;34.75;34.87;34.62;34.75;519.66473
1978-11-24;34.87;34.87;34.87;34.87;779.49713
1978-11-27;35.0;35.5;35.0;35.5;3507.737
1978-11-28;35.5;36.0;35.5;35.63;519.66473
1978-11-29;35.0;35.0;34.75;34.87;3897.4856
1978-11-30;34.5;34.5;34.38;34.5;1201.7247
1978-12-01;17.25;18.0;17.25;17.88;13056.577
1978-12-04;17.88;17.88;17.37;17.88;3767.5693
1978-12-05;17.88;18.0;17.75;18.0;4871.857
1978-12-06;18.0;18.5;18.0;18.5;5326.5635
1978-12-07;18.5;18.5;18.25;18.25;1104.2876
1978-12-08;18.37;18.63;18.37;18.5;2598.3237
1978-12-11;18.63;19.5;18.63;19.38;5131.6895
1978-12-12;19.63;21.13;19.63;20.0;20396.842
1978-12-13;20.25;20.75;20.25;20.75;11952.289
1978-12-14;20.75;20.88;20.5;20.88;2533.3657
1978-12-15;20.75;20.75;20.25;20.5;5261.6055
1978-12-18;20.13;20.13;18.0;18.13;14810.445
1978-12-19;18.13;18.13;17.63;18.0;3507.737
1978-12-20;18.0;18.25;17.75;18.0;6041.1025
1978-12-21;18.0;18.5;18.0;18.25;5066.7314
1978-12-22;18.37;19.38;18.37;19.38;7015.474
1978-12-26;19.38;19.88;19.25;19.88;6041.1025
1978-12-27;19.88;20.0;19.5;19.88;3247.9045
1978-12-28;19.88;20.0;19.5;19.5;3182.9465
1978-12-29;19.5;19.75;19.25;19.75;3053.0303
1979-01-02;19.63;19.63;19.38;19.5;2403.4495
1979-01-03;19.5;19.5;18.88;19.13;4027.4019
1979-01-04;19.13;19.25;18.75;18.75;1494.0361
1979-01-05;18.75;18.88;18.25;18.75;10588.169
1979-01-08;18.75;19.75;18.5;19.75;7340.2646
1979-01-09;19.75;20.0;19.5;20.0;9289.007
1979-01-10;20.0;20.0;19.88;20.0;4871.857
1979-01-11;20.0;20.0;19.75;20.0;3507.737
1979-01-12;20.0;20.0;19.88;19.88;4547.0664
1979-01-15;19.75;19.75;19.5;19.63;5131.6895
1979-01-16;19.63;19.75;18.88;19.13;5066.7314
1979-01-17;19.13;19.5;18.88;19.25;1104.2876
1979-01-18;19.25;19.5;19.25;19.25;1494.0361
1979-01-19;18.88;18.88;18.75;18.88;4871.857
1979-01-22;19.25;19.5;19.25;19.5;5911.1865
1979-01-23;19.5;19.88;19.38;19.88;7145.39
1979-01-24;19.88;20.0;19.63;19.75;20137.01
1979-01-25;19.75;20.25;19.5;20.25;11952.289
1979-01-26;20.25;20.5;19.75;20.25;31244.844
1979-01-29;20.25;20.25;19.75;20.0;5131.6895
1979-01-30;20.0;20.5;20.0;20.38;5261.6055
1979-01-31;20.38;20.5;20.0;20.0;2923.1143
1979-02-01;20.0;20.13;19.75;20.13;7600.0967
1979-02-02;20.0;20.0;19.88;20.0;974.3714
1979-02-05;19.88;19.88;19.25;19.38;8639.427
1979-02-06;19.25;19.25;18.75;18.88;3507.737
1979-02-07;18.88;18.88;18.25;18.25;1039.3295
1979-02-08;18.25;19.5;18.0;19.13;11302.708
1979-02-09;19.13;19.5;19.13;19.5;2663.2817
1979-02-12;19.5;20.0;19.25;19.88;12731.786
1979-02-13;20.0;20.38;20.0;20.25;12731.786
1979-02-14;20.25;20.38;20.0;20.0;6300.935
1979-02-15;20.0;20.0;19.75;19.88;1104.2876
1979-02-16;19.88;20.0;19.75;19.75;1494.0361
1979-02-20;19.75;19.88;19.63;19.88;7015.474
1979-02-21;19.88;20.25;19.88;19.88;4287.2344
1979-02-22;19.75;19.75;19.5;19.75;2663.2817
1979-02-23;19.75;19.75;19.5;19.63;2403.4495
1979-02-26;19.5;19.5;19.13;19.13;4027.4019
1979-02-27;19.13;19.63;19.13;19.38;5716.312
1979-02-28;19.38;19.63;19.25;19.25;6625.7256
1979-03-01;19.25;19.75;19.25;19.5;6430.851
1979-03-02;19.5;19.75;19.25;19.5;5261.6055
1979-03-05;19.5;19.5;19.25;19.25;1364.12
1979-03-06;19.25;19.25;19.25;19.25;324.79047
1979-03-07;19.25;19.5;18.88;18.88;5066.7314
1979-03-08;19.13;20.0;19.13;19.88;12147.163
1979-03-09;19.88;19.88;19.5;19.5;3767.5693
1979-03-12;19.5;19.5;19.13;19.5;6106.0605
1979-03-13;19.5;19.5;18.88;18.88;8184.7197
1979-03-14;18.88;19.25;18.88;18.88;3247.9045
1979-03-15;18.75;18.75;18.63;18.63;2338.4915
1979-03-16;18.63;18.63;18.37;18.63;6885.558
1979-03-19;18.63;18.88;18.25;18.75;8184.7197
1979-03-20;18.75;18.88;18.5;18.88;2923.1143
1979-03-21;18.88;18.88;18.88;18.88;2598.3237
1979-03-22;19.13;19.88;19.13;19.88;20591.715
1979-03-23;19.88;19.88;19.63;19.75;7665.055
1979-03-26;19.75;19.88;19.63;19.75;4287.2344
1979-03-27;19.75;20.13;19.63;20.13;12731.786
1979-03-28;20.13;20.5;20.13;20.25;17603.643
1979-03-29;20.25;20.75;20.25;20.75;10912.96
1979-03-30;21.13;21.75;21.13;21.63;32284.172
1979-04-02;21.75;22.38;21.75;22.38;19422.47
1979-04-03;22.38;22.5;22.25;22.5;14225.822
1979-04-04;22.5;22.63;22.25;22.5;5911.1865
1979-04-05;22.5;22.5;22.25;22.38;8509.51
1979-04-06;22.25;22.25;21.75;22.0;3247.9045
1979-04-09;22.0;22.0;21.75;22.0;1558.9943
1979-04-10;22.0;22.0;21.63;22.0;3767.5693
1979-04-11;22.0;22.0;21.38;21.38;4287.2344
1979-04-12;21.38;21.38;21.13;21.38;2598.3237
1979-04-16;21.38;21.63;21.13;21.38;3767.5693
1979-04-17;21.38;21.38;21.13;21.13;4287.2344
1979-04-18;21.38;22.0;21.38;22.0;4547.0664
1979-04-19;22.0;22.0;21.38;21.38;2533.3657
1979-04-20;21.38;21.38;21.38;21.38;389.74857
1979-04-23;21.38;22.0;21.38;22.0;3247.9045
1979-04-24;21.63;21.63;21.38;21.63;7145.39
1979-04-25;21.38;21.38;21.13;21.38;3182.9465
1979-04-26;21.38;21.38;21.38;21.38;2403.4495
1979-04-27;21.38;21.38;21.13;21.38;2663.2817
1979-04-30;21.38;21.38;20.5;20.5;4287.2344
1979-05-01;20.5;21.13;20.5;21.13;11432.624
1979-05-02;21.13;21.13;20.75;21.13;2793.198
1979-05-03;21.13;21.38;21.13;21.13;3053.0303
1979-05-04;21.13;21.13;20.38;20.38;5261.6055
1979-05-07;19.75;19.75;19.25;19.63;8964.217
1979-05-08;19.38;19.38;18.88;19.25;6106.0605
1979-05-09;19.25;19.38;18.88;19.13;4547.0664
1979-05-10;19.13;19.38;18.5;18.88;5326.5635
1979-05-11;18.88;18.88;18.63;18.63;3507.737
1979-05-14;18.88;18.88;18.88;18.88;2663.2817
1979-05-15;18.88;19.13;18.75;18.75;3182.9465
1979-05-16;18.75;19.25;18.75;19.25;13186.493
1979-05-17;18.88;18.88;18.88;18.88;1494.0361
1979-05-18;18.88;19.38;18.75;19.38;2403.4495
1979-05-21;19.38;19.75;19.38;19.5;7340.2646
1979-05-22;19.63;19.88;19.63;19.63;1364.12
1979-05-23;19.63;19.88;19.63;19.88;6041.1025
1979-05-24;19.88;19.88;19.88;19.88;1104.2876
1979-05-25;19.88;20.0;19.88;19.88;4287.2344
1979-05-29;19.88;20.25;19.88;20.13;7859.929
1979-05-30;20.13;20.25;18.88;19.63;5131.6895
1979-05-31;19.63;19.75;19.5;19.75;1494.0361
1979-06-01;19.75;19.88;19.5;19.75;2858.156
1979-06-04;19.75;20.0;19.63;19.75;3507.737
1979-06-05;19.75;20.0;19.75;19.88;3247.9045
1979-06-06;20.25;20.5;20.25;20.25;7015.474
1979-06-07;20.25;20.38;19.88;19.88;2403.4495
1979-06-08;19.88;20.0;19.88;19.88;1234.2037
1979-06-11;19.88;19.88;19.5;19.5;2858.156
1979-06-12;19.5;20.0;19.5;19.63;15070.277
1979-06-13;19.63;19.75;19.5;19.5;2403.4495
1979-06-14;19.5;19.5;18.88;19.38;12731.786
1979-06-15;19.38;19.5;18.75;18.75;6625.7256
