date;open;high;low;close;volume
1990-03-26;12.75;12.75;12.75;12.75;100.0
1990-03-27;12.75;12.75;12.75;12.75;2300.0
1990-03-28;12.75;12.75;12.75;12.75;0.0
1990-03-29;12.75;12.75;12.75;12.75;0.0
1990-03-30;12.75;12.75;12.75;12.75;0.0
1990-04-02;12.75;12.75;12.75;12.75;100.0
1990-04-03;13.25;13.25;13.0;13.25;10100.0
1990-04-04;13.25;13.25;13.25;13.25;1200.0
1990-04-05;13.25;13.25;13.25;13.25;0.0
1990-04-06;12.75;13.25;12.75;13.0;7400.0
1990-04-09;13.25;13.25;13.25;13.25;300.0
1990-04-10;13.25;13.25;13.25;13.25;0.0
1990-04-11;13.25;13.25;13.25;13.25;1100.0
1990-04-12;13.25;13.5;13.0;13.0;3600.0
1990-04-16;13.0;13.0;13.0;13.0;0.0
1990-04-17;13.0;13.0;13.0;13.0;2500.0
1990-04-18;13.0;13.0;13.0;13.0;0.0
1990-04-19;13.25;13.25;13.25;13.25;2000.0
1990-04-20;13.25;13.25;13.25;13.25;5000.0
1990-04-23;13.25;13.25;13.25;13.25;0.0
1990-04-24;13.25;13.25;13.25;13.25;2000.0
1990-04-25;13.5;13.5;13.5;13.5;1000.0
1990-04-26;13.5;13.5;13.5;13.5;1000.0
1990-04-27;13.5;13.5;13.5;13.5;0.0
1990-04-30;13.0;13.0;13.0;13.0;800.0
1990-05-01;13.0;13.0;13.0;13.0;0.0
1990-05-02;13.0;13.0;13.0;13.0;200.0
1990-05-03;13.0;13.0;13.0;13.0;0.0
1990-05-04;13.0;13.0;13.0;13.0;0.0
1990-05-07;13.38;13.38;13.25;13.25;5000.0
1990-05-08;13.25;13.25;13.25;13.25;0.0
1990-05-09;13.13;13.13;13.13;13.13;300.0
1990-05-10;13.0;13.13;13.0;13.13;4600.0
1990-05-11;13.13;13.25;13.0;13.25;4100.0
1990-05-14;13.0;13.0;13.0;13.0;400.0
1990-05-15;13.0;13.0;13.0;13.0;0.0
1990-05-16;13.0;13.0;13.0;13.0;0.0
1990-05-17;13.0;13.0;13.0;13.0;500.0
1990-05-18;13.0;13.13;13.0;13.0;4000.0
1990-05-21;13.0;13.13;13.0;13.13;2000.0
1990-05-22;13.0;13.13;13.0;13.13;7100.0
1990-05-23;13.0;13.0;13.0;13.0;400.0
1990-05-24;13.0;13.0;13.0;13.0;0.0
1990-05-25;13.13;13.13;13.0;13.0;3200.0
1990-05-29;13.5;13.5;13.5;13.5;1200.0
1990-05-30;13.5;13.5;13.5;13.5;0.0
1990-05-31;13.0;13.13;13.0;13.13;4000.0
1990-06-01;13.0;13.5;13.0;13.0;8100.0
1990-06-04;13.0;13.0;13.0;13.0;1000.0
1990-06-05;13.5;13.5;13.0;13.0;2400.0
1990-06-06;13.0;13.38;13.0;13.38;1300.0
1990-06-07;13.0;13.0;13.0;13.0;400.0
1990-06-08;13.0;13.25;13.0;13.0;2500.0
1990-06-11;13.0;13.0;13.0;13.0;400.0
1990-06-12;13.0;13.0;13.0;13.0;0.0
1990-06-13;13.0;13.13;13.0;13.0;13100.0
1990-06-14;13.0;13.0;13.0;13.0;1000.0
1990-06-15;12.75;13.13;12.75;13.13;1800.0
1990-06-18;12.75;13.13;12.75;13.13;3000.0
1990-06-19;13.0;13.0;12.25;12.75;4200.0
1990-06-20;12.75;12.75;12.75;12.75;0.0
1990-06-21;12.0;12.0;12.0;12.0;2500.0
1990-06-22;12.5;12.5;12.5;12.5;600.0
1990-06-25;12.5;12.5;12.0;12.5;15600.0
1990-06-26;12.13;12.5;12.13;12.5;3300.0
1990-06-27;12.5;12.5;12.5;12.5;1400.0
1990-06-28;12.0;12.63;12.0;12.63;4900.0
1990-06-29;12.63;12.63;12.63;12.63;1400.0
1990-07-02;12.0;12.63;12.0;12.63;1300.0
1990-07-03;12.5;12.5;12.5;12.5;600.0
1990-07-05;12.0;12.0;12.0;12.0;100.0
1990-07-06;12.0;12.0;12.0;12.0;1700.0
1990-07-09;12.0;12.0;12.0;12.0;500.0
1990-07-10;12.0;12.0;12.0;12.0;1300.0
1990-07-11;12.0;12.0;12.0;12.0;500.0
1990-07-12;12.5;12.5;12.0;12.13;10000.0
1990-07-13;12.12;12.12;12.12;12.12;0.0
