date;open;high;low;close;volume
1990-03-27;30.0;30.25;29.5;29.5;33900.0
1990-03-28;30.0;30.0;30.0;30.0;4200.0
1990-03-29;29.5;29.5;29.5;29.5;100.0
1990-03-30;30.0;30.0;30.0;30.0;500.0
1990-04-02;30.0;30.0;29.5;29.5;900.0
1990-04-03;29.5;29.5;29.5;29.5;0.0
1990-04-04;29.5;29.5;29.25;29.25;1300.0
1990-04-05;30.0;30.0;30.0;30.0;100.0
1990-04-06;30.0;30.0;30.0;30.0;0.0
1990-04-09;29.25;29.25;29.25;29.25;1100.0
1990-04-10;29.75;29.75;29.0;29.0;2600.0
1990-04-11;29.0;29.25;29.0;29.0;8600.0
1990-04-12;29.5;29.5;29.5;29.5;500.0
1990-04-16;29.0;29.25;28.5;28.5;2500.0
1990-04-17;28.5;28.5;28.5;28.5;0.0
1990-04-18;28.5;28.5;28.5;28.5;0.0
1990-04-19;29.25;29.25;29.0;29.0;2600.0
1990-04-20;28.75;28.75;28.75;28.75;400.0
1990-04-23;28.5;29.5;28.5;28.5;20400.0
1990-04-24;28.5;28.75;28.5;28.5;15900.0
1990-04-25;28.5;28.5;28.5;28.5;0.0
1990-04-26;29.5;29.5;29.5;29.5;1100.0
1990-04-27;29.5;29.5;29.5;29.5;0.0
1990-04-30;29.5;29.5;29.5;29.5;100.0
1990-05-01;29.25;29.25;28.5;28.5;200.0
1990-05-02;29.5;29.5;28.5;29.0;14200.0
1990-05-03;29.5;29.5;29.25;29.25;300.0
1990-05-04;29.25;29.25;28.5;29.12;14100.0
1990-05-07;29.5;29.5;29.5;29.5;600.0
1990-05-08;29.5;29.5;29.5;29.5;0.0
1990-05-09;29.5;29.5;29.5;29.5;0.0
1990-05-10;29.5;29.5;28.5;28.5;900.0
1990-05-11;28.5;29.25;28.5;29.25;700.0
1990-05-14;29.5;29.5;29.0;29.25;15800.0
1990-05-15;29.25;29.25;29.25;29.25;0.0
1990-05-16;29.25;29.25;29.25;29.25;0.0
1990-05-17;29.25;29.25;29.25;29.25;0.0
1990-05-18;29.25;29.25;29.25;29.25;0.0
1990-05-21;29.25;29.25;29.25;29.25;300.0
1990-05-22;29.0;29.0;29.0;29.0;100.0
1990-05-23;29.25;29.75;29.25;29.25;5900.0
1990-05-24;29.87;29.87;29.87;29.87;500.0
1990-05-25;29.5;29.87;29.5;29.75;5300.0
1990-05-29;29.75;29.75;29.75;29.75;2800.0
1990-05-30;29.87;30.25;29.87;30.25;45200.0
1990-05-31;29.75;30.0;29.75;30.0;7700.0
1990-06-01;30.25;30.25;29.5;29.5;1500.0
1990-06-04;29.5;30.25;29.5;30.0;600.0
1990-06-05;29.5;29.5;29.5;29.5;100.0
1990-06-06;30.25;30.25;30.0;30.0;600.0
1990-06-07;30.25;30.25;30.25;30.25;400.0
1990-06-08;30.25;30.25;29.5;29.5;300.0
1990-06-11;29.25;29.37;29.25;29.37;6100.0
1990-06-12;29.25;29.37;29.25;29.25;6100.0
1990-06-13;29.25;29.5;29.25;29.25;5300.0
1990-06-14;29.5;29.5;29.0;29.0;2100.0
1990-06-15;29.0;29.5;29.0;29.5;34000.0
1990-06-18;29.5;29.5;29.0;29.5;3600.0
1990-06-19;28.75;28.75;28.75;28.75;200.0
1990-06-20;28.75;29.0;28.75;29.0;1400.0
1990-06-21;29.0;29.0;28.75;28.75;1700.0
1990-06-22;28.75;29.0;28.75;29.0;700.0
1990-06-25;29.0;29.0;29.0;29.0;0.0
1990-06-26;28.75;28.75;28.75;28.75;1600.0
1990-06-27;28.75;28.75;28.75;28.75;800.0
1990-06-28;29.0;29.5;29.0;29.5;26800.0
1990-06-29;29.0;29.5;28.75;29.25;12200.0
1990-07-02;28.75;28.87;28.75;28.75;5400.0
1990-07-03;28.75;28.75;28.75;28.75;0.0
1990-07-05;28.87;28.87;28.5;28.5;8400.0
1990-07-06;28.5;28.5;28.5;28.5;300.0
1990-07-09;29.0;29.0;29.0;29.0;200.0
1990-07-10;29.0;29.0;29.0;29.0;0.0
1990-07-11;28.5;29.0;28.5;28.5;700.0
1990-07-12;28.75;28.75;28.25;28.25;500.0
1990-07-13;29.0;29.0;28.75;29.0;2900.0
1990-07-16;29.25;29.25;28.5;28.5;1300.0
1990-07-17;28.5;28.5;28.5;28.5;1400.0
1990-07-18;29.0;29.0;29.0;29.0;1600.0
1990-07-19;28.5;28.5;28.5;28.5;800.0
1990-07-20;28.5;28.5;28.5;28.5;500.0
1990-07-23;28.5;28.5;28.5;28.5;0.0
1990-07-24;28.0;28.0;28.0;28.0;500.0
1990-07-25;28.0;28.5;28.0;28.0;900.0
1990-07-26;28.5;28.5;28.5;28.5;200.0
1990-07-27;28.0;28.75;28.0;28.0;32100.0
1990-07-30;28.0;28.0;28.0;28.0;1900.0
1990-07-31;28.25;28.37;28.0;28.37;16400.0
1990-08-01;28.0;28.37;28.0;28.0;14300.0
