date;open;high;low;close;volume
1999-09-24;27.75;30.63;24.06;29.13;1.03509E8
1999-09-27;33.34;33.75;25.25;25.31;3.0366E7
1999-09-28;25.06;27.63;23.0;26.44;1.4504E7
1999-09-29;27.25;27.75;25.38;27.19;8717333.0
1999-09-30;27.19;27.19;25.13;26.0;6255667.0
1999-10-01;25.88;26.38;24.94;25.69;5399333.0
1999-10-04;25.44;25.5;24.38;24.44;4531333.0
1999-10-05;24.94;25.0;23.88;24.63;5457667.0
1999-10-06;24.69;26.5;24.06;25.38;4323667.0
1999-10-07;25.44;26.23;24.44;26.0;6843667.0
1999-10-08;25.5;29.13;25.0;28.75;9149000.0
1999-10-11;28.38;33.19;28.38;31.25;1.3309333E7
1999-10-12;30.81;34.38;30.5;31.69;7793333.0
1999-10-13;31.0;31.19;28.5;29.13;3994667.0
1999-10-14;29.38;29.44;25.38;27.22;5266333.0
1999-10-15;25.0;26.5;23.0;26.0;4589667.0
1999-10-18;26.19;26.5;23.88;24.0;3297000.0
1999-10-19;25.38;25.69;22.63;22.75;1.0504667E7
1999-10-20;23.5;23.5;19.31;19.75;1.2658333E7
1999-10-21;19.13;19.63;17.19;19.0;7228667.0
1999-10-22;23.0;25.5;22.13;24.06;2.1702332E7
1999-10-25;25.31;25.38;22.81;24.63;6673333.0
1999-10-26;23.56;24.13;21.13;22.0;7681333.0
1999-10-27;22.0;22.0;19.88;21.44;4510333.0
1999-10-28;21.63;22.25;20.25;20.75;3262000.0
1999-10-29;21.0;22.0;20.56;20.56;3168667.0
1999-11-01;20.5;20.81;19.75;19.88;3957333.0
1999-11-02;19.81;21.19;19.5;19.81;4293333.0
1999-11-03;20.38;20.63;19.5;19.63;4328333.0
1999-11-04;19.88;21.44;19.63;21.31;5026000.0
1999-11-05;21.88;22.72;20.31;20.44;4967667.0
1999-11-08;21.25;21.75;20.88;21.13;2921333.0
1999-11-09;21.81;22.0;20.56;21.38;2524667.0
1999-11-10;21.38;21.75;20.69;21.5;3105667.0
1999-11-11;21.88;23.75;21.38;23.44;4643333.0
1999-11-12;23.97;24.5;22.13;23.75;2730000.0
1999-11-15;23.94;25.0;23.56;24.5;5021333.0
1999-11-16;25.5;25.56;24.06;25.25;5159000.0
1999-11-17;25.25;27.88;24.75;27.69;1.3148333E7
1999-11-18;28.0;28.31;24.88;27.0;5791333.0
1999-11-19;27.44;28.19;26.0;27.25;4179000.0
1999-11-22;27.5;27.63;25.75;26.31;2067333.0
1999-11-23;26.25;26.5;23.63;23.94;2737000.0
1999-11-24;24.31;24.75;23.13;23.19;3231667.0
1999-11-26;23.13;23.63;22.38;22.81;1325333.0
1999-11-29;22.5;23.19;22.0;22.38;2191000.0
1999-11-30;22.56;22.69;20.81;21.25;3059000.0
1999-12-01;21.0;22.13;20.0;21.63;3446333.0
1999-12-02;22.0;22.63;20.88;22.38;2118667.0
1999-12-03;23.81;26.5;22.13;23.13;5558000.0
1999-12-06;24.5;24.5;21.25;22.13;2149000.0
1999-12-07;22.06;22.06;21.0;21.75;1703333.0
1999-12-08;21.75;22.75;21.0;22.38;1663667.0
1999-12-09;22.81;23.0;21.13;21.25;1974000.0
1999-12-10;22.31;22.81;21.13;21.38;1845667.0
1999-12-13;21.22;21.88;21.19;21.69;2041667.0
1999-12-14;21.97;22.94;21.38;22.5;2809333.0
1999-12-15;23.25;24.0;21.75;21.88;3703000.0
1999-12-16;21.88;23.38;21.88;22.63;2522333.0
1999-12-17;23.0;25.0;22.75;25.0;7280000.0
1999-12-20;25.94;25.94;23.5;23.56;2391667.0
1999-12-21;26.25;40.0;25.5;33.94;6.7662E7
1999-12-22;32.75;33.25;26.0;26.0;1.8461332E7
1999-12-23;25.13;26.0;23.0;25.38;7632333.0
1999-12-27;26.13;28.13;24.0;27.06;4846333.0
1999-12-28;27.16;27.19;24.75;25.38;2324000.0
1999-12-29;25.13;26.0;24.75;25.19;2531667.0
1999-12-30;25.19;26.94;25.13;26.5;2424333.0
1999-12-31;27.0;27.69;26.0;26.94;1372000.0
2000-01-03;28.75;30.81;27.38;29.06;4967667.0
2000-01-04;29.0;30.94;27.5;27.88;3350667.0
2000-01-05;28.0;29.25;26.5;28.94;2524667.0
2000-01-06;29.31;29.31;27.06;27.25;1365000.0
2000-01-07;27.63;28.19;25.5;26.38;3339000.0
2000-01-10;28.88;29.13;25.75;25.81;4650333.0
2000-01-11;26.13;27.38;24.38;25.13;4615333.0
2000-01-12;26.75;26.75;24.5;24.94;4106667.0
2000-01-13;26.69;34.31;26.69;32.06;4.0798332E7
2000-01-14;30.25;31.5;28.25;30.5;1.1111333E7
2000-01-18;29.75;32.44;29.44;31.75;3934000.0
2000-01-19;31.69;32.0;30.63;32.0;5499667.0
2000-01-20;32.0;35.31;31.56;32.06;7674333.0
2000-01-21;32.0;33.38;32.0;33.13;4839333.0
2000-01-24;34.25;35.0;32.75;34.5;4524333.0
2000-01-25;34.81;35.44;31.88;35.0;3266667.0
2000-01-26;34.56;35.19;33.75;34.56;2256333.0
2000-01-27;34.5;36.38;34.5;35.56;9408000.0
2000-01-28;35.88;35.88;34.94;34.94;2394000.0
2000-01-31;35.0;35.75;30.69;32.13;2440667.0
2000-02-01;32.0;34.5;30.63;34.0;2324000.0
2000-02-02;33.34;34.88;32.0;32.63;1176000.0
2000-02-03;33.81;34.63;33.5;34.63;3313333.0
2000-02-04;34.25;34.38;32.0;32.75;2412667.0
2000-02-07;32.88;33.25;31.25;31.5;1514333.0
2000-02-08;31.19;32.69;30.88;31.44;3712333.0
2000-02-09;31.13;32.13;29.69;30.38;2319333.0
2000-02-10;30.0;30.25;28.88;30.0;1281000.0
2000-02-11;29.5;30.56;29.13;29.38;1239000.0
2000-02-14;29.5;30.13;29.31;30.0;590333.0
2000-02-15;30.0;30.56;26.5;27.56;2909667.0
2000-02-16;27.5;27.88;26.56;27.5;2125667.0
2000-02-17;27.75;27.75;26.94;27.25;3196667.0
2000-02-18;27.06;27.5;25.0;25.25;1708000.0
2000-02-22;24.75;26.0;24.38;25.75;1855000.0
2000-02-23;26.25;27.13;25.88;26.88;735000.0
2000-02-24;26.5;26.63;24.88;25.0;1255333.0
2000-02-25;25.5;26.0;24.69;24.94;961333.0
2000-02-28;24.38;24.38;23.0;23.25;1346333.0
2000-02-29;24.0;24.44;23.25;23.5;2223667.0
2000-03-01;23.5;23.88;22.13;23.06;1652000.0
2000-03-02;22.94;23.13;20.63;21.63;2760333.0
2000-03-03;21.5;23.0;21.5;22.75;2489667.0
2000-03-06;23.19;24.0;22.19;22.44;2902667.0
2000-03-07;22.94;23.0;19.0;19.25;4335333.0
2000-03-08;19.53;24.0;19.5;24.0;7109667.0
2000-03-09;24.69;27.0;21.75;27.0;6708333.0
2000-03-10;27.0;27.0;23.0;23.25;2552667.0
2000-03-13;22.22;24.25;22.13;23.88;1514333.0
2000-03-14;23.81;25.44;22.0;22.0;1414000.0
2000-03-15;22.25;22.88;20.5;20.75;3047333.0
2000-03-16;21.75;22.0;19.06;20.13;8579667.0
2000-03-17;20.31;20.44;19.88;19.94;3262000.0
2000-03-20;19.5;19.5;16.63;17.0;5828667.0
2000-03-21;16.63;16.75;14.88;15.0;6276667.0
2000-03-22;15.38;18.63;15.06;17.88;1.0917667E7
2000-03-23;18.38;19.5;17.5;19.31;6953333.0
2000-03-24;19.38;19.5;18.75;19.0;5513667.0
2000-03-27;20.06;21.63;18.0;18.25;6377000.0
2000-03-28;18.5;19.13;18.25;18.63;2898000.0
2000-03-29;18.72;18.75;16.25;16.44;5254667.0
2000-03-30;16.5;16.5;14.5;15.88;5483333.0
2000-03-31;16.75;16.75;15.25;15.25;2919000.0
2000-04-03;16.19;16.31;14.5;14.63;2548000.0
2000-04-04;14.5;14.63;9.63;13.75;5462333.0
2000-04-05;13.06;13.81;12.0;12.5;3399667.0
2000-04-06;12.75;14.0;12.63;13.56;3243333.0
2000-04-07;13.5;13.75;13.06;13.38;1458333.0
2000-04-10;13.84;14.25;12.5;12.75;1430333.0
2000-04-11;12.75;13.0;10.75;11.06;3605000.0
2000-04-12;10.56;11.06;8.94;9.25;5663000.0
2000-04-13;9.47;9.56;7.06;8.0;1.0455667E7
2000-04-14;7.69;7.69;6.5;7.0;7112000.0
2000-04-17;5.25;6.25;5.0;5.38;8911000.0
2000-04-18;6.06;10.25;5.88;9.31;1.5036E7
2000-04-19;10.63;10.69;8.88;9.03;5765667.0
2000-04-20;9.13;9.22;8.0;8.28;2727667.0
2000-04-24;11.38;12.75;10.88;11.44;2.2003332E7
2000-04-25;12.31;16.38;12.13;16.06;2.7349E7
2000-04-26;16.88;17.0;12.5;12.81;2.4196668E7
2000-04-27;11.81;13.06;11.19;12.06;1.0217667E7
2000-04-28;15.06;15.13;11.94;12.06;3.0765E7
2000-05-01;12.88;12.94;11.5;11.69;1.169E7
2000-05-02;11.38;11.38;9.88;10.44;3.0527E7
2000-05-03;10.25;10.69;9.44;9.75;8372000.0
2000-05-04;9.75;9.88;9.06;9.19;6451667.0
2000-05-05;9.13;9.25;8.56;9.13;1.3136667E7
