date;open;high;low;close;volume
1987-11-05;19.75;21.0;19.75;20.38;34006.0
1987-11-06;20.75;21.37;20.38;20.75;54011.0
1987-11-09;20.75;21.0;20.0;20.62;35900.0
1987-11-10;20.62;20.88;20.0;20.38;20956.0
1987-11-11;20.5;20.62;20.12;20.5;8050.0
1987-11-12;20.5;20.75;20.12;20.62;140350.0
1987-11-13;20.38;20.62;20.0;20.25;10917.0
1987-11-16;20.25;20.62;19.87;20.25;33983.0
1987-11-17;20.25;20.38;19.63;20.38;50344.0
1987-11-18;20.5;20.5;20.12;20.5;17961.0
1987-11-19;20.62;20.62;19.63;20.25;21944.0
1987-11-20;20.38;20.5;19.87;20.38;34278.0
1987-11-23;20.25;20.5;20.12;20.38;10478.0
1987-11-24;20.5;20.62;20.12;20.5;25000.0
1987-11-25;20.12;20.25;19.25;20.0;146756.0
1987-11-27;19.5;20.0;19.5;20.0;6344.0
1987-11-30;19.25;19.87;19.0;19.75;446967.0
1987-12-01;19.0;19.5;18.75;19.37;10878.0
1987-12-02;18.62;18.88;17.75;18.75;46739.0
1987-12-03;18.5;18.5;17.63;18.5;37356.0
1987-12-04;18.75;18.75;17.87;17.87;41028.0
1987-12-07;18.25;18.38;18.0;18.25;51839.0
1987-12-08;18.5;18.75;18.12;18.62;30061.0
1987-12-09;18.75;18.88;18.25;18.75;35100.0
1987-12-10;18.75;19.75;18.38;19.37;50494.0
1987-12-11;19.25;19.5;19.0;19.25;22578.0
1987-12-14;18.5;19.13;18.12;18.62;41278.0
1987-12-15;18.75;18.88;18.25;18.5;49228.0
1987-12-16;18.75;19.25;18.25;19.25;44800.0
1987-12-17;19.5;19.87;18.88;19.5;43556.0
1987-12-18;19.63;19.63;19.25;19.5;28672.0
1987-12-21;19.63;19.75;19.25;19.63;23906.0
1987-12-22;19.63;19.87;19.5;19.75;34383.0
1987-12-23;19.75;20.5;19.5;20.38;49606.0
1987-12-24;20.5;20.88;20.5;20.62;13344.0
1987-12-28;20.5;20.5;19.63;20.5;25489.0
1987-12-29;20.38;20.5;20.0;20.5;18783.0
1987-12-30;20.5;20.5;20.12;20.5;41722.0
1987-12-31;20.25;20.88;20.25;20.88;14122.0
1988-01-04;20.38;21.12;20.38;21.12;34828.0
1988-01-05;21.0;21.75;20.88;21.75;24578.0
1988-01-06;21.87;22.88;21.75;22.75;44822.0
1988-01-07;22.75;23.37;22.62;23.25;71367.0
1988-01-08;23.25;23.25;22.38;22.38;25950.0
1988-01-11;22.0;22.88;21.12;22.5;14461.0
1988-01-12;22.5;22.5;21.0;22.0;15322.0
1988-01-13;21.75;22.38;21.5;22.0;17328.0
1988-01-14;22.25;22.75;21.63;22.62;9656.0
1988-01-15;22.5;23.37;22.5;23.0;40478.0
1988-01-18;22.75;23.37;22.75;23.25;22744.0
1988-01-19;23.25;23.25;22.62;22.75;18594.0
1988-01-20;22.88;22.88;22.25;22.75;17306.0
1988-01-21;22.88;22.88;21.5;21.75;30567.0
1988-01-22;21.63;21.63;21.0;21.5;138533.0
1988-01-25;21.75;21.75;21.12;21.5;37211.0
1988-01-26;21.5;21.5;21.0;21.25;12944.0
1988-01-27;21.25;21.37;20.75;21.0;38894.0
1988-01-28;21.0;21.5;20.38;21.5;39339.0
1988-01-29;21.0;22.25;21.0;22.25;89494.0
1988-02-01;22.38;23.0;22.25;22.88;76928.0
1988-02-02;23.0;23.5;22.88;23.12;80217.0
1988-02-03;23.12;23.25;22.62;22.75;174017.0
1988-02-04;22.5;23.37;22.5;22.75;39528.0
1988-02-05;23.0;23.37;23.0;23.12;42711.0
1988-02-08;23.0;23.25;22.88;23.12;24328.0
1988-02-09;23.0;23.25;22.5;22.75;24139.0
1988-02-10;23.0;23.5;23.0;23.12;49861.0
1988-02-11;23.37;23.5;23.25;23.5;56561.0
1988-02-12;23.5;23.63;23.37;23.63;10517.0
1988-02-16;23.63;23.63;23.12;23.37;9128.0
1988-02-17;23.37;23.5;23.0;23.5;19139.0
1988-02-18;23.37;23.5;22.75;23.37;17389.0
1988-02-19;23.5;23.63;23.25;23.63;11422.0
1988-02-22;23.37;23.5;22.62;23.25;12228.0
1988-02-23;23.63;23.63;23.12;23.5;147094.0
1988-02-24;23.75;24.5;23.63;24.37;284622.0
1988-02-25;23.87;24.37;23.87;24.0;33183.0
1988-02-26;24.0;24.13;23.87;23.87;245006.0
1988-02-29;23.63;24.25;23.63;24.13;250889.0
1988-03-01;24.13;24.13;23.63;23.87;131261.0
