date;open;high;low;close;volume
1992-03-17;23.5;23.62;23.5;23.62;4200.0
1992-03-18;24.0;24.0;24.0;24.0;10300.0
1992-03-19;24.12;24.25;23.75;23.75;204600.0
1992-03-20;23.88;24.12;23.88;24.12;1900.0
1992-03-23;24.12;24.12;24.0;24.0;2100.0
1992-03-24;24.25;24.25;24.0;24.0;400.0
1992-03-25;24.0;24.25;24.0;24.0;2700.0
1992-03-26;24.0;24.0;23.88;23.88;212000.0
1992-03-27;23.75;23.88;23.5;23.5;71100.0
1992-03-30;23.5;23.5;23.25;23.38;49200.0
1992-03-31;23.12;23.12;23.0;23.0;13100.0
1992-04-01;23.0;23.0;23.0;23.0;18000.0
1992-04-02;23.0;23.0;22.75;22.88;7800.0
1992-04-03;22.62;22.62;22.5;22.62;19400.0
1992-04-06;22.62;23.0;22.62;22.75;2600.0
1992-04-07;23.0;23.12;22.75;22.75;12300.0
1992-04-08;22.88;22.88;22.5;22.75;4600.0
1992-04-09;22.5;22.5;22.5;22.5;2100.0
1992-04-10;22.75;22.75;22.62;22.75;7300.0
1992-04-13;22.75;22.75;22.62;22.75;18700.0
1992-04-14;22.5;23.0;22.5;22.88;7600.0
1992-04-15;22.62;22.88;22.62;22.88;600.0
1992-04-16;22.62;22.62;22.5;22.62;1300.0
1992-04-20;22.5;22.5;22.5;22.5;1800.0
1992-04-21;22.5;22.5;22.5;22.5;300.0
1992-04-22;22.5;22.75;22.5;22.75;2500.0
1992-04-23;22.88;22.88;22.75;22.88;700.0
1992-04-24;23.0;23.0;23.0;23.0;500.0
1992-04-27;22.88;22.88;22.62;22.88;6900.0
1992-04-28;23.0;23.0;22.75;22.75;10100.0
1992-04-29;22.62;22.62;22.25;22.25;15200.0
1992-04-30;22.12;22.25;22.12;22.25;7200.0
1992-05-01;22.25;22.38;22.25;22.38;2900.0
1992-05-04;22.5;22.5;22.25;22.5;2700.0
1992-05-05;22.25;22.25;22.0;22.12;18300.0
1992-05-06;22.12;22.12;21.75;21.75;25100.0
1992-05-07;22.0;22.12;21.88;21.88;11200.0
1992-05-08;22.0;22.0;21.62;21.75;4500.0
1992-05-11;21.5;21.75;21.5;21.5;3600.0
1992-05-12;21.25;21.25;20.88;20.88;11400.0
1992-05-13;20.62;20.62;20.5;20.5;3200.0
1992-05-14;20.38;20.5;20.38;20.5;6700.0
1992-05-15;20.38;20.38;19.75;20.12;17600.0
1992-05-18;20.25;20.5;20.25;20.5;1400.0
1992-05-19;20.5;20.75;20.5;20.75;3700.0
1992-05-20;20.88;20.88;20.88;20.88;4000.0
1992-05-21;20.75;20.75;20.75;20.75;4200.0
1992-05-22;20.88;20.88;20.88;20.88;1100.0
1992-05-26;21.0;21.0;20.75;20.75;10900.0
1992-05-27;20.62;20.62;20.5;20.5;13000.0
1992-05-28;20.75;20.75;19.5;19.62;10400.0
1992-05-29;19.88;20.0;19.88;19.88;6800.0
1992-06-01;19.62;19.75;19.62;19.75;2000.0
1992-06-02;19.75;19.88;19.62;19.62;5800.0
1992-06-03;19.5;19.5;19.38;19.38;1200.0
1992-06-04;19.62;19.62;19.62;19.62;100.0
1992-06-05;19.5;19.5;19.38;19.5;13000.0
1992-06-08;19.38;19.38;19.12;19.12;30900.0
1992-06-09;19.38;19.62;19.38;19.5;1800.0
1992-06-10;19.75;19.75;19.5;19.62;6500.0
1992-06-11;19.75;19.75;19.75;19.75;1000.0
1992-06-12;19.75;19.75;19.75;19.75;200.0
1992-06-15;19.75;19.75;19.38;19.5;79200.0
1992-06-16;19.38;19.75;19.38;19.5;3000.0
1992-06-17;19.62;19.62;19.62;19.62;100.0
1992-06-18;19.5;19.5;19.25;19.25;600.0
1992-06-19;19.25;19.25;19.12;19.12;500.0
1992-06-22;19.0;19.0;18.88;18.88;21400.0
1992-06-23;18.62;18.62;18.62;18.62;5700.0
1992-06-24;18.88;18.88;18.88;18.88;300.0
1992-06-25;19.0;19.0;18.62;18.62;5200.0
1992-06-26;18.75;19.12;18.25;18.25;7900.0
1992-06-29;18.5;18.5;18.5;18.5;200.0
1992-06-30;18.62;18.75;18.25;18.5;11900.0
1992-07-01;18.25;20.25;18.25;20.25;23800.0
1992-07-02;20.25;20.25;19.88;20.25;14800.0
1992-07-06;20.0;20.12;19.88;20.12;18100.0
1992-07-07;20.0;20.12;20.0;20.0;8600.0
1992-07-08;19.88;20.12;19.88;20.12;23800.0
1992-07-09;20.12;20.25;20.0;20.25;36600.0
1992-07-10;20.38;20.38;20.25;20.25;1700.0
1992-07-13;20.12;20.12;19.75;19.88;14700.0
1992-07-14;19.88;19.88;19.62;19.62;7600.0
1992-07-15;19.75;19.75;19.75;19.75;5700.0
1992-07-16;19.62;19.75;19.62;19.75;400.0
1992-07-17;19.88;19.88;19.75;19.75;4200.0
1992-07-20;19.75;19.88;19.75;19.88;3300.0
1992-07-21;19.88;20.12;19.88;20.12;21100.0
1992-07-22;20.25;20.25;19.75;19.75;5000.0
1992-07-23;19.75;19.75;19.62;19.62;19700.0
1992-07-24;19.38;19.38;19.38;19.38;800.0
1992-07-27;19.38;19.38;19.38;19.38;400.0
1992-07-28;19.25;19.38;19.25;19.38;1100.0
1992-07-29;19.5;19.62;19.25;19.62;7100.0
1992-07-30;19.62;19.62;19.62;19.62;39700.0
1992-07-31;19.88;20.0;19.88;20.0;2900.0
1992-08-03;19.75;19.75;19.5;19.75;5600.0
1992-08-04;19.75;19.75;19.75;19.75;800.0
1992-08-05;19.5;20.5;19.5;20.25;10400.0
1992-08-06;20.25;20.25;20.0;20.0;8200.0
1992-08-07;19.88;20.5;19.88;20.38;8400.0
1992-08-10;20.12;20.12;20.12;20.12;200.0
1992-08-11;20.0;20.0;19.25;19.5;12900.0
1992-08-12;19.5;19.62;19.5;19.5;2600.0
1992-08-13;19.38;19.38;19.38;19.38;1500.0
1992-08-14;19.62;19.62;19.38;19.38;9900.0
1992-08-17;19.5;19.75;19.5;19.5;5200.0
1992-08-18;19.38;19.5;19.12;19.5;6500.0
1992-08-19;19.38;19.38;19.25;19.25;20600.0
1992-08-20;19.25;19.38;19.25;19.38;4500.0
1992-08-21;19.5;19.62;19.5;19.62;47900.0
1992-08-24;19.38;19.38;19.25;19.25;1300.0
1992-08-25;19.38;19.38;19.12;19.12;12000.0
1992-08-26;19.38;19.38;18.88;19.0;14000.0
1992-08-27;19.12;19.12;19.0;19.0;11000.0
1992-08-28;18.88;19.0;18.75;18.75;8600.0
1992-08-31;18.62;18.75;18.62;18.75;6300.0
1992-09-01;18.75;19.0;18.75;19.0;17300.0
1992-09-02;18.75;18.75;18.62;18.75;1000.0
1992-09-03;18.75;18.75;18.75;18.75;0.0
1992-09-04;18.75;18.75;18.75;18.75;80400.0
1992-09-08;18.62;19.0;18.62;19.0;1800.0
1992-09-09;18.88;19.0;18.88;19.0;1000.0
1992-09-10;19.12;19.12;19.0;19.0;1200.0
1992-09-11;18.88;19.0;18.88;18.88;3200.0
1992-09-14;18.88;18.88;18.88;18.88;1000.0
