date;open;high;low;close;volume
1988-01-05;25.5;26.0;25.5;25.88;183800.0
1988-01-06;25.75;27.38;25.25;27.38;489400.0
1988-01-07;26.75;27.0;26.25;26.88;322800.0
1988-01-08;26.5;26.62;24.5;24.5;326400.0
1988-01-11;24.5;24.75;23.75;24.12;228600.0
1988-01-12;23.88;23.88;22.5;23.25;469000.0
1988-01-13;23.5;24.25;23.25;24.25;129000.0
1988-01-14;24.12;25.5;24.12;24.75;134400.0
1988-01-15;24.75;25.5;24.75;25.25;223800.0
1988-01-18;25.38;25.38;24.75;25.25;190000.0
1988-01-19;25.0;25.25;24.88;24.88;146200.0
1988-01-20;24.62;24.62;23.5;24.5;269400.0
1988-01-21;24.25;24.5;23.75;24.25;590600.0
1988-01-22;24.5;25.5;24.5;25.5;280200.0
1988-01-25;25.5;25.5;25.0;25.0;123000.0
1988-01-26;25.0;25.38;25.0;25.25;221600.0
1988-01-27;25.25;25.25;24.88;25.0;36000.0
1988-01-28;25.0;25.38;25.0;25.25;109400.0
1988-01-29;25.38;25.5;25.0;25.5;84600.0
1988-02-01;25.38;25.88;25.25;25.88;64000.0
1988-02-02;26.12;26.12;24.75;25.0;271400.0
1988-02-03;25.25;25.25;24.75;24.88;280800.0
1988-02-04;25.0;25.12;24.5;24.75;138800.0
1988-02-05;24.62;25.5;24.62;25.5;98600.0
1988-02-08;25.62;26.0;25.5;25.62;13400.0
1988-02-09;26.0;26.0;25.38;25.75;100000.0
1988-02-10;25.88;26.88;25.88;26.88;169600.0
1988-02-11;26.75;28.0;26.5;27.38;293200.0
1988-02-12;27.38;27.5;27.25;27.25;22800.0
1988-02-16;26.75;28.25;26.5;28.25;194200.0
1988-02-17;28.12;28.75;27.75;27.75;271800.0
1988-02-18;27.75;29.0;27.25;28.0;355400.0
1988-02-19;28.0;28.25;27.75;28.0;49600.0
1988-02-22;27.75;28.0;27.5;28.0;205200.0
1988-02-23;28.0;28.0;27.25;27.38;57200.0
1988-02-24;27.62;28.0;26.88;27.62;87600.0
1988-02-25;27.88;28.25;27.5;27.62;155800.0
1988-02-26;27.75;27.75;27.5;27.5;368600.0
1988-02-29;27.75;28.0;27.5;27.88;314800.0
1988-03-01;27.75;28.0;27.75;28.0;83800.0
1988-03-02;28.0;28.5;28.0;28.38;101800.0
1988-03-03;28.25;28.75;28.25;28.75;517000.0
1988-03-04;28.5;28.5;28.12;28.25;21600.0
1988-03-07;28.12;29.0;28.12;29.0;235600.0
1988-03-08;29.0;30.0;29.0;29.25;389800.0
1988-03-09;29.5;29.5;29.25;29.5;170000.0
1988-03-10;29.62;30.38;29.5;29.5;492800.0
1988-03-11;29.62;29.62;28.88;29.38;254600.0
1988-03-14;29.5;29.5;29.25;29.25;153800.0
1988-03-15;29.25;29.25;29.0;29.12;56600.0
1988-03-16;28.88;29.38;28.5;29.25;191000.0
1988-03-17;29.25;29.75;29.0;29.25;252600.0
