date;open;high;low;close;volume
2013-10-30;13.0;14.1152;12.65;13.25;4594400.0
2013-10-31;12.83;13.0;12.01;12.39;339200.0
2013-11-01;12.39;12.5;12.15;12.3;137700.0
2013-11-04;12.4;12.8;12.1;12.8;38800.0
2013-11-05;12.35;12.77;12.0;12.4;143600.0
2013-11-06;12.16;12.39;11.5;11.5;157700.0
2013-11-07;11.5;11.6;10.88;11.15;345600.0
2013-11-08;11.1;11.55;11.0;11.41;26400.0
2013-11-11;11.3;12.15;11.3;12.1;30800.0
2013-11-12;12.1;12.47;11.9;12.43;21200.0
2013-11-13;12.3;12.73;12.0;12.24;28800.0
2013-11-14;12.1426;12.33;12.0101;12.15;45900.0
2013-11-15;12.08;12.65;11.81;12.15;72500.0
2013-11-18;12.75;13.3922;12.1335;12.65;65000.0
2013-11-19;12.5;12.9799;12.02;12.47;7500.0
2013-11-20;12.2;13.22;12.16;12.89;72800.0
2013-11-21;12.63;13.15;12.5001;12.76;43800.0
2013-11-22;13.2;13.22;11.501;12.16;55600.0
2013-11-25;11.85;11.85;11.0;11.36;80600.0
2013-11-26;13.1;13.1;11.99;12.86;182400.0
2013-11-27;12.36;13.15;12.0332;13.01;96700.0
2013-11-29;13.26;13.3;12.41;12.98;30100.0
2013-12-02;13.2;13.2;12.49;12.99;26000.0
2013-12-03;12.48;13.14;12.48;12.96;18600.0
2013-12-04;13.1;13.15;12.835;12.89;13600.0
2013-12-05;12.8419;13.64;12.8419;13.49;17700.0
2013-12-06;13.51;13.93;13.34;13.71;31700.0
2013-12-09;13.74;14.15;13.6;13.93;40300.0
2013-12-10;14.65;14.65;13.72;13.89;29900.0
2013-12-11;13.75;14.01;13.48;13.51;21400.0
2013-12-12;13.76;13.94;12.56;13.07;31500.0
2013-12-13;13.07;13.37;12.51;13.16;51200.0
2013-12-16;13.24;14.0;13.2;14.0;61100.0
2013-12-17;14.11;14.8;13.27;14.04;161600.0
2013-12-18;14.3;14.78;13.56;13.92;70900.0
2013-12-19;13.72;14.39;13.6;13.98;61200.0
2013-12-20;13.61;14.0;13.61;14.0;658000.0
2013-12-23;14.0;14.35;13.7125;13.99;106600.0
2013-12-24;14.0;14.0;13.8;13.92;8200.0
2013-12-26;13.97;14.38;13.805;14.28;100200.0
2013-12-27;14.34;14.41;13.96;14.15;303900.0
2013-12-30;14.13;14.35;13.36;13.78;24600.0
2013-12-31;13.84;14.66;13.61;14.5;90200.0
2014-01-02;14.36;14.75;14.36;14.67;15600.0
2014-01-03;14.77;16.36;14.45;15.31;146700.0
2014-01-06;15.09;15.8;14.45;15.79;88300.0
2014-01-07;15.92;15.92;15.3;15.74;75300.0
2014-01-08;15.8;15.85;15.51;15.62;53800.0
2014-01-09;15.72;15.9;14.911;15.9;18200.0
2014-01-10;15.94;16.3;15.06;16.175;113700.0
2014-01-13;15.33;16.4;15.33;15.88;39700.0
2014-01-14;16.0;16.54;15.56;16.02;21000.0
2014-01-15;16.13;16.23;15.82;16.05;50400.0
2014-01-16;16.05;16.28;15.26;16.06;73900.0
2014-01-17;16.09;16.31;16.07;16.3;7200.0
2014-01-21;16.48;16.68;15.97;16.23;17700.0
2014-01-22;16.32;16.68;15.73;15.94;33000.0
2014-01-23;15.94;15.94;15.288;15.85;37400.0
2014-01-24;15.69;16.03;15.01;15.92;34800.0
2014-01-27;15.76;15.79;14.9;15.16;32100.0
2014-01-28;14.81;15.45;14.76;14.97;25400.0
2014-01-29;15.01;15.22;14.58;14.87;10000.0
2014-01-30;15.05;15.15;14.765;14.82;16500.0
2014-01-31;14.63;15.24;14.34;14.65;59900.0
2014-02-03;14.68;15.1;13.76;14.67;52200.0
2014-02-04;15.05;15.2;14.39;14.46;39900.0
2014-02-05;14.47;15.06;14.23;14.93;19200.0
2014-02-06;15.17;15.45;14.71;15.01;23100.0
2014-02-07;15.1;15.43;14.88;15.04;62300.0
2014-02-10;15.19;15.62;14.8;14.96;13600.0
2014-02-11;14.91;15.4;14.59;14.92;78300.0
2014-02-12;14.97;15.43;14.6;14.85;65900.0
2014-02-13;14.78;14.99;14.23;14.95;19000.0
2014-02-14;14.98;15.164;14.32;14.52;27100.0
2014-02-18;15.17;15.26;14.4;14.84;32800.0
2014-02-19;14.95;15.1;14.31;14.34;22000.0
2014-02-20;14.4126;14.76;14.2;14.76;8000.0
2014-02-21;14.82;15.3;14.59;14.96;30700.0
2014-02-24;15.12;15.295;14.47;14.76;30300.0
2014-02-25;14.82;15.04;14.07;14.4;26700.0
2014-02-26;14.46;15.482;14.4;14.88;18500.0
2014-02-27;14.88;15.75;14.88;15.69;21500.0
2014-02-28;15.72;16.47;15.72;16.01;39500.0
2014-03-03;15.79;16.99;15.79;16.56;40300.0
2014-03-04;16.85;18.315;16.85;17.795;89700.0
2014-03-05;17.93;17.93;16.99;17.55;19700.0
2014-03-06;17.66;17.99;17.31;17.52;20800.0
2014-03-07;17.68;18.15;17.2601;17.63;43600.0
2014-03-10;17.68;18.25;17.5;18.24;50000.0
2014-03-11;18.06;18.5;17.98;18.01;19500.0
2014-03-12;18.0;18.04;17.1;17.305;74200.0
2014-03-13;17.3;17.44;16.47;17.02;27200.0
2014-03-14;16.96;17.045;16.53;16.95;11800.0
2014-03-17;17.2834;17.2834;16.51;16.64;12100.0
2014-03-18;17.1399;17.14;16.66;17.02;21200.0
2014-03-19;19.0;19.0;17.56;18.44;130800.0
2014-03-20;18.52;18.64;18.114;18.38;30200.0
2014-03-21;18.54;18.54;17.79;17.87;33200.0
2014-03-24;17.83;18.4999;17.51;17.54;31400.0
2014-03-25;17.75;17.87;15.77;16.41;93800.0
2014-03-26;16.58;16.87;16.3701;16.6;33300.0
2014-03-27;16.9889;17.13;15.86;16.36;21500.0
2014-03-28;16.3;17.34;15.75;16.32;19400.0
2014-03-31;16.25;17.24;16.25;17.13;36800.0
2014-04-01;17.23;18.01;16.844;17.06;54700.0
2014-04-02;17.09;17.25;16.78;16.89;17600.0
2014-04-03;17.0;17.0;16.53;16.66;22100.0
2014-04-04;16.72;17.0;15.64;15.79;25900.0
2014-04-07;15.96;15.96;14.01;14.1;95500.0
2014-04-08;14.05;16.67;14.05;14.59;29600.0
2014-04-09;14.74;14.77;14.01;14.19;112700.0
2014-04-10;14.23;14.23;13.02;13.38;43100.0
2014-04-11;13.36;13.6;13.2;13.49;28400.0
2014-04-14;13.66;14.1099;13.07;13.26;32200.0
2014-04-15;13.51;13.8;12.77;13.05;97900.0
2014-04-16;13.11;13.83;12.8901;13.36;75200.0
2014-04-17;13.36;13.46;13.25;13.3;33000.0
2014-04-21;13.43;13.43;13.0;13.06;105200.0
2014-04-22;13.04;14.59;12.97;14.47;38000.0
2014-04-23;14.51;14.67;13.58;13.59;12800.0
