date;open;high;low;close;volume
2006-10-03;15.0;15.45;14.25;14.99;5068500.0
2006-10-04;14.99;15.45;14.9;15.4;880642.9
2006-10-05;15.5;15.5;15.25;15.4;409500.0
2006-10-06;15.11;15.32;15.11;15.29;335785.72
2006-10-09;15.35;15.45;15.14;15.25;440071.44
2006-10-10;15.17;15.25;15.0;15.07;109571.43
2006-10-11;14.85;15.12;14.85;15.01;265357.16
2006-10-12;15.01;15.05;14.81;15.0;163071.42
2006-10-13;15.0;15.0;14.69;14.9;68142.86
2006-10-16;14.9;15.0;14.9;14.99;85000.0
2006-10-17;14.84;15.14;14.84;14.95;71000.0
2006-10-18;15.0;15.08;14.9;15.05;34571.43
2006-10-19;14.9;15.1;14.9;15.07;32785.715
2006-10-20;15.15;15.34;15.05;15.34;108071.43
2006-10-23;15.34;15.38;15.1;15.38;78785.71
2006-10-24;15.39;15.45;15.3;15.45;111785.71
2006-10-25;15.45;15.48;15.4;15.48;74071.43
2006-10-26;15.49;15.5;15.2;15.49;24857.143
2006-10-27;15.5;15.5;15.3;15.4;31785.715
2006-10-30;15.4;15.42;15.3;15.42;11857.143
2006-10-31;15.42;15.42;15.26;15.4;49142.855
2006-11-01;15.35;15.42;15.25;15.4;17285.715
2006-11-02;15.35;15.43;15.26;15.39;47785.715
2006-11-03;15.39;15.5;15.35;15.45;47571.43
2006-11-06;15.26;15.45;15.26;15.45;9357.143
2006-11-07;15.45;15.49;15.4;15.45;58285.715
2006-11-08;15.45;15.5;15.3;15.41;6071.4287
2006-11-09;15.41;15.48;15.41;15.43;73357.14
2006-11-10;15.3;15.73;15.3;15.73;73642.86
2006-11-13;15.75;16.46;15.72;16.15;100000.0
2006-11-14;16.29;16.9;16.29;16.75;83071.43
2006-11-15;16.89;17.23;16.71;16.71;8785.714
2006-11-16;16.97;17.0;16.65;16.88;22857.143
2006-11-17;16.86;17.0;16.78;16.92;61642.855
2006-11-20;17.0;17.0;16.77;16.91;11500.0
2006-11-21;16.99;16.99;16.71;16.88;5285.7144
2006-11-22;17.0;17.25;16.99;17.2;41785.715
2006-11-24;17.21;17.35;17.21;17.25;4071.4285
2006-11-27;17.25;17.25;16.41;16.96;33142.855
2006-11-28;16.89;16.97;16.06;16.82;45571.43
2006-11-29;16.8;16.8;16.43;16.54;17285.715
2006-11-30;16.6;17.3;16.6;17.0;121142.86
2006-12-01;16.91;17.18;16.81;17.07;27285.715
2006-12-04;16.96;17.0;16.96;16.96;32571.428
2006-12-05;17.0;17.06;16.92;17.01;43857.145
2006-12-06;16.84;16.93;16.8;16.9;22571.428
2006-12-07;16.81;16.95;16.8;16.91;24285.715
2006-12-08;16.98;17.15;16.98;17.12;11857.143
2006-12-11;17.1;17.2;17.01;17.2;79785.71
2006-12-12;17.18;17.18;16.92;17.11;61357.145
