date;open;high;low;close;volume
1983-11-21;70.62;70.75;65.62;70.25;627575.0
1983-11-22;70.25;71.25;69.87;70.0;333338.0
1983-11-23;70.0;70.25;69.25;69.62;143988.0
1983-11-25;69.62;69.75;68.87;68.87;221475.0
1983-11-28;68.5;68.5;66.75;67.0;295975.0
1983-11-29;66.87;66.87;66.12;66.25;203800.0
1983-11-30;66.25;66.75;66.0;66.25;302888.0
1983-12-01;66.25;66.75;65.87;66.25;781125.0
1983-12-02;66.25;67.0;65.75;66.12;220475.0
1983-12-05;66.12;66.25;65.37;65.37;135538.0
1983-12-06;65.37;65.87;65.37;65.62;272063.0
1983-12-07;65.62;66.75;65.62;66.25;606988.0
1983-12-08;66.25;66.62;66.12;66.37;920000.0
1983-12-09;66.37;66.87;66.37;66.5;652800.0
1983-12-12;66.5;66.87;66.37;66.62;354363.0
1983-12-13;66.75;67.87;66.75;67.62;836613.0
1983-12-14;67.62;68.12;67.62;67.87;315100.0
1983-12-15;67.87;67.87;67.37;67.37;290425.0
1983-12-16;67.37;68.0;67.37;67.75;306550.0
1983-12-19;67.75;67.75;67.5;67.5;201350.0
1983-12-20;67.5;67.75;67.0;67.12;242175.0
1983-12-21;67.12;67.37;66.5;66.75;241950.0
1983-12-22;66.62;66.62;65.87;65.87;608888.0
1983-12-23;65.87;66.0;65.37;65.5;292313.0
1983-12-27;65.37;65.37;65.0;65.12;375600.0
1983-12-28;65.12;65.75;65.12;65.62;572513.0
1983-12-29;65.62;65.87;65.5;65.5;374825.0
1983-12-30;65.5;65.62;65.12;65.25;218138.0
1984-01-03;65.62;67.25;65.62;67.12;246713.0
1984-01-04;67.5;70.37;67.5;69.12;454100.0
1984-01-05;69.62;71.12;69.62;69.75;469888.0
1984-01-06;69.5;71.5;69.5;71.0;563513.0
1984-01-09;71.0;71.0;70.12;70.12;223925.0
1984-01-10;70.12;70.37;69.87;70.37;196463.0
1984-01-11;70.37;70.75;70.37;70.5;157313.0
1984-01-12;70.5;71.0;70.37;71.0;177663.0
1984-01-13;71.37;72.25;71.37;71.5;393500.0
1984-01-16;72.0;73.5;72.0;72.12;306113.0
1984-01-17;72.37;73.0;72.37;72.75;268963.0
1984-01-18;72.75;73.0;72.37;73.0;366150.0
1984-01-19;73.0;73.37;72.62;73.0;226588.0
1984-01-20;73.0;73.5;73.0;73.5;261063.0
1984-01-23;73.5;73.5;73.12;73.12;144975.0
1984-01-24;73.12;73.25;73.0;73.0;146638.0
1984-01-25;73.0;73.5;73.0;73.12;213913.0
1984-01-26;73.12;73.37;72.75;72.75;367700.0
1984-01-27;72.75;74.75;72.75;73.75;375825.0
1984-01-30;73.75;74.0;73.12;73.5;297325.0
1984-01-31;73.5;73.87;73.37;73.87;202363.0
1984-02-01;73.87;74.5;73.37;74.12;219475.0
1984-02-02;74.12;75.0;73.75;74.75;397613.0
1984-02-03;74.75;75.12;73.62;73.62;329000.0
1984-02-06;73.5;73.5;72.87;73.25;187013.0
1984-02-07;73.12;73.12;72.25;73.12;270750.0
1984-02-08;72.87;72.87;70.5;70.5;487250.0
1984-02-09;70.5;71.25;70.5;70.62;254400.0
1984-02-10;70.37;70.37;69.62;70.25;245388.0
1984-02-13;70.25;70.5;69.62;70.12;323675.0
1984-02-14;70.12;71.25;70.12;71.0;288538.0
1984-02-15;71.0;71.5;70.37;71.5;428975.0
1984-02-16;72.0;72.5;72.0;72.5;274750.0
1984-02-17;72.5;73.25;72.12;72.5;261513.0
1984-02-21;72.5;72.5;71.62;71.75;112738.0
1984-02-22;71.75;71.87;70.87;70.87;287738.0
1984-02-23;70.87;71.0;69.25;70.12;498925.0
1984-02-24;70.12;71.25;69.87;71.12;360363.0
1984-02-27;71.0;71.0;70.5;70.87;174113.0
1984-02-28;70.87;71.12;69.25;69.62;230500.0
1984-02-29;69.62;71.0;69.62;70.75;192338.0
1984-03-01;70.75;72.0;70.62;71.87;210813.0
1984-03-02;72.37;73.5;72.37;72.87;327338.0
1984-03-05;72.75;72.75;71.5;71.5;125513.0
1984-03-06;71.5;72.0;71.12;71.62;207250.0
1984-03-07;71.62;71.87;71.25;71.37;144650.0
1984-03-08;71.37;71.62;70.87;71.25;191463.0
1984-03-09;71.25;71.25;70.12;70.62;198913.0
1984-03-12;70.62;71.25;70.25;70.62;252500.0
1984-03-13;70.62;71.25;70.37;70.75;425625.0
1984-03-14;70.87;71.12;70.5;70.87;352913.0
1984-03-15;70.87;71.87;70.75;70.75;258950.0
1984-03-16;71.25;72.0;71.25;71.62;335125.0
1984-03-19;71.5;71.5;70.75;70.87;294875.0
1984-03-20;70.87;71.37;70.5;71.37;242488.0
1984-03-21;71.37;71.37;70.87;71.12;227938.0
1984-03-22;71.12;71.25;70.75;71.0;484463.0
1984-03-23;71.0;71.37;70.5;71.37;300100.0
1984-03-26;70.12;70.5;70.0;70.12;309875.0
1984-03-27;70.12;70.5;70.0;70.12;309875.0
1984-03-28;70.25;70.62;70.25;70.25;138200.0
1984-03-29;70.37;70.75;70.37;70.5;153775.0
1984-03-30;70.5;71.0;70.37;70.37;213700.0
1984-04-02;70.37;70.37;69.0;69.5;434525.0
1984-04-03;69.5;69.87;69.25;69.5;395950.0
1984-04-04;69.5;70.0;68.75;68.75;229700.0
1984-04-05;68.75;69.12;67.75;67.87;157650.0
1984-04-06;68.0;68.5;68.0;68.25;174438.0
1984-04-09;68.25;68.62;67.25;67.25;152525.0
1984-04-10;67.25;67.87;67.25;67.25;238600.0
1984-04-11;67.25;67.37;66.0;66.62;225825.0
1984-04-12;66.62;66.75;66.0;66.62;282300.0
1984-04-13;66.62;67.25;66.0;66.37;418513.0
1984-04-16;66.37;66.62;66.12;66.25;172438.0
1984-04-17;66.37;67.5;66.37;67.12;806038.0
1984-04-18;67.12;67.87;66.87;66.87;496575.0
1984-04-19;66.87;66.87;66.5;66.75;284638.0
1984-04-23;66.75;67.25;66.5;67.0;188575.0
1984-04-24;67.0;68.5;66.75;68.0;233713.0
1984-04-25;68.0;69.0;67.87;68.87;165113.0
1984-04-26;68.87;70.0;68.87;70.0;290638.0
1984-04-27;70.0;70.5;69.12;69.25;177438.0
1984-04-30;69.25;69.37;68.12;68.87;168550.0
1984-05-01;69.0;70.25;69.0;69.87;194788.0
1984-05-02;69.87;70.87;69.87;70.62;180000.0
1984-05-03;70.62;71.25;70.62;70.87;243275.0
1984-05-04;70.87;71.12;70.0;70.12;147863.0
1984-05-07;70.12;70.12;69.5;69.75;113963.0
1984-05-08;69.75;70.62;69.62;70.5;294763.0
1984-05-09;70.62;71.75;70.62;71.0;190688.0
1984-05-10;71.0;71.25;70.5;71.12;144325.0
1984-05-11;71.0;71.0;70.37;70.75;114950.0
1984-05-14;70.62;70.62;70.12;70.25;108388.0
1984-05-15;70.25;70.5;69.87;70.12;174113.0
1984-05-16;70.12;70.12;69.75;69.75;149988.0
1984-05-17;69.75;69.75;68.75;69.0;163325.0
1984-05-18;69.0;69.25;68.5;68.75;260850.0
1984-05-21;68.75;69.5;68.75;68.75;119188.0
1984-05-22;68.75;68.75;67.87;68.5;137300.0
1984-05-23;68.5;68.75;68.12;68.62;112050.0
1984-05-24;68.62;69.87;68.12;69.75;136313.0
1984-05-25;69.75;70.0;68.62;68.62;143313.0
1984-05-29;68.62;68.87;67.12;67.75;150763.0
1984-05-30;67.75;68.75;66.87;67.87;305438.0
1984-05-31;67.87;68.5;67.75;68.25;90713.0
1984-06-01;68.25;69.5;67.87;69.5;134188.0
1984-06-04;69.5;70.25;69.25;69.37;120288.0
1984-06-05;69.37;69.62;68.87;68.87;400613.0
1984-06-06;68.87;70.12;68.87;69.87;174550.0
1984-06-07;69.87;70.0;69.5;69.62;125075.0
1984-06-08;69.62;70.87;69.62;70.62;187013.0
1984-06-11;70.62;70.75;69.87;70.0;102288.0
1984-06-12;70.0;70.12;69.75;70.0;74150.0
1984-06-13;70.0;70.5;70.0;70.25;110613.0
1984-06-14;70.25;70.37;69.75;69.75;126188.0
1984-06-15;69.75;70.25;69.75;70.0;240163.0
1984-06-18;70.0;71.62;69.75;70.75;343463.0
1984-06-19;70.62;70.62;70.0;70.5;390938.0
1984-06-20;70.5;70.62;70.0;70.37;179350.0
1984-06-21;70.37;70.62;70.0;70.0;99388.0
1984-06-22;70.0;70.12;69.5;70.0;715400.0
1984-06-25;69.12;69.12;68.62;68.87;273975.0
1984-06-26;68.87;69.5;68.87;68.87;112175.0
1984-06-27;68.87;69.12;67.75;67.75;237050.0
1984-06-28;67.75;68.5;67.75;68.0;190688.0
1984-06-29;68.0;68.5;67.62;67.87;155538.0
1984-07-02;67.87;68.25;67.75;68.25;118075.0
1984-07-03;68.25;69.37;68.12;69.12;90713.0
1984-07-05;69.12;69.37;68.75;68.75;49463.0
1984-07-06;68.87;69.62;68.87;69.5;86150.0
1984-07-09;69.75;71.0;69.75;70.62;179888.0
1984-07-10;70.62;72.25;70.62;71.62;142313.0
1984-07-11;71.62;72.0;71.0;71.12;68038.0
1984-07-12;71.12;72.5;71.12;72.0;102600.0
1984-07-13;72.0;72.75;72.0;72.0;130300.0
1984-07-16;71.75;71.75;70.87;71.62;118625.0
1984-07-17;71.62;72.75;71.25;72.25;116063.0
1984-07-18;72.25;72.62;71.12;71.25;172438.0
1984-07-19;71.25;71.5;71.25;71.25;87713.0
1984-07-20;71.25;71.5;70.87;71.37;186225.0
1984-07-23;71.37;73.0;71.0;72.75;239500.0
1984-07-24;72.75;73.5;72.5;72.5;204925.0
1984-07-25;72.5;74.75;72.5;72.5;312100.0
1984-07-26;74.25;74.25;73.5;73.5;139975.0
1984-07-27;73.5;73.5;73.0;73.0;105063.0
1984-07-30;73.0;73.25;72.37;72.62;101288.0
1984-07-31;72.62;73.0;72.12;72.75;122625.0
1984-08-01;72.75;73.25;72.62;72.75;140525.0
1984-08-02;73.25;75.75;73.25;75.25;425075.0
1984-08-03;75.25;76.25;74.75;75.0;252713.0
1984-08-06;75.0;75.25;73.75;73.75;102825.0
1984-08-07;73.75;73.75;72.87;73.12;239050.0
1984-08-08;73.12;73.37;72.62;72.62;91825.0
1984-08-09;72.62;73.37;72.5;73.37;242488.0
1984-08-10;73.37;74.75;72.62;72.75;221363.0
1984-08-13;72.75;73.75;72.62;73.62;147650.0
1984-08-14;73.62;73.62;73.12;73.25;70363.0
1984-08-15;73.25;73.37;72.62;72.75;124963.0
1984-08-16;72.87;73.62;72.87;73.37;110838.0
1984-08-17;73.37;73.62;73.25;73.5;49913.0
1984-08-20;73.5;73.87;73.25;73.87;128963.0
1984-08-21;74.12;75.12;74.12;74.87;196913.0
1984-08-22;74.87;75.25;74.12;74.25;121513.0
1984-08-23;74.25;74.87;74.0;74.62;84263.0
1984-08-24;74.62;75.12;74.62;74.87;64913.0
1984-08-27;74.75;74.75;74.25;74.5;79813.0
1984-08-28;74.5;75.0;74.37;74.87;107513.0
1984-08-29;74.87;75.5;74.62;74.75;192013.0
1984-08-30;74.87;75.5;74.87;75.12;221475.0
1984-08-31;75.12;75.5;75.12;75.25;35238.0
1984-09-04;75.25;75.5;75.12;75.12;84050.0
1984-09-05;75.12;75.12;74.37;74.62;95400.0
1984-09-06;74.62;75.12;74.62;74.75;77488.0
1984-09-07;75.0;75.75;75.0;75.12;106613.0
1984-09-10;75.12;75.5;74.75;75.0;128963.0
1984-09-11;75.12;75.87;75.12;75.12;123075.0
1984-09-12;75.12;75.62;75.12;75.5;180888.0
1984-09-13;75.5;76.5;75.5;76.37;560400.0
1984-09-14;76.37;76.75;76.0;76.25;200013.0
1984-09-17;76.25;76.62;76.12;76.25;460100.0
1984-09-18;76.25;76.62;76.0;76.12;162438.0
1984-09-19;76.12;76.75;76.0;76.37;581300.0
1984-09-20;76.37;77.62;76.37;77.37;589313.0
1984-09-21;77.37;78.0;77.12;77.5;593550.0
1984-09-24;76.5;76.5;75.62;75.75;213700.0
1984-09-25;75.75;76.0;74.87;75.75;169663.0
1984-09-26;75.75;76.25;75.5;76.0;98838.0
1984-09-27;76.25;77.5;76.25;77.12;186888.0
1984-09-28;77.12;77.5;76.75;76.75;185675.0
1984-10-01;76.75;76.75;76.12;76.25;62250.0
1984-10-02;76.25;76.37;76.0;76.0;61138.0
1984-10-03;76.0;76.5;75.75;75.75;195125.0
1984-10-04;75.87;75.87;75.37;75.62;107288.0
1984-10-05;75.62;75.87;75.37;75.5;59350.0
1984-10-08;75.37;75.37;75.0;75.25;33450.0
1984-10-09;75.25;75.5;75.0;75.12;86613.0
1984-10-10;75.12;75.87;75.0;75.75;135650.0
1984-10-11;75.87;76.25;75.87;76.0;133963.0
1984-10-12;76.0;76.37;75.87;76.0;104175.0
1984-10-15;76.0;76.75;75.75;76.75;301763.0
1984-10-16;76.75;77.5;76.75;77.37;62575.0
1984-10-17;77.37;77.75;77.12;77.25;258625.0
1984-10-18;77.62;78.75;77.62;78.75;117838.0
1984-10-19;79.0;80.25;79.0;79.12;142200.0
1984-10-22;79.12;79.25;78.25;78.75;91825.0
1984-10-23;78.75;78.87;77.0;77.12;151213.0
1984-10-24;76.87;76.87;76.0;76.75;212363.0
1984-10-25;76.87;77.5;76.87;77.12;298538.0
1984-10-26;77.12;77.5;76.87;77.25;148425.0
1984-10-29;77.25;77.75;77.12;77.25;137525.0
1984-10-30;77.25;77.75;77.12;77.62;177775.0
1984-10-31;77.62;78.0;77.5;77.75;46350.0
1984-11-01;77.75;78.0;77.5;77.75;109963.0
1984-11-02;77.75;78.12;77.75;77.75;39125.0
1984-11-05;77.75;78.25;77.62;78.12;226263.0
1984-11-06;78.12;78.5;77.87;78.5;113175.0
1984-11-07;78.5;78.62;77.75;78.25;129863.0
1984-11-08;78.12;78.12;77.37;77.75;195913.0
1984-11-09;77.75;78.12;77.25;77.37;83488.0
1984-11-12;77.37;77.5;77.12;77.12;38900.0
1984-11-13;77.12;77.25;76.87;77.0;43575.0
1984-11-14;76.87;76.87;76.37;76.62;151088.0
1984-11-15;76.62;77.25;76.37;77.12;180663.0
1984-11-16;77.12;77.87;77.0;77.25;139200.0
1984-11-19;77.25;77.5;76.87;77.25;64363.0
1984-11-20;77.25;77.5;77.0;77.37;98625.0
1984-11-21;77.37;78.5;77.25;78.5;105175.0
1984-11-23;78.62;79.87;78.62;79.75;93613.0
1984-11-26;79.75;79.75;78.5;78.62;94825.0
1984-11-27;78.75;79.75;78.75;79.37;104838.0
1984-11-28;79.37;79.5;78.75;78.75;245713.0
1984-11-29;78.75;79.25;78.5;78.5;86488.0
1984-11-30;78.5;78.87;78.25;78.62;98388.0
1984-12-03;78.62;78.62;78.12;78.5;95063.0
1984-12-04;78.5;78.87;78.25;78.75;46350.0
1984-12-05;78.75;78.87;78.37;78.37;70588.0
1984-12-06;78.37;78.62;76.87;78.37;236275.0
1984-12-07;78.5;79.0;78.5;78.75;71263.0
1984-12-10;78.75;78.87;78.37;78.75;34675.0
1984-12-11;78.75;78.87;78.5;78.75;38900.0
1984-12-12;78.75;78.75;78.37;78.62;585200.0
1984-12-13;78.62;79.12;78.5;78.62;213250.0
1984-12-14;78.62;79.37;78.62;79.25;153213.0
1984-12-17;79.25;79.87;79.12;79.87;1094138.0
1984-12-18;79.75;83.0;79.75;83.0;231275.0
