date;open;high;low;close;volume
1992-03-17;19.37;19.63;19.37;19.63;2200.0
1992-03-18;19.37;19.63;19.37;19.63;2400.0
1992-03-19;19.5;19.5;19.25;19.5;6500.0
1992-03-20;19.75;19.75;19.0;19.37;13300.0
1992-03-23;19.25;19.25;19.25;19.25;400.0
1992-03-24;19.12;19.37;19.12;19.37;1700.0
1992-03-25;19.12;19.37;19.0;19.37;10000.0
1992-03-26;19.25;19.25;19.0;19.25;5800.0
1992-03-27;19.0;19.25;19.0;19.25;3900.0
1992-03-30;19.25;19.25;19.0;19.25;4400.0
1992-03-31;19.25;19.25;19.0;19.25;6000.0
1992-04-01;19.0;19.0;18.88;18.88;27400.0
1992-04-02;18.88;19.12;18.88;19.12;8800.0
1992-04-03;18.88;19.0;18.88;19.0;3300.0
1992-04-06;18.88;19.12;18.88;19.12;14200.0
1992-04-07;19.0;19.25;18.88;18.88;1900.0
1992-04-08;18.75;19.0;18.5;18.75;10500.0
1992-04-09;19.0;19.25;19.0;19.25;1000.0
1992-04-10;19.37;19.75;19.12;19.75;9800.0
1992-04-13;19.75;20.0;19.63;19.75;7300.0
1992-04-14;19.5;21.0;19.5;20.5;23700.0
1992-04-15;20.38;20.62;20.0;20.62;42500.0
1992-04-16;20.62;20.62;20.12;20.5;8900.0
1992-04-20;20.62;20.62;20.25;20.5;4700.0
1992-04-21;20.5;20.5;20.0;20.25;10300.0
1992-04-22;20.25;20.25;20.25;20.25;1400.0
1992-04-23;20.12;20.25;20.0;20.25;5300.0
1992-04-24;20.38;20.38;20.12;20.12;3100.0
1992-04-27;19.75;20.62;19.63;20.62;9300.0
1992-04-28;20.75;21.13;20.75;21.13;7800.0
1992-04-29;20.87;20.87;20.62;20.75;3000.0
1992-04-30;20.87;21.0;20.5;20.87;10000.0
1992-05-01;21.13;21.13;20.75;20.87;2100.0
1992-05-04;21.0;21.13;21.0;21.13;7200.0
1992-05-05;21.13;21.13;20.75;20.75;1900.0
1992-05-06;20.62;20.87;20.62;20.87;500.0
1992-05-07;21.0;21.5;21.0;21.5;14500.0
1992-05-08;21.38;21.75;21.38;21.62;10800.0
1992-05-11;21.62;21.62;21.25;21.25;2400.0
1992-05-12;21.0;21.5;21.0;21.5;28300.0
1992-05-13;21.62;21.88;21.5;21.88;16900.0
1992-05-14;21.88;22.0;21.88;22.0;1200.0
1992-05-15;21.62;21.75;21.25;21.25;3300.0
1992-05-18;21.5;21.88;21.5;21.62;3000.0
1992-05-19;21.62;21.88;21.5;21.75;2900.0
1992-05-20;21.5;21.62;21.5;21.5;1700.0
1992-05-21;21.38;21.38;21.13;21.13;15400.0
1992-05-22;21.0;21.13;21.0;21.13;200.0
1992-05-26;20.87;20.87;20.62;20.87;1500.0
1992-05-27;20.62;21.13;20.5;21.13;1600.0
1992-05-28;20.87;20.87;20.5;20.75;1700.0
1992-05-29;20.75;21.13;20.5;21.0;5200.0
1992-06-01;21.0;21.25;20.75;21.0;5700.0
1992-06-02;21.25;21.25;21.25;21.25;200.0
1992-06-03;21.25;21.5;21.0;21.25;5200.0
1992-06-04;21.0;21.0;20.62;21.0;2200.0
1992-06-05;21.25;21.38;21.25;21.25;2200.0
1992-06-08;21.0;21.75;20.87;21.75;2800.0
1992-06-09;22.0;22.0;21.25;21.5;23900.0
1992-06-10;21.25;21.38;21.25;21.38;400.0
1992-06-11;21.13;21.13;21.13;21.13;200.0
1992-06-12;21.38;21.38;21.25;21.25;1000.0
1992-06-15;21.0;21.0;20.75;21.0;1300.0
1992-06-16;21.0;21.0;21.0;21.0;0.0
1992-06-17;21.13;21.13;20.5;20.5;11000.0
1992-06-18;20.75;20.75;20.75;20.75;300.0
1992-06-19;20.87;20.87;20.62;20.62;2800.0
1992-06-22;20.5;21.0;20.5;21.0;1500.0
1992-06-23;20.75;21.62;20.75;21.62;9900.0
1992-06-24;21.5;21.5;21.5;21.5;200.0
1992-06-25;21.75;21.75;21.0;21.38;8500.0
1992-06-26;21.25;21.38;21.0;21.38;1800.0
1992-06-29;21.5;21.75;21.5;21.62;3500.0
1992-06-30;21.75;22.25;21.75;22.25;14900.0
1992-07-01;22.0;22.0;22.0;22.0;200.0
1992-07-02;22.0;22.0;21.62;21.88;2600.0
1992-07-06;21.88;21.88;21.0;21.5;8500.0
1992-07-07;21.5;21.5;21.5;21.5;200.0
1992-07-08;21.5;21.5;21.38;21.38;2300.0
1992-07-09;21.38;21.75;21.38;21.75;5000.0
1992-07-10;21.88;22.12;21.75;21.75;10700.0
1992-07-13;21.75;21.88;21.75;21.88;1000.0
1992-07-14;22.0;22.12;21.75;22.12;5000.0
1992-07-15;22.0;22.25;21.75;22.0;12700.0
1992-07-16;22.0;22.25;22.0;22.0;3500.0
1992-07-17;22.0;22.0;21.62;22.0;9700.0
1992-07-20;21.75;22.0;21.62;22.0;900.0
1992-07-21;22.0;22.0;22.0;22.0;2100.0
1992-07-22;22.12;22.25;21.75;21.75;3800.0
1992-07-23;21.75;21.75;21.38;21.75;1900.0
1992-07-24;21.75;21.75;21.75;21.75;0.0
1992-07-27;21.5;21.75;21.5;21.62;8600.0
1992-07-28;21.13;21.13;20.5;20.62;18800.0
1992-07-29;20.62;20.62;20.62;20.62;2200.0
1992-07-30;20.38;20.5;20.38;20.5;7600.0
1992-07-31;20.38;20.5;20.38;20.38;9000.0
1992-08-03;20.5;20.5;20.5;20.5;1200.0
1992-08-04;20.5;20.5;20.38;20.38;9100.0
1992-08-05;20.38;20.62;20.38;20.5;11000.0
1992-08-06;20.25;20.25;20.12;20.12;5500.0
1992-08-07;19.88;20.0;19.75;20.0;3500.0
1992-08-10;19.88;19.88;19.75;19.88;3000.0
1992-08-11;19.88;19.88;19.63;19.88;17300.0
1992-08-12;19.63;19.88;19.63;19.88;4200.0
1992-08-13;19.63;19.63;19.63;19.63;1600.0
1992-08-14;19.63;19.63;19.63;19.63;0.0
1992-08-17;19.75;19.75;19.25;19.5;7800.0
1992-08-18;19.5;19.5;18.62;19.12;5200.0
1992-08-19;19.25;19.5;19.25;19.5;5700.0
1992-08-20;19.63;19.63;19.63;19.63;2200.0
1992-08-21;19.75;19.88;19.75;19.88;1000.0
1992-08-24;19.63;19.63;19.12;19.37;1800.0
1992-08-25;18.88;19.0;18.88;18.88;5300.0
1992-08-26;18.81;19.0;18.38;18.5;8500.0
1992-08-27;18.5;18.5;18.25;18.25;7700.0
1992-08-28;18.5;18.5;18.5;18.5;12700.0
1992-08-31;18.62;18.62;18.5;18.5;500.0
1992-09-01;18.5;19.0;18.5;19.0;22800.0
1992-09-02;19.0;19.12;19.0;19.12;9800.0
1992-09-03;19.0;19.25;19.0;19.25;3800.0
1992-09-04;19.25;19.25;19.25;19.25;500.0
1992-09-08;19.25;19.25;19.0;19.0;7900.0
1992-09-09;19.0;19.25;19.0;19.25;1200.0
1992-09-10;19.0;19.37;19.0;19.25;9300.0
1992-09-11;19.37;19.37;19.37;19.37;2100.0
1992-09-14;19.63;19.63;19.63;19.63;300.0
1992-09-15;19.63;19.88;19.63;19.88;7800.0
1992-09-16;19.88;19.88;19.88;19.88;200.0
1992-09-17;19.63;19.63;19.5;19.5;600.0
1992-09-18;19.75;19.88;19.63;19.88;11700.0
1992-09-21;19.88;19.88;19.63;19.63;400.0
1992-09-22;19.75;19.75;19.63;19.63;1800.0
1992-09-23;19.75;19.88;19.63;19.63;9900.0
1992-09-24;19.75;19.75;19.75;19.75;900.0
1992-09-25;20.0;20.0;20.0;20.0;7500.0
1992-09-28;20.0;20.0;20.0;20.0;0.0
1992-09-29;20.0;20.87;20.0;20.75;8400.0
1992-09-30;20.87;21.75;20.87;21.75;10600.0
1992-10-01;21.38;21.5;21.38;21.38;700.0
1992-10-02;21.13;21.38;21.0;21.38;1200.0
1992-10-05;21.13;21.25;20.62;21.13;3900.0
1992-10-06;21.25;21.25;20.5;20.5;67500.0
1992-10-07;20.5;20.5;20.12;20.12;7100.0
1992-10-08;19.88;20.12;19.5;19.75;10800.0
1992-10-09;19.75;19.75;19.63;19.63;1100.0
1992-10-12;19.63;19.63;19.5;19.5;1000.0
1992-10-13;20.0;20.0;20.0;20.0;40100.0
1992-10-14;19.88;20.0;19.75;20.0;6400.0
1992-10-15;19.75;20.25;19.75;20.25;2500.0
1992-10-16;20.0;20.12;19.88;20.12;600.0
1992-10-19;20.12;20.12;20.12;20.12;0.0
1992-10-20;20.25;20.38;20.25;20.25;1200.0
1992-10-21;20.25;20.5;20.25;20.5;300.0
1992-10-22;20.62;20.62;20.62;20.62;200.0
1992-10-23;20.87;20.87;20.62;20.62;9300.0
1992-10-26;20.5;20.75;20.5;20.75;1500.0
1992-10-27;20.75;20.75;20.75;20.75;0.0
1992-10-28;20.62;20.62;20.62;20.62;1100.0
1992-10-29;20.62;20.62;20.5;20.5;1500.0
1992-10-30;20.5;20.5;20.25;20.25;3500.0
1992-11-02;20.0;20.0;20.0;20.0;400.0
1992-11-03;20.0;20.38;20.0;20.25;22700.0
1992-11-04;20.0;20.12;20.0;20.12;6000.0
1992-11-05;20.12;20.5;20.12;20.5;2800.0
1992-11-06;20.38;20.38;20.25;20.25;800.0
1992-11-09;20.25;20.25;20.25;20.25;400.0
1992-11-10;20.25;20.87;20.25;20.87;2200.0
1992-11-11;20.75;20.87;20.62;20.87;2200.0
1992-11-12;20.87;21.25;20.87;21.25;4200.0
1992-11-13;21.38;21.88;21.38;21.88;4000.0
1992-11-16;21.75;21.88;21.62;21.62;5300.0
1992-11-17;21.88;21.88;21.5;21.5;1100.0
1992-11-18;21.75;21.75;21.75;21.75;1000.0
1992-11-19;21.62;21.75;21.5;21.62;6600.0
1992-11-20;21.75;21.88;21.75;21.88;5400.0
1992-11-23;21.62;21.88;21.5;21.88;3400.0
1992-11-24;21.62;21.62;21.62;21.62;2100.0
1992-11-25;21.5;21.5;21.5;21.5;2000.0
1992-11-27;21.5;21.5;21.5;21.5;0.0
1992-11-30;21.75;21.88;21.75;21.88;6000.0
1992-12-01;21.75;21.88;21.75;21.88;1100.0
1992-12-02;21.88;22.0;21.88;22.0;3500.0
1992-12-03;21.88;22.12;21.88;22.12;4000.0
1992-12-04;21.88;21.88;21.88;21.88;100.0
1992-12-07;22.0;22.37;22.0;22.25;3500.0
1992-12-08;22.0;23.0;22.0;22.75;11600.0
1992-12-09;22.63;23.5;22.63;23.5;3900.0
1992-12-10;23.25;23.5;23.25;23.25;6300.0
1992-12-11;23.38;23.38;23.25;23.38;1400.0
1992-12-14;23.12;23.38;23.0;23.0;2300.0
1992-12-15;23.12;23.12;23.0;23.0;3000.0
1992-12-16;23.0;23.0;23.0;23.0;2300.0
1992-12-17;23.25;23.38;23.25;23.38;2600.0
1992-12-18;23.5;23.5;23.5;23.5;400.0
1992-12-21;23.62;23.62;23.5;23.5;17000.0
1992-12-22;23.62;23.62;23.38;23.38;2500.0
1992-12-23;23.5;23.75;23.5;23.62;2200.0
1992-12-24;23.62;23.62;23.62;23.62;0.0
1992-12-28;23.5;23.5;23.25;23.25;1400.0
1992-12-29;23.25;23.25;23.25;23.25;0.0
1992-12-30;23.38;23.38;23.12;23.38;800.0
1992-12-31;23.38;23.62;23.38;23.62;1300.0
1993-01-04;23.38;23.38;23.25;23.38;3200.0
1993-01-05;23.38;23.5;23.38;23.38;4600.0
1993-01-06;23.5;23.87;23.5;23.5;15000.0
1993-01-07;23.5;23.62;23.5;23.62;10400.0
1993-01-08;23.75;23.75;23.5;23.75;2900.0
1993-01-11;23.5;23.5;23.38;23.38;44500.0
1993-01-12;23.12;23.12;23.12;23.12;2000.0
1993-01-13;23.0;23.0;22.75;22.75;2500.0
1993-01-14;22.5;22.63;22.37;22.63;3600.0
1993-01-15;22.5;22.5;22.37;22.37;3400.0
1993-01-18;22.25;22.25;22.12;22.25;2600.0
1993-01-19;22.12;23.38;22.12;23.38;16300.0
1993-01-20;23.38;23.5;23.25;23.25;5000.0
1993-01-21;23.12;23.12;23.0;23.0;2600.0
1993-01-22;23.0;24.88;23.0;24.88;14100.0
1993-01-25;24.62;24.62;24.25;24.5;15100.0
1993-01-26;24.5;24.75;24.25;24.5;10600.0
1993-01-27;24.25;24.5;24.25;24.5;5200.0
1993-01-28;24.5;24.88;24.5;24.88;11800.0
1993-01-29;24.75;25.25;24.75;24.88;8600.0
1993-02-01;25.0;25.0;25.0;25.0;7400.0
1993-02-02;24.88;25.63;24.88;25.63;5300.0
1993-02-03;25.5;26.38;25.37;26.38;9700.0
1993-02-04;26.0;26.0;25.88;25.88;13100.0
1993-02-05;25.75;25.88;25.63;25.88;14900.0
1993-02-08;26.0;26.0;25.5;25.5;1400.0
1993-02-09;25.25;25.5;25.25;25.5;2500.0
1993-02-10;25.63;25.63;25.37;25.5;3500.0
1993-02-11;25.75;25.75;25.75;25.75;4300.0
1993-02-12;25.75;25.75;25.5;25.63;6700.0
1993-02-16;25.37;25.63;25.25;25.37;2100.0
1993-02-17;25.5;25.5;25.0;25.25;39200.0
1993-02-18;25.0;25.0;25.0;25.0;1100.0
1993-02-19;25.25;25.25;25.25;25.25;500.0
1993-02-22;25.0;25.0;24.88;24.88;2000.0
1993-02-23;24.88;25.12;24.88;25.12;1300.0
1993-02-24;25.25;25.25;25.0;25.0;700.0
1993-02-25;24.75;24.88;24.62;24.88;5800.0
1993-02-26;24.62;24.88;24.5;24.88;2100.0
1993-03-01;25.12;25.25;25.0;25.25;400.0
1993-03-02;25.25;25.5;25.25;25.37;3800.0
1993-03-03;25.25;25.5;25.0;25.5;8200.0
1993-03-04;25.37;25.88;25.37;25.63;11600.0
1993-03-05;25.5;25.5;25.5;25.5;2600.0
1993-03-08;25.63;26.0;25.37;26.0;4400.0
1993-03-09;26.0;26.62;26.0;26.62;6700.0
1993-03-10;26.75;28.88;26.75;28.88;18000.0
1993-03-11;28.75;28.75;27.88;28.0;14400.0
1993-03-12;27.5;27.88;27.5;27.88;14000.0
1993-03-15;27.5;27.88;27.5;27.88;8800.0
