date;open;high;low;close;volume
1990-03-26;27.75;27.75;27.25;27.25;26800.0
1990-03-27;27.25;27.75;27.25;27.25;78067.0
1990-03-28;27.5;27.75;27.25;27.75;59133.0
1990-03-29;27.75;27.75;27.5;27.75;38333.0
1990-03-30;27.75;28.0;27.25;28.0;21600.0
1990-04-02;28.0;28.5;27.25;28.25;40867.0
1990-04-03;28.75;29.75;28.25;28.75;128800.0
1990-04-04;29.0;29.0;27.75;28.5;49000.0
1990-04-05;28.5;28.75;28.0;28.0;91733.0
1990-04-06;28.25;28.25;26.25;27.0;296000.0
1990-04-09;26.5;27.25;26.5;27.25;75667.0
1990-04-10;27.25;27.25;26.75;27.25;37600.0
1990-04-11;26.75;27.25;26.75;27.25;32800.0
1990-04-12;27.25;27.25;26.75;27.25;28467.0
1990-04-16;26.75;27.5;26.75;27.0;81667.0
1990-04-17;27.0;27.5;26.62;27.0;39133.0
1990-04-18;27.0;27.75;27.0;27.75;51933.0
1990-04-19;27.75;27.75;27.25;27.25;118533.0
1990-04-20;27.75;27.75;27.0;27.75;26000.0
1990-04-23;27.0;27.5;26.75;26.87;109800.0
1990-04-24;27.25;27.25;26.75;26.75;77733.0
1990-04-25;27.0;27.25;26.75;26.75;329333.0
1990-04-26;26.62;27.0;26.0;27.0;18867.0
1990-04-27;27.0;27.0;26.25;27.0;14267.0
1990-04-30;26.5;27.0;26.5;26.5;20400.0
1990-05-01;27.0;27.25;26.75;27.25;17733.0
1990-05-02;27.25;27.25;26.75;27.12;16467.0
1990-05-03;27.25;27.25;26.75;27.25;23667.0
1990-05-04;27.75;28.0;27.5;27.5;119400.0
1990-05-07;27.5;28.0;27.5;27.5;32400.0
1990-05-08;27.5;27.87;27.25;27.75;260200.0
1990-05-09;27.5;27.75;27.25;27.5;382067.0
1990-05-10;27.5;27.75;27.5;27.75;24600.0
1990-05-11;28.0;28.25;27.5;28.25;68400.0
1990-05-14;28.5;29.25;28.0;29.25;70000.0
1990-05-15;28.25;29.0;28.25;28.75;442400.0
1990-05-16;29.0;29.0;28.5;28.75;88867.0
1990-05-17;29.0;29.0;28.0;28.0;90733.0
1990-05-18;28.5;28.5;27.25;28.0;50000.0
1990-05-21;27.25;28.0;27.25;27.5;55733.0
1990-05-22;28.0;29.0;28.0;29.0;128800.0
1990-05-23;28.75;29.5;28.5;29.0;172733.0
1990-05-24;29.25;29.25;28.75;28.75;23667.0
1990-05-25;29.0;29.0;28.5;28.5;13000.0
1990-05-29;28.5;29.25;28.5;29.25;105133.0
1990-05-30;29.25;29.75;28.75;29.5;210267.0
1990-05-31;29.5;29.5;29.0;29.37;70467.0
1990-06-01;29.25;29.75;29.25;29.62;296467.0
1990-06-04;29.75;30.0;29.5;30.0;65467.0
1990-06-05;30.0;30.25;29.5;30.25;503133.0
1990-06-06;30.25;30.25;29.5;29.75;110000.0
1990-06-07;30.25;30.25;29.5;30.0;118867.0
1990-06-08;29.5;30.0;29.25;29.75;40867.0
1990-06-11;29.0;29.5;29.0;29.5;17800.0
1990-06-12;29.0;29.5;29.0;29.5;96200.0
1990-06-13;29.75;29.75;29.0;29.5;96133.0
1990-06-14;29.25;29.25;28.5;29.25;35667.0
1990-06-15;29.25;29.25;28.75;29.0;74333.0
1990-06-18;29.25;29.25;28.75;28.75;15933.0
1990-06-19;29.0;29.0;28.5;29.0;64333.0
1990-06-20;29.0;29.0;28.0;28.75;314733.0
1990-06-21;28.75;28.75;28.0;28.0;14333.0
1990-06-22;28.75;28.75;28.0;28.5;107467.0
1990-06-25;28.5;28.5;28.0;28.5;28800.0
1990-06-26;28.0;28.5;28.0;28.5;30600.0
1990-06-27;28.0;28.5;28.0;28.37;31733.0
1990-06-28;28.0;28.5;28.0;28.5;12467.0
1990-06-29;28.5;28.5;28.0;28.5;135933.0
1990-07-02;28.25;28.25;27.75;28.0;107400.0
1990-07-03;28.25;28.25;27.75;28.25;354467.0
1990-07-05;27.75;28.25;27.75;28.25;16467.0
1990-07-06;28.12;28.25;27.75;28.0;12867.0
1990-07-09;27.87;28.25;27.75;28.25;238067.0
1990-07-10;28.25;28.5;28.0;28.5;19533.0
1990-07-11;28.5;28.5;27.75;28.5;124533.0
1990-07-12;28.5;28.5;27.75;28.5;26000.0
1990-07-13;28.5;29.0;28.0;29.0;339267.0
1990-07-16;29.0;29.0;28.25;29.0;13667.0
1990-07-17;28.25;29.5;28.25;29.5;124800.0
1990-07-18;29.0;29.5;29.0;29.5;196800.0
1990-07-19;29.5;29.5;29.0;29.37;14133.0
1990-07-20;29.5;29.5;29.0;29.5;56200.0
1990-07-23;28.75;29.25;27.75;28.25;203333.0
1990-07-24;28.25;28.25;27.75;28.25;190467.0
1990-07-25;27.75;28.75;27.75;28.75;56933.0
1990-07-26;28.5;29.25;28.5;29.25;54133.0
1990-07-27;28.5;29.25;28.0;28.37;50867.0
1990-07-30;28.5;28.5;27.75;27.75;96133.0
1990-07-31;28.25;28.5;27.75;28.12;41667.0
1990-08-01;27.75;28.5;27.75;28.0;548600.0
1990-08-02;28.5;28.5;27.75;28.12;67533.0
1990-08-03;28.12;28.25;27.75;28.12;136400.0
1990-08-06;28.0;28.0;26.25;27.0;134933.0
1990-08-07;27.0;27.25;26.25;27.0;88467.0
1990-08-08;27.25;27.25;26.5;26.87;88000.0
1990-08-09;27.0;27.0;26.5;26.5;73467.0
1990-08-10;26.5;27.0;25.75;26.25;90067.0
1990-08-13;26.25;26.25;25.75;26.25;126467.0
1990-08-14;26.25;26.75;25.75;26.75;17800.0
1990-08-15;26.25;27.25;26.25;26.5;210333.0
1990-08-16;27.0;27.0;26.25;26.62;10867.0
1990-08-17;26.25;26.75;24.75;25.5;526533.0
1990-08-20;25.5;25.5;24.75;25.0;183667.0
1990-08-21;25.25;25.25;24.0;24.5;70000.0
1990-08-22;24.0;24.0;21.75;22.5;763400.0
1990-08-23;22.25;22.25;20.5;21.0;500733.0
1990-08-24;21.5;21.75;21.25;21.25;254733.0
1990-08-27;22.25;23.5;21.5;23.25;305867.0
1990-08-28;23.5;23.75;22.75;23.25;146400.0
1990-08-29;23.25;23.75;22.75;23.75;121533.0
1990-08-30;23.75;24.25;23.25;24.25;57467.0
1990-08-31;23.5;24.5;23.5;23.87;31400.0
1990-09-04;23.75;24.25;23.75;24.25;53733.0
1990-09-05;24.25;25.0;23.75;24.5;36667.0
1990-09-06;25.0;25.0;24.0;24.75;90200.0
1990-09-07;24.5;24.5;23.75;23.75;13667.0
1990-09-10;24.25;24.25;23.5;23.5;115533.0
1990-09-11;24.25;24.25;23.25;23.5;168200.0
1990-09-12;23.75;23.75;22.75;23.12;33267.0
1990-09-13;23.25;23.25;22.75;22.75;70400.0
1990-09-14;22.75;23.0;22.5;23.0;76600.0
1990-09-17;22.5;23.0;22.5;22.75;35667.0
1990-09-18;23.0;23.0;22.75;22.75;15000.0
1990-09-19;23.0;23.5;23.0;23.0;34533.0
1990-09-20;23.5;23.5;22.25;23.0;94000.0
1990-09-21;23.0;23.0;22.25;22.87;65467.0
1990-09-24;22.25;23.0;22.25;23.0;233333.0
1990-09-25;22.75;23.0;22.0;22.75;73400.0
1990-09-26;22.25;23.0;21.5;22.0;86533.0
1990-09-27;21.75;22.25;20.5;21.0;144667.0
1990-09-28;20.75;23.0;20.5;22.75;165600.0
1990-10-01;23.25;25.0;22.75;24.5;161667.0
1990-10-02;24.5;25.25;24.5;24.62;84933.0
1990-10-03;24.75;25.0;24.0;24.75;56600.0
1990-10-04;24.75;25.37;24.25;24.5;37467.0
1990-10-05;24.5;26.0;24.5;25.75;50133.0
1990-10-08;25.5;26.5;25.5;26.12;37067.0
1990-10-09;25.25;25.5;24.0;24.0;94667.0
1990-10-10;23.75;24.25;23.5;23.75;192200.0
1990-10-11;23.75;24.0;22.75;22.75;182400.0
1990-10-12;23.5;23.75;22.75;23.75;85867.0
1990-10-15;24.0;24.75;23.5;24.25;170333.0
1990-10-16;24.75;24.75;23.37;23.87;66133.0
1990-10-17;23.0;23.0;21.5;21.75;103467.0
1990-10-18;23.0;23.0;22.5;23.0;106067.0
1990-10-19;23.5;23.75;22.5;22.75;199600.0
1990-10-22;22.75;23.75;22.5;23.5;48867.0
1990-10-23;23.75;24.25;23.0;24.0;78333.0
1990-10-24;24.25;24.25;23.5;24.0;84667.0
1990-10-25;24.0;24.0;23.0;23.25;100200.0
1990-10-26;22.75;22.75;21.0;21.0;135933.0
1990-10-29;21.5;21.75;20.75;21.5;160067.0
1990-10-30;20.75;21.5;20.75;21.0;311667.0
1990-10-31;21.0;21.5;21.0;21.5;151267.0
1990-11-01;21.0;21.5;21.0;21.0;62733.0
1990-11-02;21.5;22.75;21.12;22.5;648333.0
1990-11-05;23.25;24.0;23.0;23.87;224733.0
1990-11-06;23.25;23.25;22.5;22.75;39000.0
1990-11-07;23.25;23.25;22.75;22.75;65467.0
1990-11-08;22.5;23.0;22.25;22.75;125067.0
1990-11-09;22.75;23.5;22.75;23.0;74600.0
1990-11-12;23.0;24.25;23.0;23.75;194733.0
1990-11-13;23.75;24.25;23.25;23.5;173600.0
1990-11-14;23.75;24.0;23.0;23.5;230800.0
1990-11-15;24.0;24.0;23.0;23.5;101400.0
1990-11-16;23.5;23.75;23.25;23.25;66933.0
1990-11-19;24.0;24.0;23.25;23.87;22000.0
