date;open;high;low;close;volume
1995-08-18;26.0;26.12;26.0;26.12;3200.0
1995-08-21;26.0;26.0;26.0;26.0;30.0
1995-08-22;26.0;26.0;26.0;26.0;652.0
1995-08-23;26.0;26.0;26.0;26.0;800.0
1995-08-24;26.0;26.0;26.0;26.0;267.0
1995-08-25;26.0;26.0;26.0;26.0;0.0
1995-08-28;26.0;27.0;26.0;26.75;7200.0
1995-08-29;26.75;26.75;26.75;26.75;444.0
1995-08-30;26.0;26.0;26.0;26.0;2667.0
1995-08-31;26.0;26.0;26.0;26.0;0.0
1995-09-01;26.0;26.0;26.0;26.0;0.0
1995-09-05;26.0;26.0;26.0;26.0;0.0
1995-09-06;27.25;27.25;27.25;27.25;30.0
1995-09-07;27.25;27.25;27.25;27.25;0.0
1995-09-08;26.0;27.25;26.0;27.25;178.0
1995-09-11;26.0;26.0;26.0;26.0;1452.0
1995-09-12;26.0;26.0;26.0;26.0;0.0
1995-09-13;26.0;26.0;26.0;26.0;0.0
1995-09-14;26.25;26.75;26.25;26.75;7200.0
1995-09-15;27.0;27.0;26.0;26.5;978.0
1995-09-18;26.5;26.5;26.0;26.0;1778.0
1995-09-19;26.0;26.0;26.0;26.0;0.0
1995-09-20;26.0;26.0;26.0;26.0;0.0
1995-09-21;26.0;26.0;26.0;26.0;178.0
1995-09-22;26.0;26.0;26.0;26.0;0.0
1995-09-25;26.0;26.0;26.0;26.0;0.0
1995-09-26;26.0;27.0;26.0;27.0;563.0
1995-09-27;26.0;26.0;26.0;26.0;178.0
1995-09-28;26.0;26.0;26.0;26.0;2963.0
1995-09-29;27.0;27.0;26.0;27.0;4830.0
1995-10-02;26.75;27.0;26.0;26.0;2430.0
1995-10-03;26.12;26.75;26.12;26.75;1985.0
1995-10-04;27.0;27.0;27.0;27.0;30.0
1995-10-05;26.75;26.75;26.75;26.75;978.0
1995-10-06;26.5;26.5;26.5;26.5;3230.0
1995-10-09;26.5;26.5;26.5;26.5;0.0
1995-10-10;27.75;27.75;27.75;27.75;444.0
1995-10-11;27.75;27.75;27.75;27.75;0.0
1995-10-12;27.75;27.75;27.75;27.75;0.0
1995-10-13;26.25;26.25;26.25;26.25;444.0
1995-10-16;27.25;27.25;27.25;27.25;385.0
1995-10-17;28.25;28.25;27.88;27.88;7230.0
1995-10-18;28.25;28.25;26.5;26.5;385.0
1995-10-19;28.25;28.25;27.37;28.25;2044.0
1995-10-20;27.0;27.0;27.0;27.0;5600.0
1995-10-23;26.5;27.0;26.5;27.0;2430.0
1995-10-24;27.0;27.0;27.0;27.0;0.0
1995-10-25;28.25;28.25;28.25;28.25;30.0
1995-10-26;28.25;28.25;28.25;28.25;444.0
1995-10-27;26.25;28.25;26.25;28.25;385.0
1995-10-30;28.25;28.25;28.25;28.25;0.0
1995-10-31;28.25;28.25;28.25;28.25;0.0
1995-11-01;28.25;28.25;28.25;28.25;0.0
1995-11-02;26.75;28.25;26.75;28.25;1185.0
1995-11-03;26.75;28.25;26.75;28.25;563.0
1995-11-06;27.75;27.75;27.25;27.25;1185.0
1995-11-07;27.25;27.25;27.25;27.25;0.0
1995-11-08;27.25;27.25;27.25;27.25;0.0
1995-11-09;27.25;27.25;27.25;27.25;0.0
1995-11-10;27.25;27.25;27.25;27.25;0.0
1995-11-13;27.25;27.25;27.25;27.25;0.0
1995-11-14;28.25;28.25;28.25;28.25;30.0
1995-11-15;28.25;28.25;28.25;28.25;30.0
1995-11-16;26.5;26.5;26.5;26.5;178.0
1995-11-17;26.5;26.5;26.5;26.5;0.0
1995-11-20;26.5;26.5;26.5;26.5;0.0
1995-11-21;28.25;28.25;27.5;27.5;267.0
1995-11-22;27.5;27.5;27.5;27.5;0.0
1995-11-24;27.5;27.5;27.5;27.5;0.0
1995-11-27;27.5;27.5;27.5;27.5;0.0
1995-11-28;27.5;27.5;27.5;27.5;0.0
1995-11-29;26.5;27.75;26.5;27.75;1600.0
1995-11-30;26.75;28.25;26.75;26.75;1185.0
1995-12-01;26.75;28.25;26.75;28.25;444.0
1995-12-04;28.25;28.25;28.25;28.25;978.0
1995-12-05;26.75;26.75;26.75;26.75;30.0
1995-12-06;27.75;27.75;27.75;27.75;978.0
1995-12-07;27.13;27.88;27.13;27.88;178.0
1995-12-08;27.88;27.88;27.88;27.88;0.0
1995-12-11;26.75;28.0;26.75;28.0;830.0
1995-12-12;28.0;28.0;28.0;28.0;0.0
1995-12-13;27.5;28.25;27.0;27.0;1185.0
1995-12-14;27.0;27.0;27.0;27.0;0.0
1995-12-15;27.0;27.0;27.0;27.0;0.0
1995-12-18;27.0;27.0;27.0;27.0;0.0
1995-12-19;27.25;28.0;27.25;28.0;3644.0
1995-12-20;28.5;28.5;28.5;28.5;30.0
1995-12-21;28.5;28.5;28.5;28.5;0.0
1995-12-22;28.5;28.5;28.5;28.5;0.0
1995-12-26;28.5;28.5;28.5;28.5;0.0
1995-12-27;30.0;30.0;28.5;30.0;1244.0
1995-12-28;30.0;30.0;30.0;30.0;0.0
1995-12-29;30.0;30.0;29.0;29.0;1067.0
1996-01-02;30.0;30.5;29.25;30.5;1244.0
1996-01-03;29.25;29.25;29.25;29.25;30.0
1996-01-04;30.5;30.5;30.5;30.5;30.0
