date;open;high;low;close;volume
1998-03-05;26.5;27.0;26.0;26.44;9197867.0
1998-03-06;27.0;27.63;26.44;27.12;1709667.0
1998-03-09;26.37;26.62;26.19;26.25;810267.0
1998-03-10;26.25;26.62;26.19;26.25;467667.0
1998-03-11;26.25;26.37;25.62;26.0;719067.0
1998-03-12;26.06;26.5;25.5;26.5;973667.0
1998-03-13;26.5;26.56;25.81;25.81;444400.0
1998-03-16;25.88;26.5;25.69;26.37;577400.0
1998-03-17;26.88;26.94;26.25;26.62;561467.0
1998-03-18;26.5;26.88;26.13;26.13;235800.0
1998-03-19;26.13;26.94;25.81;26.94;255067.0
1998-03-20;26.94;26.94;26.0;26.13;312400.0
1998-03-23;26.0;26.19;25.38;25.38;470067.0
1998-03-24;25.56;26.13;25.5;26.0;636000.0
1998-03-25;26.06;26.19;25.44;25.44;459467.0
1998-03-26;25.5;25.62;25.38;25.44;219400.0
1998-03-27;25.81;26.0;25.62;26.0;193000.0
1998-03-30;25.88;26.0;25.25;25.5;461667.0
1998-03-31;25.38;26.19;25.38;26.0;224600.0
1998-04-01;26.0;26.0;25.0;25.06;261467.0
1998-04-02;25.19;25.62;25.12;25.5;461000.0
1998-04-03;25.5;28.0;25.5;26.44;458867.0
1998-04-06;26.44;26.75;25.38;26.06;566467.0
1998-04-07;26.06;26.06;25.31;25.69;295267.0
1998-04-08;25.69;25.94;25.44;25.44;213067.0
1998-04-09;25.38;26.0;25.25;25.81;194867.0
1998-04-13;25.69;26.06;25.5;25.62;212267.0
1998-04-14;25.62;26.19;25.62;25.94;312667.0
1998-04-15;25.88;26.25;25.44;26.25;158867.0
1998-04-16;26.31;26.56;26.19;26.25;117800.0
1998-04-17;25.88;26.5;25.81;26.5;223800.0
1998-04-20;26.88;27.5;25.31;25.62;354600.0
1998-04-21;25.56;25.62;25.0;25.0;666467.0
1998-04-22;25.25;26.0;24.19;25.69;532200.0
1998-04-23;25.56;25.62;25.0;25.0;187000.0
1998-04-24;24.94;24.94;24.25;24.56;388000.0
1998-04-27;24.31;24.31;22.38;22.94;468067.0
1998-04-28;23.37;25.0;23.37;25.0;250800.0
1998-04-29;24.87;24.94;24.25;24.63;212067.0
1998-04-30;24.63;24.81;24.38;24.75;115200.0
1998-05-01;24.75;24.81;24.38;24.44;228400.0
1998-05-04;24.19;24.19;23.13;23.56;205867.0
