date;open;high;low;close;volume
1990-03-26;21.87;21.87;21.75;21.87;30044.0
1990-03-27;21.75;21.87;21.5;21.87;312667.0
1990-03-28;21.87;21.87;21.62;21.87;9467.0
1990-03-29;21.62;21.87;21.5;21.62;399067.0
1990-03-30;21.5;21.75;21.5;21.62;29378.0
1990-04-02;21.62;21.62;21.38;21.5;201067.0
1990-04-03;21.38;21.75;21.38;21.62;47867.0
1990-04-04;21.5;22.0;21.5;21.75;59200.0
1990-04-05;22.0;22.25;21.75;21.87;73644.0
1990-04-06;21.75;22.0;21.5;21.5;26044.0
1990-04-09;21.5;21.75;21.5;21.75;91200.0
1990-04-10;21.5;21.75;21.5;21.62;16044.0
1990-04-11;21.5;21.75;21.5;21.62;38578.0
1990-04-12;21.5;21.75;21.5;21.5;16000.0
1990-04-16;21.5;21.87;21.5;21.5;94178.0
1990-04-17;21.5;21.62;21.5;21.62;58000.0
1990-04-18;21.5;21.75;21.5;21.5;32044.0
1990-04-19;21.5;21.5;21.13;21.13;41644.0
1990-04-20;21.0;21.13;20.88;21.13;79067.0
1990-04-23;20.88;21.0;20.88;20.88;60578.0
1990-04-24;20.88;21.25;20.88;20.88;29067.0
1990-04-25;20.88;21.25;20.88;21.0;58400.0
1990-04-26;21.0;21.25;21.0;21.0;15244.0
1990-04-27;21.25;21.25;20.88;21.25;83200.0
1990-04-30;21.0;21.25;21.0;21.25;14178.0
1990-05-01;21.0;21.25;21.0;21.25;64667.0
1990-05-02;21.13;21.38;21.13;21.38;76267.0
1990-05-03;21.13;21.38;21.13;21.13;4667.0
1990-05-04;21.38;21.38;21.13;21.25;44978.0
1990-05-07;21.13;21.38;21.13;21.13;14400.0
1990-05-08;21.13;21.5;21.13;21.5;68000.0
1990-05-09;21.38;21.5;21.25;21.5;117200.0
1990-05-10;21.38;21.75;21.38;21.38;19378.0
1990-05-11;21.75;22.75;21.5;22.75;80400.0
1990-05-14;22.63;24.25;22.63;23.75;179600.0
1990-05-15;23.62;24.0;23.5;24.0;231067.0
1990-05-16;23.87;24.25;23.87;24.25;222800.0
1990-05-17;24.12;24.25;23.62;23.62;240844.0
1990-05-18;23.87;23.87;23.5;23.5;42667.0
1990-05-21;23.5;23.87;23.5;23.75;289778.0
1990-05-22;23.75;23.75;23.5;23.5;38044.0
1990-05-23;23.5;23.75;23.5;23.75;90667.0
1990-05-24;23.5;23.75;23.5;23.5;30844.0
1990-05-25;23.5;24.0;23.5;23.75;80667.0
1990-05-29;24.12;24.12;23.75;24.0;18000.0
1990-05-30;24.12;24.12;23.87;24.12;41378.0
1990-05-31;24.0;24.25;24.0;24.25;71644.0
1990-06-01;24.0;24.25;24.0;24.25;35600.0
1990-06-04;24.0;24.25;24.0;24.25;26578.0
1990-06-05;24.0;24.25;24.0;24.25;96000.0
1990-06-06;24.0;24.37;24.0;24.37;36267.0
1990-06-07;24.25;24.5;23.38;24.5;59644.0
1990-06-08;24.5;24.5;24.25;24.5;99200.0
1990-06-11;24.37;24.5;24.37;24.37;157600.0
1990-06-12;24.37;24.88;24.25;24.88;86178.0
1990-06-13;24.62;24.88;24.62;24.88;165467.0
1990-06-14;24.88;24.88;24.37;24.5;133644.0
1990-06-15;24.5;24.5;24.0;24.25;153867.0
1990-06-18;24.25;24.37;24.25;24.25;51778.0
1990-06-19;24.37;24.37;24.12;24.12;59244.0
1990-06-20;24.12;24.37;24.12;24.37;34400.0
1990-06-21;24.25;24.37;24.25;24.37;10978.0
1990-06-22;24.37;24.5;24.25;24.5;104444.0
1990-06-25;24.37;24.5;24.37;24.37;107600.0
1990-06-26;24.5;24.62;24.37;24.37;56178.0
1990-06-27;24.62;24.62;24.37;24.37;49867.0
1990-06-28;24.37;24.62;24.37;24.37;8667.0
1990-06-29;24.37;24.62;24.37;24.5;55600.0
1990-07-02;24.37;24.62;24.25;24.5;78400.0
1990-07-03;24.25;24.37;24.0;24.0;49778.0
1990-07-05;24.0;24.12;23.87;23.87;62000.0
1990-07-06;24.0;24.0;23.75;23.75;38400.0
1990-07-09;23.62;24.0;23.62;23.75;39467.0
1990-07-10;23.87;24.12;23.75;24.0;74444.0
1990-07-11;24.12;24.12;23.75;24.0;25467.0
1990-07-12;23.75;24.0;23.75;24.0;24844.0
1990-07-13;23.87;24.12;23.87;24.0;91600.0
1990-07-16;24.0;24.12;23.87;23.87;76978.0
1990-07-17;23.87;24.12;23.87;23.87;72667.0
1990-07-18;23.87;23.87;23.5;23.87;54178.0
1990-07-19;23.75;23.75;23.62;23.62;70578.0
1990-07-20;23.62;23.75;23.5;23.62;68978.0
1990-07-23;23.62;23.75;23.25;23.38;144000.0
1990-07-24;23.62;23.62;22.75;22.88;52000.0
1990-07-25;22.63;23.0;22.63;23.0;45378.0
1990-07-26;22.75;23.0;22.75;22.75;32978.0
1990-07-27;22.75;22.88;22.5;22.63;263600.0
1990-07-30;22.75;22.88;22.63;22.88;30400.0
1990-07-31;22.75;23.38;22.75;23.13;58178.0
1990-08-01;23.13;24.0;23.13;24.0;115067.0
1990-08-02;23.5;23.87;23.38;23.38;133378.0
1990-08-03;23.38;23.38;22.75;23.0;86267.0
1990-08-06;22.88;22.88;22.5;22.75;46844.0
1990-08-07;22.88;23.13;22.5;22.75;85867.0
1990-08-08;22.5;22.75;22.0;22.0;290800.0
1990-08-09;22.0;22.12;21.5;21.75;54267.0
1990-08-10;21.62;21.75;21.0;21.13;184578.0
1990-08-13;21.0;21.13;21.0;21.0;8800.0
1990-08-14;21.13;21.5;21.13;21.38;29778.0
1990-08-15;21.5;21.62;21.38;21.5;63067.0
1990-08-16;21.5;21.62;21.25;21.38;32444.0
1990-08-17;21.25;21.38;21.13;21.38;26844.0
1990-08-20;21.38;21.87;21.25;21.87;36267.0
1990-08-21;21.62;21.75;21.25;21.25;48267.0
1990-08-22;21.75;21.75;20.63;20.75;138000.0
1990-08-23;20.5;20.75;20.25;20.25;121867.0
1990-08-24;20.38;20.63;20.25;20.25;44178.0
1990-08-27;20.38;20.63;20.25;20.25;44000.0
1990-08-28;20.12;20.25;20.0;20.0;10044.0
1990-08-29;20.25;20.5;20.0;20.38;20044.0
1990-08-30;20.5;20.63;20.25;20.25;80978.0
1990-08-31;20.25;21.0;20.25;20.88;86400.0
1990-09-04;20.75;21.0;20.75;21.0;38844.0
1990-09-05;21.13;21.25;21.0;21.0;20400.0
1990-09-06;21.0;21.25;21.0;21.13;19378.0
1990-09-07;21.25;21.38;21.0;21.13;46578.0
1990-09-10;21.38;21.5;21.25;21.25;76667.0
1990-09-11;21.25;21.5;21.25;21.25;5067.0
1990-09-12;21.25;21.62;21.25;21.38;37600.0
1990-09-13;21.38;21.38;21.0;21.0;35867.0
1990-09-14;21.0;21.0;20.38;20.5;60578.0
1990-09-17;20.38;20.38;19.87;20.25;63867.0
