date;open;high;low;close;volume
1988-01-05;17.12;17.5;16.88;16.88;20700.0
1988-01-06;17.0;17.25;17.0;17.0;7200.0
1988-01-07;16.88;17.0;16.88;16.88;10200.0
1988-01-08;16.62;16.88;16.62;16.62;8800.0
1988-01-11;16.75;17.0;16.62;16.88;7600.0
1988-01-12;16.88;16.88;16.88;16.88;4600.0
1988-01-13;16.88;16.88;16.88;16.88;1000.0
1988-01-14;16.88;16.88;16.75;16.75;6800.0
1988-01-15;16.88;17.0;16.75;16.75;2700.0
1988-01-18;16.88;17.12;16.88;17.0;5000.0
1988-01-19;17.0;17.25;17.0;17.25;700.0
1988-01-20;17.25;17.25;17.0;17.12;1300.0
1988-01-21;17.0;17.0;16.88;16.88;1500.0
1988-01-22;16.88;17.0;16.88;16.88;4700.0
1988-01-25;16.88;17.0;16.88;16.88;2500.0
1988-01-26;16.88;17.25;16.88;17.12;2000.0
1988-01-27;17.0;17.0;17.0;17.0;6000.0
1988-01-28;17.25;17.25;17.12;17.12;2600.0
1988-01-29;17.12;17.25;17.12;17.25;4000.0
1988-02-01;17.25;17.5;17.0;17.0;5100.0
1988-02-02;16.88;16.88;16.88;16.88;900.0
1988-02-03;17.0;17.12;16.88;17.12;2300.0
1988-02-04;17.0;17.0;16.62;16.62;2900.0
1988-02-05;16.62;16.62;16.25;16.25;4200.0
1988-02-08;16.0;16.0;16.0;16.0;2600.0
1988-02-09;15.88;16.25;15.88;16.12;1900.0
1988-02-10;16.12;16.25;16.12;16.12;1600.0
1988-02-11;16.0;16.38;16.0;16.38;5500.0
1988-02-12;16.12;16.88;16.12;16.88;13700.0
1988-02-16;16.88;17.38;16.88;17.38;3900.0
1988-02-17;17.25;17.25;17.25;17.25;3400.0
1988-02-18;17.25;17.38;16.75;16.75;4700.0
1988-02-19;17.0;17.0;17.0;17.0;2500.0
1988-02-22;17.12;17.25;17.12;17.25;2900.0
1988-02-23;17.12;17.12;17.0;17.0;9600.0
1988-02-24;17.0;17.0;15.0;15.38;135400.0
1988-02-25;15.5;15.62;15.12;15.25;21800.0
1988-02-26;15.12;15.12;14.38;14.38;21000.0
1988-02-29;14.5;14.88;14.5;14.88;8000.0
1988-03-01;14.88;15.0;14.75;14.75;98600.0
1988-03-02;15.0;15.25;14.75;14.75;13000.0
1988-03-03;14.62;15.0;14.62;14.88;7100.0
1988-03-04;14.88;15.12;14.62;15.0;26900.0
1988-03-07;14.75;15.12;14.75;15.12;2700.0
1988-03-08;15.12;15.12;14.75;14.88;15500.0
1988-03-09;14.88;15.0;14.88;15.0;1900.0
1988-03-10;15.0;15.0;14.62;14.88;8000.0
1988-03-11;15.0;15.0;14.75;15.0;4600.0
1988-03-14;15.0;15.12;15.0;15.0;11300.0
1988-03-15;15.0;15.0;15.0;15.0;16500.0
1988-03-16;14.88;15.0;14.88;15.0;29200.0
1988-03-17;15.0;15.0;14.88;14.88;15500.0
1988-03-18;14.88;14.88;14.75;14.75;12100.0
1988-03-21;14.75;14.75;14.5;14.5;13300.0
1988-03-22;14.5;14.5;14.0;14.0;6600.0
1988-03-23;14.0;14.12;14.0;14.12;2500.0
1988-03-24;14.12;14.12;13.75;13.75;1800.0
1988-03-25;13.88;14.0;13.75;14.0;17200.0
1988-03-28;13.62;13.88;13.38;13.62;17700.0
1988-03-29;13.75;13.75;13.25;13.25;28000.0
1988-03-30;13.25;13.5;13.25;13.5;6500.0
1988-03-31;13.38;13.62;13.25;13.62;12400.0
1988-04-04;13.75;13.88;13.62;13.88;13800.0
1988-04-05;13.88;13.88;13.75;13.75;3400.0
1988-04-06;13.88;13.88;13.88;13.88;600.0
1988-04-07;13.88;13.88;13.25;13.5;9600.0
1988-04-08;13.5;13.5;13.25;13.5;4200.0
1988-04-11;13.5;13.75;13.5;13.75;3300.0
1988-04-12;13.62;14.0;13.62;14.0;7900.0
1988-04-13;13.75;13.75;13.62;13.75;6900.0
1988-04-14;13.62;13.88;13.38;13.38;6800.0
1988-04-15;13.5;13.5;13.25;13.25;9300.0
1988-04-18;13.25;13.38;13.25;13.38;2100.0
1988-04-19;13.38;13.5;13.38;13.5;1900.0
1988-04-20;13.62;13.62;13.5;13.62;1000.0
1988-04-21;13.62;13.62;13.38;13.38;2200.0
1988-04-22;13.5;13.5;13.25;13.25;8400.0
1988-04-25;13.12;13.62;13.12;13.62;6600.0
1988-04-26;13.75;13.88;13.75;13.75;5700.0
1988-04-27;13.88;13.88;13.75;13.75;1000.0
1988-04-28;13.88;13.88;13.62;13.75;5200.0
1988-04-29;13.5;13.62;13.5;13.62;3800.0
1988-05-02;13.88;14.0;13.62;13.75;12100.0
1988-05-03;13.62;13.88;13.62;13.75;9400.0
1988-05-04;13.5;13.75;13.5;13.75;24800.0
1988-05-05;13.5;13.5;13.38;13.5;15300.0
1988-05-06;13.5;13.5;13.38;13.38;11600.0
1988-05-09;13.38;13.38;13.12;13.12;3200.0
1988-05-10;13.25;13.25;12.88;12.88;10000.0
1988-05-11;13.0;13.0;12.5;12.62;22800.0
1988-05-12;12.5;12.62;12.5;12.5;21100.0
1988-05-13;12.5;12.5;12.25;12.25;41100.0
1988-05-16;12.38;12.5;12.25;12.25;75300.0
1988-05-17;12.5;12.62;12.5;12.62;163800.0
1988-05-18;12.62;14.38;12.62;14.38;76800.0
1988-05-19;14.5;14.5;14.12;14.12;25400.0
1988-05-20;14.0;14.25;14.0;14.12;3800.0
1988-05-23;14.25;14.62;13.75;13.75;14100.0
1988-05-24;13.88;14.62;13.88;14.62;5800.0
1988-05-25;14.62;14.88;14.62;14.62;7600.0
1988-05-26;14.62;14.75;14.62;14.62;700.0
1988-05-27;14.75;14.88;14.62;14.88;3800.0
1988-05-31;14.88;14.88;14.62;14.75;3000.0
1988-06-01;14.88;14.88;14.62;14.88;4300.0
1988-06-02;14.88;14.88;14.75;14.88;1300.0
1988-06-03;14.62;14.62;14.5;14.5;5600.0
1988-06-06;14.38;15.25;14.38;15.25;21500.0
1988-06-07;15.25;15.25;15.0;15.12;8900.0
1988-06-08;15.12;15.12;15.0;15.0;4200.0
1988-06-09;15.0;15.25;15.0;15.12;18000.0
1988-06-10;15.12;15.12;15.0;15.0;2800.0
1988-06-13;15.0;15.12;15.0;15.12;4600.0
1988-06-14;15.25;15.5;15.12;15.38;10600.0
1988-06-15;15.38;15.38;15.0;15.12;2500.0
1988-06-16;15.0;15.12;14.88;14.88;61100.0
1988-06-17;15.0;15.0;14.62;14.62;4800.0
1988-06-20;14.5;14.88;14.5;14.88;3600.0
1988-06-21;15.0;15.0;14.88;15.0;1400.0
1988-06-22;14.88;15.12;14.88;14.88;9100.0
1988-06-23;15.0;15.0;14.88;14.88;2000.0
1988-06-24;15.0;15.0;14.75;14.75;1100.0
1988-06-27;15.0;15.0;15.0;15.0;700.0
1988-06-28;15.0;15.0;15.0;15.0;2000.0
1988-06-29;14.88;15.0;14.88;14.88;3600.0
1988-06-30;14.88;14.88;14.38;14.38;21400.0
