date;open;high;low;close;volume
2001-11-15;29.72;30.24;28.24;29.48;1.32109E7
2001-11-16;29.48;29.88;28.88;29.56;1316900.0
2001-11-19;30.0;30.3;29.7;30.3;699700.0
2001-11-20;30.05;31.6;29.6;31.6;776800.0
2001-11-21;31.9;31.9;30.7;31.25;621700.0
2001-11-23;31.15;31.95;30.9;31.7;275100.0
2001-11-26;31.85;32.6;30.75;30.77;502200.0
2001-11-27;30.5;30.7;29.8;30.16;343100.0
2001-11-28;30.1;30.9;30.05;30.71;154000.0
2001-11-29;31.9;32.2;31.5;31.55;634700.0
2001-11-30;31.5;34.65;31.5;34.16;873900.0
2001-12-03;33.95;33.96;32.81;33.8;226900.0
2001-12-04;34.0;35.7;33.6;33.92;359200.0
2001-12-05;33.75;33.8;31.77;32.5;590400.0
2001-12-06;32.45;33.9;32.45;33.9;173300.0
2001-12-07;33.75;36.01;33.6;35.28;567900.0
2001-12-10;35.15;35.25;33.65;33.85;588300.0
2001-12-11;33.95;33.95;32.25;33.1;263000.0
2001-12-12;33.25;33.25;32.1;32.45;184300.0
2001-12-13;31.8;33.75;31.6;33.75;279500.0
2001-12-14;33.55;33.55;32.5;33.25;172100.0
2001-12-17;32.25;32.45;31.8;32.06;242800.0
2001-12-18;32.05;32.9;32.0;32.08;207200.0
2001-12-19;32.2;32.65;31.9;32.15;267900.0
2001-12-20;32.1;32.8;31.98;32.0;341000.0
2001-12-21;32.2;33.5;32.05;33.25;437300.0
2001-12-24;33.3;33.98;32.85;33.69;40900.0
2001-12-26;33.7;34.3;33.3;34.3;69600.0
2001-12-27;34.2;34.45;33.7;33.99;351700.0
2001-12-28;33.99;33.99;32.65;33.4;106300.0
2001-12-31;33.35;33.82;33.1;33.82;112600.0
2002-01-02;33.1;33.4;32.35;33.18;97400.0
2002-01-03;33.0;33.0;32.4;32.4;57800.0
2002-01-04;31.6;32.35;31.6;32.26;257700.0
2002-01-07;32.3;32.35;31.91;32.0;69900.0
2002-01-08;32.0;32.1;31.35;31.95;82100.0
2002-01-09;32.0;32.5;31.95;31.95;52000.0
2002-01-10;32.05;32.46;32.0;32.25;23600.0
2002-01-11;32.4;32.8;32.27;32.47;21500.0
2002-01-14;32.35;32.35;31.5;32.07;75100.0
2002-01-15;32.0;32.16;31.85;32.05;128500.0
2002-01-16;31.97;33.5;31.97;33.27;57900.0
2002-01-17;33.27;33.8;33.06;33.3;101000.0
2002-01-18;33.1;33.2;33.01;33.1;20500.0
2002-01-22;33.0;33.2;33.0;33.15;21500.0
2002-01-23;33.15;33.45;33.05;33.35;36500.0
2002-01-24;33.3;35.7;33.3;35.1;205400.0
2002-01-25;35.0;35.65;35.0;35.5;120500.0
2002-01-28;35.35;35.99;35.01;35.8;116000.0
2002-01-29;35.81;36.3;35.5;35.65;199900.0
2002-01-30;35.55;37.3;35.5;36.71;165300.0
2002-01-31;36.6;38.85;36.5;38.75;196900.0
2002-02-01;38.75;38.8;37.21;37.62;78800.0
2002-02-04;37.45;37.45;36.5;36.6;263000.0
2002-02-05;36.15;36.35;35.9;36.35;91700.0
2002-02-06;36.45;36.8;35.65;36.0;270500.0
2002-02-07;36.5;36.5;35.75;36.0;246500.0
2002-02-08;36.0;36.2;35.9;36.2;80500.0
2002-02-11;36.3;37.45;36.2;36.65;30500.0
2002-02-12;36.55;36.6;36.3;36.44;12900.0
2002-02-13;36.0;36.01;35.15;36.0;93800.0
2002-02-14;36.1;36.1;35.9;36.0;112400.0
2002-02-15;36.0;36.35;35.57;36.24;58000.0
2002-02-19;36.8;38.0;36.8;37.5;190500.0
2002-02-20;38.7;39.35;35.4;35.85;521500.0
2002-02-21;36.0;36.15;35.15;35.7;89500.0
2002-02-22;35.1;35.15;33.9;34.4;147600.0
2002-02-25;34.5;35.35;34.5;34.98;157100.0
2002-02-26;35.0;35.5;34.87;35.1;114400.0
2002-02-27;35.15;35.15;34.53;34.78;134300.0
2002-02-28;34.88;36.05;34.85;36.05;58600.0
2002-03-01;36.2;36.35;35.92;35.92;50400.0
2002-03-04;35.95;36.3;35.3;36.3;80700.0
2002-03-05;36.22;36.6;35.79;36.6;91800.0
2002-03-06;36.65;36.75;35.9;36.0;56000.0
2002-03-07;35.9;35.9;34.4;35.2;191700.0
2002-03-08;35.25;35.84;34.7;35.82;112800.0
2002-03-11;36.0;36.6;35.39;35.5;95600.0
2002-03-12;35.3;35.47;34.45;34.95;41000.0
2002-03-13;34.9;34.94;34.65;34.7;54900.0
2002-03-14;34.74;34.98;34.6;34.98;39800.0
2002-03-15;34.98;35.2;34.8;35.1;61600.0
2002-03-18;35.15;36.0;34.0;34.99;172700.0
2002-03-19;35.25;35.7;34.9;35.6;70900.0
2002-03-20;35.55;35.55;34.99;35.0;129200.0
2002-03-21;35.0;35.44;34.85;35.44;80400.0
2002-03-22;35.55;35.55;35.25;35.55;87200.0
2002-03-25;35.7;35.75;35.1;35.3;77400.0
2002-03-26;35.3;35.45;34.9;35.45;36100.0
2002-03-27;35.4;38.9;35.35;38.21;355100.0
2002-03-28;38.21;38.5;36.95;38.26;165800.0
2002-04-01;38.35;39.8;38.0;38.95;115900.0
2002-04-02;38.75;38.9;37.65;38.0;108300.0
2002-04-03;38.45;38.45;37.75;38.05;61800.0
2002-04-04;38.05;38.05;37.52;37.96;56900.0
2002-04-05;38.15;38.85;38.15;38.61;159900.0
2002-04-08;38.55;39.28;38.46;39.28;77000.0
