date;open;high;low;close;volume
1991-07-19;30.0;30.63;29.63;30.0;1.38082E7
1991-07-22;29.88;30.0;29.63;30.0;4531800.0
1991-07-23;29.88;30.0;29.75;30.0;2028200.0
1991-07-24;29.88;30.25;29.88;30.25;805800.0
1991-07-25;30.13;31.13;30.13;30.88;969600.0
1991-07-26;31.0;31.25;30.75;30.88;781400.0
1991-07-29;30.75;30.88;30.38;30.5;467400.0
1991-07-30;30.63;31.0;30.63;31.0;660800.0
1991-07-31;31.13;32.0;31.13;31.63;835200.0
1991-08-01;31.63;32.0;31.63;31.63;1643200.0
1991-08-02;32.0;32.0;31.25;31.75;1237400.0
1991-08-05;31.63;31.63;30.88;31.0;566600.0
1991-08-06;30.88;31.5;30.88;31.5;423400.0
1991-08-07;31.5;31.88;31.0;31.0;654600.0
1991-08-08;31.0;31.0;30.5;30.63;294000.0
1991-08-09;30.63;30.75;30.25;30.25;277000.0
1991-08-12;30.25;30.25;30.0;30.0;304800.0
1991-08-13;30.0;30.5;29.88;29.88;546400.0
1991-08-14;30.0;30.13;29.75;30.13;301600.0
1991-08-15;29.88;30.25;29.38;29.38;783600.0
1991-08-16;29.63;29.88;29.38;29.88;117400.0
1991-08-19;28.25;29.13;27.38;28.88;399600.0
1991-08-20;29.0;29.25;28.75;29.13;151600.0
1991-08-21;30.75;31.0;30.25;30.5;308400.0
1991-08-22;30.5;31.0;30.38;31.0;219800.0
1991-08-23;30.75;31.13;30.38;30.5;83200.0
1991-08-26;30.5;30.5;29.88;29.88;108600.0
1991-08-27;30.13;30.13;29.63;29.75;335800.0
1991-08-28;29.88;30.13;29.63;30.0;243200.0
1991-08-29;30.13;30.88;30.13;30.63;256200.0
1991-08-30;30.63;30.75;30.5;30.75;78000.0
1991-09-03;30.75;30.88;30.38;30.38;162200.0
1991-09-04;30.5;30.63;30.38;30.63;107600.0
1991-09-05;30.63;30.63;30.13;30.13;214400.0
1991-09-06;30.25;30.5;30.25;30.38;127200.0
1991-09-09;30.5;31.75;30.5;31.75;347200.0
1991-09-10;31.75;31.88;31.5;31.5;101000.0
1991-09-11;31.5;31.5;31.38;31.38;273600.0
1991-09-12;31.63;33.5;31.63;33.5;552600.0
1991-09-13;33.75;33.88;33.0;33.13;200200.0
1991-09-16;33.0;33.0;32.88;33.0;49200.0
1991-09-17;33.0;33.0;32.63;32.88;27800.0
1991-09-18;33.0;33.0;32.75;33.0;67200.0
1991-09-19;33.0;33.0;32.63;32.75;23600.0
1991-09-20;32.63;33.13;32.5;33.0;222000.0
1991-09-23;33.13;33.75;33.13;33.75;62000.0
1991-09-24;34.0;34.0;30.5;31.63;1203000.0
1991-09-25;31.63;32.38;31.13;32.13;1608000.0
1991-09-26;32.25;32.25;31.75;31.88;153200.0
1991-09-27;32.0;32.25;31.75;32.0;154200.0
1991-09-30;31.88;32.0;31.88;32.0;205800.0
1991-10-01;32.0;32.0;31.38;31.38;260200.0
1991-10-02;31.38;31.63;31.38;31.5;103000.0
1991-10-03;31.63;31.63;31.25;31.25;85600.0
1991-10-04;31.25;31.25;30.75;30.75;222600.0
1991-10-07;30.75;30.75;30.63;30.75;97600.0
1991-10-08;30.88;32.5;30.75;32.5;84800.0
1991-10-09;32.5;32.5;32.25;32.5;79400.0
1991-10-10;32.25;32.38;32.0;32.0;159600.0
1991-10-11;32.0;32.25;32.0;32.13;40800.0
1991-10-14;32.25;32.25;32.0;32.13;149000.0
1991-10-15;32.13;32.25;32.0;32.0;490600.0
1991-10-16;32.25;32.5;32.13;32.38;200800.0
1991-10-17;32.38;32.38;32.13;32.25;270400.0
1991-10-18;32.25;32.38;32.13;32.13;158000.0
1991-10-21;32.25;32.25;31.5;31.63;214600.0
1991-10-22;31.63;32.0;31.38;31.38;434800.0
1991-10-23;31.38;31.38;30.38;30.5;457800.0
1991-10-24;30.5;30.63;29.75;30.38;339200.0
