date;open;high;low;close;volume
2013-02-07;23.66;27.25;23.5;26.52;6574300.0
2013-02-08;27.4;33.6;27.2;30.1;3881400.0
2013-02-11;32.27;33.5;29.8;30.071;1773300.0
2013-02-12;30.07;30.1;27.26;27.5;1355800.0
2013-02-13;29.11;30.05;27.75;28.01;1413900.0
2013-02-14;28.5;29.88;25.71;27.18;1818100.0
2013-02-15;27.25;27.8;25.37;25.44;955200.0
2013-02-19;25.09;27.2;24.13;27.1;982000.0
2013-02-20;27.45;27.72;25.2;25.55;556200.0
2013-02-21;25.22;26.45;24.16;26.275;519700.0
2013-02-22;27.35;27.35;26.1;26.65;301000.0
2013-02-25;26.0;27.83;25.11;25.68;803300.0
2013-02-26;26.0;26.25;25.36;25.6;200300.0
2013-02-27;25.69;27.5;25.61;27.3001;430200.0
2013-02-28;27.3;28.2;26.58;27.19;488400.0
2013-03-01;26.58;27.49;26.07;26.43;217200.0
2013-03-04;27.75;28.82;26.995;27.23;825600.0
2013-03-05;28.0;28.1478;26.3;26.52;431100.0
2013-03-06;27.22;27.5;26.62;26.79;262600.0
2013-03-07;26.95;27.74;26.5;27.59;297400.0
2013-03-08;27.9;28.35;27.55;28.09;229500.0
2013-03-11;28.1;28.65;28.0;28.51;185700.0
2013-03-12;28.9;28.9;27.6;27.85;303000.0
2013-03-13;28.25;28.3;27.72;28.15;149800.0
2013-03-14;28.25;30.85;28.2;30.74;1033800.0
2013-03-15;30.88;31.36;29.65;30.81;554900.0
2013-03-18;30.24;31.49;29.5;31.09;347800.0
2013-03-19;31.24;31.41;29.23;30.5;324900.0
2013-03-20;30.58;31.1697;29.84;30.66;191300.0
2013-03-21;30.27;31.073;30.07;30.62;125500.0
2013-03-22;30.64;32.3;30.64;32.0;653100.0
2013-03-25;32.28;32.72;30.87;31.98;317200.0
2013-03-26;32.27;33.3699;31.14;31.6;625000.0
2013-03-27;31.22;31.3282;30.1;30.6;475600.0
2013-03-28;32.25;34.28;31.12;33.5;2450400.0
2013-04-01;34.11;34.5;32.751;33.53;744900.0
2013-04-02;33.99;33.99;32.66;33.04;308600.0
2013-04-03;33.32;33.38;31.12;31.51;377900.0
2013-04-04;31.44;31.55;29.5;30.85;392500.0
2013-04-05;29.91;31.19;29.41;30.68;226400.0
2013-04-08;30.68;30.68;29.6;29.769;203600.0
2013-04-09;29.66;31.36;29.5;31.0;406800.0
2013-04-10;31.3;35.99;31.3;35.33;932600.0
2013-04-11;35.6;36.6;33.9;36.15;778700.0
2013-04-12;35.9;37.57;35.071;37.16;399900.0
2013-04-15;37.18;37.54;33.97;34.071;491400.0
2013-04-16;34.549;36.0;34.33;35.1;295400.0
2013-04-17;34.71;35.47;33.461;35.22;338400.0
2013-04-18;35.46;35.6;33.9301;34.35;242800.0
2013-04-19;34.47;34.762;33.02;33.23;238400.0
2013-04-22;33.45;33.7999;30.78;31.79;581600.0
2013-04-23;32.0;33.98;32.0;33.41;306500.0
2013-04-24;33.46;34.83;33.22;34.44;278800.0
2013-04-25;34.69;36.1482;34.45;36.04;342400.0
2013-04-26;36.24;36.25;35.0;35.95;158400.0
2013-04-29;36.19;37.8699;35.84;36.69;341200.0
2013-04-30;36.66;38.7;35.24;38.4;688000.0
