date;open;high;low;close;volume
2013-08-07;9.05;9.86;8.73;9.0;5444100.0
2013-08-08;9.14;9.2;8.75;8.87;409800.0
2013-08-09;9.09;9.1;8.8;8.97;317800.0
2013-08-12;8.94;9.2;8.9;9.1;194400.0
2013-08-13;9.1;9.27;9.0;9.1;277100.0
2013-08-14;9.1;9.14;8.52;9.0;379400.0
2013-08-15;8.92;9.05;8.9;8.9;33800.0
2013-08-16;8.9;9.05;8.9;8.95;165600.0
2013-08-19;8.91;8.98;8.9;8.93;24000.0
2013-08-20;8.92;8.92;8.76;8.8;82800.0
2013-08-21;8.83;8.9;8.8;8.8;90200.0
2013-08-22;8.85;8.92;8.7;8.7;178100.0
2013-08-23;8.72;8.72;8.6;8.6;79500.0
2013-08-26;8.67;8.77;8.54;8.55;68200.0
2013-08-27;8.55;8.59;8.19;8.43;114500.0
2013-08-28;8.48;8.61;8.34;8.39;167900.0
2013-08-29;8.44;8.75;8.29;8.64;162900.0
2013-08-30;8.6;8.9;8.4;8.48;94900.0
2013-09-03;8.66;8.85;8.3;8.45;118800.0
2013-09-04;8.32;8.38;7.8;8.16;113400.0
2013-09-05;8.13;8.19;8.1;8.13;57400.0
2013-09-06;8.18;8.19;8.1;8.16;18900.0
2013-09-09;8.7;9.0;8.54;8.65;373100.0
2013-09-10;8.73;9.02;8.73;8.95;235600.0
2013-09-11;9.09;10.11;9.0;9.83;386000.0
2013-09-12;9.9;10.57;9.85;10.15;413300.0
2013-09-13;10.24;10.24;9.86;10.13;134100.0
2013-09-16;10.3;10.42;9.85;9.87;102000.0
2013-09-17;9.87;10.06;9.87;9.87;70700.0
2013-09-18;10.2;11.2;10.05;11.02;201900.0
2013-09-19;11.31;11.75;11.22;11.64;331700.0
2013-09-20;11.72;11.72;10.3;10.88;294400.0
2013-09-23;10.83;11.11;10.2;10.86;147400.0
2013-09-24;10.92;11.54;10.83;11.36;231400.0
2013-09-25;11.47;11.71;11.19;11.62;180500.0
2013-09-26;11.75;12.08;11.04;11.13;304500.0
2013-09-27;11.2;11.51;10.3;11.01;210700.0
2013-09-30;11.01;11.05;10.36;10.6;398700.0
2013-10-01;10.62;10.95;10.04;10.44;143600.0
2013-10-02;10.32;10.32;9.83;10.2;195600.0
2013-10-03;10.1;10.2;9.88;9.99;136400.0
2013-10-04;9.96;10.04;9.8;9.87;90700.0
2013-10-07;9.82;9.83;9.47;9.5;118100.0
2013-10-08;9.53;9.81;8.39;8.81;437500.0
2013-10-09;8.99;9.47;8.85;9.19;158300.0
2013-10-10;9.45;10.05;9.45;10.01;107600.0
2013-10-11;10.01;10.1;9.7;9.92;66300.0
2013-10-14;9.82;10.0;9.74;9.97;43400.0
2013-10-15;9.97;9.97;9.72;9.93;120900.0
2013-10-16;10.03;10.1;9.68;10.0;78400.0
2013-10-17;9.95;10.11;9.83;10.08;62200.0
2013-10-18;10.15;10.15;9.75;9.9;51500.0
