date;open;high;low;close;volume
1992-03-03;2.63;2.63;2.63;2.63;0.0
1992-03-04;2.25;2.25;2.13;2.13;6000.0
1992-03-05;2.25;2.38;2.25;2.38;6000.0
1992-03-06;2.13;2.5;2.13;2.13;10000.0
1992-03-09;2.13;2.38;1.88;1.88;46000.0
1992-03-10;1.88;1.88;1.88;1.88;0.0
1992-03-11;2.13;2.13;1.75;2.13;95000.0
1992-03-12;2.13;2.13;2.13;2.13;0.0
1992-03-13;1.88;2.5;1.88;2.13;42000.0
1992-03-16;2.19;2.38;2.19;2.38;30000.0
1992-03-17;2.25;2.25;2.25;2.25;5000.0
1992-03-18;2.25;2.5;2.13;2.13;29000.0
1992-03-19;2.13;2.5;2.13;2.5;1000.0
1992-03-20;2.5;2.5;2.5;2.5;0.0
1992-03-23;2.5;2.5;2.5;2.5;0.0
1992-03-24;2.5;2.5;2.5;2.5;0.0
1992-03-25;2.5;2.5;2.38;2.5;19000.0
1992-03-26;2.13;2.5;2.13;2.5;2000.0
1992-03-27;2.5;2.5;2.13;2.38;17000.0
1992-03-30;2.13;2.38;2.13;2.38;5000.0
1992-03-31;2.38;2.38;2.13;2.38;20000.0
1992-04-01;2.38;2.38;2.38;2.38;0.0
1992-04-02;2.25;2.25;2.25;2.25;0.0
1992-04-03;2.5;2.5;2.13;2.13;2000.0
1992-04-06;2.13;2.13;2.13;2.13;0.0
1992-04-07;2.13;2.13;2.13;2.13;0.0
1992-04-08;2.13;2.13;2.13;2.13;1000.0
1992-04-09;2.13;2.13;2.13;2.13;1000.0
1992-04-10;2.0;2.0;2.0;2.0;0.0
1992-04-13;2.0;2.0;2.0;2.0;0.0
1992-04-14;2.0;2.0;2.0;2.0;0.0
1992-04-15;2.0;2.25;2.0;2.25;0.0
1992-04-16;2.0;2.13;2.0;2.13;5000.0
1992-04-20;2.0;2.0;2.0;2.0;2000.0
1992-04-21;1.88;1.88;1.88;1.88;5000.0
1992-04-22;2.13;2.13;1.88;2.0;8000.0
1992-04-23;2.0;2.0;2.0;2.0;0.0
1992-04-24;2.0;2.0;2.0;2.0;0.0
1992-04-27;2.0;2.0;2.0;2.0;0.0
1992-04-28;2.0;2.0;2.0;2.0;0.0
1992-04-29;2.0;2.0;2.0;2.0;0.0
1992-04-30;2.13;2.13;2.13;2.13;7000.0
1992-05-01;2.0;2.0;2.0;2.0;2000.0
1992-05-04;2.0;2.0;2.0;2.0;0.0
1992-05-05;2.0;2.0;2.0;2.0;0.0
1992-05-06;2.0;2.0;2.0;2.0;1000.0
1992-05-07;1.88;1.88;1.88;1.88;4000.0
1992-05-08;1.88;1.88;1.88;1.88;0.0
1992-05-11;1.88;1.88;1.88;1.88;0.0
1992-05-12;1.88;1.88;1.88;1.88;0.0
1992-05-13;2.25;2.25;2.0;2.0;8000.0
1992-05-14;2.0;2.0;2.0;2.0;4000.0
1992-05-15;1.88;1.88;1.88;1.88;2000.0
1992-05-18;2.0;2.0;1.88;1.88;9000.0
1992-05-19;1.88;1.88;1.88;1.88;0.0
1992-05-20;1.88;2.0;1.75;2.0;11000.0
1992-05-21;2.0;2.0;2.0;2.0;0.0
1992-05-22;2.0;2.0;2.0;2.0;0.0
1992-05-26;1.88;2.0;1.75;1.88;22000.0
1992-05-27;2.0;2.25;2.0;2.25;9000.0
1992-05-28;2.0;2.0;2.0;2.0;2000.0
1992-05-29;2.0;2.38;2.0;2.38;4000.0
1992-06-01;2.25;2.38;2.0;2.38;3000.0
1992-06-02;2.38;2.38;2.38;2.38;0.0
1992-06-03;2.0;2.0;2.0;2.0;2000.0
1992-06-04;2.38;2.38;2.38;2.38;1000.0
1992-06-05;2.38;2.38;2.38;2.38;0.0
1992-06-08;2.0;2.0;2.0;2.0;2000.0
1992-06-09;1.88;1.88;1.88;1.88;3000.0
1992-06-10;1.88;1.88;1.88;1.88;8000.0
1992-06-11;1.88;1.88;1.88;1.88;3000.0
1992-06-12;2.13;2.13;2.0;2.0;4000.0
1992-06-15;2.0;2.0;2.0;2.0;0.0
1992-06-16;2.13;2.13;2.13;2.13;0.0
1992-06-17;2.13;2.13;2.0;2.0;2000.0
1992-06-18;2.0;2.0;2.0;2.0;1000.0
1992-06-19;2.0;2.0;1.88;2.0;8000.0
1992-06-22;2.0;2.0;2.0;2.0;2000.0
1992-06-23;1.88;1.88;1.5;1.88;20000.0
1992-06-24;1.63;1.88;1.63;1.75;13000.0
1992-06-25;1.75;1.75;1.75;1.75;0.0
1992-06-26;1.88;1.88;1.63;1.88;14000.0
1992-06-29;2.0;2.0;1.63;1.63;7000.0
1992-06-30;1.94;2.25;1.88;2.25;31000.0
1992-07-01;1.88;2.13;1.88;2.13;1000.0
1992-07-02;2.13;2.13;2.13;2.13;0.0
1992-07-06;1.88;2.13;1.88;2.13;1000.0
1992-07-07;2.13;2.13;2.13;2.13;0.0
1992-07-08;2.13;2.13;2.13;2.13;0.0
1992-07-09;2.13;2.13;1.88;1.88;1000.0
1992-07-10;1.88;1.88;1.88;1.88;0.0
1992-07-13;1.88;1.88;1.88;1.88;0.0
1992-07-14;1.88;1.88;1.88;1.88;0.0
1992-07-15;1.88;1.88;1.88;1.88;1000.0
1992-07-16;2.13;2.13;2.13;2.13;4000.0
1992-07-17;2.13;2.13;1.94;2.0;2000.0
1992-07-20;1.88;2.13;1.88;2.13;12000.0
1992-07-21;2.13;2.13;2.13;2.13;0.0
1992-07-22;2.13;2.13;2.13;2.13;0.0
1992-07-23;1.88;1.88;1.88;1.88;2000.0
1992-07-24;1.88;1.88;1.88;1.88;0.0
1992-07-27;2.13;2.13;2.13;2.13;1000.0
1992-07-28;2.13;2.13;1.88;1.88;2000.0
1992-07-29;2.06;2.06;2.06;2.06;1000.0
1992-07-30;1.88;2.19;1.88;2.19;32000.0
1992-07-31;2.19;2.19;2.19;2.19;0.0
1992-08-03;2.06;2.06;2.0;2.0;10000.0
1992-08-04;2.06;2.25;2.0;2.25;26000.0
1992-08-05;2.13;2.13;2.13;2.13;0.0
1992-08-06;2.13;2.13;2.13;2.13;0.0
1992-08-07;1.88;1.88;1.88;1.88;1000.0
1992-08-10;1.88;1.88;1.88;1.88;3000.0
1992-08-11;1.88;1.88;1.88;1.88;0.0
1992-08-12;2.13;2.25;1.88;1.88;24000.0
1992-08-13;1.88;2.38;1.88;2.0;6000.0
1992-08-14;2.25;2.25;2.0;2.13;11000.0
1992-08-17;2.13;2.13;2.13;2.13;0.0
1992-08-18;2.13;2.13;2.13;2.13;0.0
1992-08-19;2.13;2.13;2.13;2.13;0.0
1992-08-20;2.13;2.13;2.13;2.13;1000.0
1992-08-21;1.75;1.88;1.75;1.88;10000.0
1992-08-24;1.88;1.88;1.88;1.88;0.0
1992-08-25;2.25;2.25;2.25;2.25;1000.0
1992-08-26;2.0;2.0;2.0;2.0;1000.0
1992-08-27;2.0;2.0;2.0;2.0;0.0
1992-08-28;2.0;2.0;2.0;2.0;0.0
1992-08-31;2.25;2.25;2.25;2.25;1000.0
1992-09-01;2.0;2.06;1.88;2.06;11000.0
1992-09-02;2.06;2.25;1.88;1.88;3000.0
1992-09-03;2.0;2.0;2.0;2.0;1000.0
1992-09-04;1.88;1.88;1.88;1.88;0.0
1992-09-08;1.88;2.0;1.88;2.0;8000.0
1992-09-09;2.13;2.13;2.13;2.13;0.0
1992-09-10;2.13;2.13;2.13;2.13;0.0
1992-09-11;2.13;2.13;2.13;2.13;2000.0
1992-09-14;2.25;2.25;2.25;2.25;5000.0
1992-09-15;2.25;2.25;2.25;2.25;0.0
1992-09-16;2.0;2.0;2.0;2.0;12000.0
1992-09-17;2.0;2.25;2.0;2.0;6000.0
1992-09-18;2.0;2.13;2.0;2.13;7000.0
1992-09-21;2.0;2.0;2.0;2.0;1000.0
1992-09-22;2.0;2.0;2.0;2.0;0.0
1992-09-23;1.88;2.13;1.88;2.13;1000.0
1992-09-24;2.13;2.13;2.13;2.13;0.0
1992-09-25;2.13;2.13;2.13;2.13;0.0
1992-09-28;2.13;2.13;2.13;2.13;0.0
1992-09-29;2.0;2.0;2.0;2.0;4000.0
