date;open;high;low;close;volume
2007-11-01;15.6;15.85;13.59;13.85;1087500.0
2007-11-02;14.0;14.12;13.35;14.0;1496200.0
2007-11-05;14.0;14.1;12.9;13.15;1347500.0
2007-11-06;13.04;13.6;12.86;13.5;970400.0
2007-11-07;12.86;13.5;12.86;12.93;1230300.0
2007-11-08;13.07;13.14;12.38;12.78;688400.0
2007-11-09;12.58;12.7;12.33;12.59;425500.0
2007-11-12;12.35;12.54;12.18;12.4;447900.0
2007-11-13;12.42;12.67;12.42;12.61;246000.0
2007-11-14;12.65;13.0;12.41;12.52;493600.0
2007-11-15;12.8;12.83;12.25;12.33;380400.0
2007-11-16;12.51;13.14;12.35;12.95;284000.0
2007-11-19;12.84;13.98;12.59;12.87;221800.0
2007-11-20;12.93;13.18;12.8;12.95;242000.0
2007-11-21;13.0;13.09;12.75;12.91;210300.0
2007-11-23;12.99;13.42;12.85;13.35;28100.0
2007-11-26;13.52;13.52;12.86;13.17;188200.0
2007-11-27;13.1;13.65;13.07;13.62;68100.0
2007-11-28;13.74;14.04;13.58;14.04;119600.0
2007-11-29;14.06;14.06;13.25;13.54;134000.0
2007-11-30;13.99;13.99;13.05;13.13;154200.0
2007-12-03;13.52;13.77;12.96;13.0;101000.0
2007-12-04;12.91;13.3;12.88;12.88;173500.0
2007-12-05;13.02;13.13;12.9;13.11;116500.0
2007-12-06;12.9;13.24;12.88;13.24;221500.0
2007-12-07;13.25;14.1;12.85;14.1;180100.0
2007-12-10;14.09;14.64;13.55;14.62;138400.0
2007-12-11;14.8;15.02;14.4;14.4;174300.0
2007-12-12;14.69;15.01;14.5;14.6;125900.0
2007-12-13;14.45;14.6;13.95;14.48;396200.0
2007-12-14;14.84;14.84;14.27;14.27;123800.0
2007-12-17;14.15;14.15;13.71;13.78;290900.0
2007-12-18;14.32;14.32;13.79;13.95;247400.0
2007-12-19;14.0;14.0;13.71;13.76;242900.0
2007-12-20;13.88;13.95;13.53;13.74;193800.0
2007-12-21;13.92;14.8;13.92;14.68;323100.0
2007-12-24;14.8;15.0;14.7;14.82;42900.0
2007-12-26;14.73;14.84;14.23;14.39;243600.0
2007-12-27;14.6;14.67;14.01;14.01;81800.0
2007-12-28;14.1;14.45;13.49;13.84;77600.0
2007-12-31;13.75;14.45;13.65;13.87;133600.0
2008-01-02;13.86;14.07;13.53;13.79;185900.0
2008-01-03;13.79;14.35;13.79;14.17;77800.0
2008-01-04;14.06;14.24;13.73;13.8;124500.0
2008-01-07;13.78;14.0;13.71;13.75;170100.0
2008-01-08;13.77;13.93;13.5;13.55;230000.0
2008-01-09;13.46;13.65;13.31;13.54;283600.0
2008-01-10;13.45;15.3;13.44;14.54;294100.0
2008-01-11;14.48;15.4;14.46;14.9;236400.0
2008-01-14;15.0;15.11;14.75;14.89;202500.0
2008-01-15;14.88;14.99;14.5;14.87;267500.0
2008-01-16;14.87;15.77;14.8;14.99;209200.0
2008-01-17;15.03;15.03;14.65;14.71;227400.0
2008-01-18;14.58;15.73;14.55;14.96;151300.0
2008-01-22;14.51;15.4;14.45;14.58;480300.0
2008-01-23;14.24;15.23;14.2;15.22;173700.0
2008-01-24;15.33;15.75;15.33;15.68;104200.0
2008-01-25;15.96;16.34;15.55;15.64;50500.0
2008-01-28;15.64;15.78;14.93;15.77;74200.0
2008-01-29;15.92;15.92;14.79;15.58;73200.0
2008-01-30;15.5;16.45;15.5;15.99;88000.0
2008-01-31;15.76;16.55;15.75;16.52;54800.0
2008-02-01;16.5;17.41;16.02;17.41;79100.0
2008-02-04;17.4;17.4;16.3;16.51;85400.0
2008-02-05;16.09;16.46;15.94;15.99;65300.0
2008-02-06;16.1;16.39;15.83;15.88;43700.0
2008-02-07;15.8;16.21;15.77;15.95;34500.0
2008-02-08;15.86;15.95;15.19;15.22;97100.0
2008-02-11;15.14;15.43;15.14;15.32;63100.0
2008-02-12;15.32;15.42;15.01;15.08;123200.0
2008-02-13;15.25;15.55;15.1;15.44;61600.0
2008-02-14;15.46;15.52;14.46;15.37;182000.0
2008-02-15;15.33;15.33;14.92;15.15;140700.0
2008-02-19;15.15;15.6;15.15;15.2;82300.0
2008-02-20;15.07;15.65;14.9;15.57;198700.0
2008-02-21;15.66;15.79;15.32;15.42;66100.0
2008-02-22;15.34;15.36;15.0;15.3;120900.0
2008-02-25;15.33;15.89;15.3;15.85;62500.0
2008-02-26;15.71;16.57;15.61;16.38;76000.0
2008-02-27;16.2;16.53;15.54;16.03;90100.0
2008-02-28;15.83;16.1;15.55;15.58;48000.0
2008-02-29;15.36;15.94;15.24;15.7;89400.0
2008-03-03;15.65;16.65;15.61;16.25;256600.0
2008-03-04;16.07;16.68;15.96;16.65;258100.0
2008-03-05;16.85;17.35;16.76;17.31;76900.0
2008-03-06;17.15;17.15;16.56;16.88;55700.0
2008-03-07;17.02;17.05;16.3;16.52;61800.0
2008-03-10;16.52;16.66;15.96;15.96;59200.0
2008-03-11;16.32;16.59;16.02;16.29;84600.0
2008-03-12;16.2;16.7;15.96;15.99;55200.0
2008-03-13;15.9;16.85;15.9;16.62;71200.0
2008-03-14;16.75;16.75;16.06;16.37;103300.0
2008-03-17;16.0;16.12;15.71;15.95;75800.0
2008-03-18;16.35;16.47;15.99;16.34;93700.0
2008-03-19;16.55;16.7;16.27;16.34;110700.0
2008-03-20;16.72;16.72;16.07;16.07;278100.0
2008-03-24;16.2;17.21;16.2;16.69;104200.0
2008-03-25;16.65;16.69;15.95;16.36;70300.0
2008-03-26;16.2;16.39;15.64;16.18;124300.0
2008-03-27;16.18;16.64;16.03;16.3;31500.0
2008-03-28;16.35;16.6;16.26;16.3;22200.0
2008-03-31;16.3;16.65;16.21;16.22;38500.0
2008-04-01;16.62;16.75;16.43;16.75;57800.0
2008-04-02;16.75;16.88;16.59;16.7;86600.0
2008-04-03;16.65;16.78;16.1;16.78;44700.0
2008-04-04;16.75;16.85;16.38;16.57;36000.0
2008-04-07;16.56;16.64;16.1;16.34;29700.0
2008-04-08;16.27;16.43;15.95;16.43;33300.0
2008-04-09;16.43;16.58;16.35;16.45;46800.0
